Restaurant_Name,City,Locality,Address,Cuisines,Average_Cost_for_two,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes,Restaurant_Url
Unplugged Courtyard,Agra,"Tajganj, Agra","2nd Floor, Arvind Innov 8, Fatehabad Road, Tajganj, Agra","Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee","₹1,600 for two","12midnight – 2am, 1pm – 12midnight","+917060111954,+917060111955",4.4,458,4.2,537,https://www.zomato.com/agra/unplugged-courtyard-tajganj/info
Two Saints Bar & Kitchen,Agra,"Tajganj, Agra","76, Turquoise Cottage, Fatehabad Road, Tajganj, Agra","North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts","₹1,800 for two",1pm – 12midnight,"+918006807333,+918899823377",4.4,41,-,0,https://www.zomato.com/agra/two-saints-bar-kitchen-tajganj/info
The Numberdaars,Agra,"Sikandra, Agra","16/2, Avas Vikas Colony, Sector 5, Sikandra, Agra","Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages",₹800 for two,11:30am – 11:30pm,+917017004095,4.2,35,4.1,227,https://www.zomato.com/agra/the-numberdaars-2-sikandra/info
Molecule Air Bar,Agra,"Tajganj, Agra","E 4/B, Fatehabad Road, Taj Nagari Phase 2, Tajganj, Agra","North Indian, Chinese, Continental, Italian","₹2,000 for two",12noon – 1am,"+919068277277,+919068477477",4.6,"1,064",3.6,97,https://www.zomato.com/agra/molecule-air-bar-tajganj/info
My Bar Headquarters,Agra,"Khandari, Agra","6th Floor, Ram Raghu Plazzo, Church Road, Khandari, Agra","North Indian, Chinese, Pizza, Fast Food, Desserts","₹1,200 for two",1pm – 12midnight,+918650175000,3.9,55,-,0,https://www.zomato.com/agra/my-bar-headquarters-khandari/info
The Salt Cafe Kitchen & Bar,Agra,"Tajganj, Agra","1C,3rd Floor, Fatehabad Road, Tajganj, Agra","North Indian, Continental, Chinese, Italian, Finger Food","₹1,800 for two",12noon – 12midnight,+919910978774,4.9,"6,122",4.1,"2,241",https://www.zomato.com/agra/the-salt-cafe-kitchen-bar-tajganj/info
Palm Burj,Agra,"Rakabganj, Agra","6 B, Mall Road, Rakabganj, Agra","North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts","₹2,200 for two",Opens at 4:30pm,+919639003001,4.5,713,4.1,505,https://www.zomato.com/agra/palm-burj-rakabganj/info
Pind Balluchi,Agra,"Tajganj, Agra","Plot 30/17 G4-P3., Khasra 1378 Mausa Basai, Gober Chauki Dinesh Nagar, Tajganj, Agra","North Indian, Mughlai, Chinese, Desserts","₹1,100 for two",8am – 2am,"+915622333777,+917500247365,+919837055115",4.0,649,3.9,"5,102",https://www.zomato.com/agra/pind-balluchi-tajganj/info
Cosmos Cafe & Bar - Fairfield By Marriott,Agra,"Fairfield by Marriott Agra, Agra","119/8-120, Ashok Cosmos Mall, Premises 8, Wazirpura road, Civil Lines, Agra","Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages","₹2,400 for two",11:30am – 10:30pm,+919258159518,3.6,25,3.6,17,https://www.zomato.com/agra/cosmos-cafe-bar-fairfield-by-marriott-civil-lines/info
Hichkee,Agra,"Civil Lines, Agra","6/27/1A, Hotel Alleviate, Yamuna Kinara Road, Belanganj, Civil Lines, Agra","Continental, North Indian, Chinese","₹1,700 for two",1pm – 12midnight,"+917055018203,+917055018205,+917055018209",4.2,846,4.1,"3,267",https://www.zomato.com/agra/hichkee-civil-lines/info
Cafe G - Holiday Inn,Agra,"Holiday Inn Agra Mg Road, an IHG Hotel, Agra","16/2/8, Commercial Complex, Sanjay Place, M.G. Road Agra, Nagar Nigam Food Safety Zone 09, Civil Lines, Agra","North Indian, Continental, South Indian, Chinese, Asian, Italian","₹3,000 for two",11am – 10:30pm,"+917302657573,+917409813385",4.4,142,4.3,70,https://www.zomato.com/agra/cafe-g-holiday-inn-civil-lines/info
Biryani By Kilo,Agra,"Civil Lines, Agra","2, Upper Ground Floor, Shanti Avenue, Swadeshi Bima Nagar, Mauza Sarjepur, Church Road, Civil Lines, Agra","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts","₹1,000 for two",10am – 11pm,18002122212,4.4,455,4.3,"4,142",https://www.zomato.com/agra/biryani-by-kilo-civil-lines/info
