Restaurant_Name,City,Locality,Address,Cuisines,Average_Cost_for_two,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes,Restaurant_Url
From The North,Ahmedabad,"C G Road, Ahmedabad","Ground Floor, Emerald Building, Choice Lane Road, C G Road, Ahmedabad","Asian, North Indian, Desserts, Beverages","₹1,300 for two",Opens at 7pm,"+919904442279,+917948973636,+919898582155",4.3,960,4.2,"3,408",https://www.zomato.com/ahmedabad/from-the-north-c-g-road/info
Unlocked,Ahmedabad,"Navrangpura, Ahmedabad","Dwarkesh Complex, Navrangpura, Ahmedabad","Cafe, Fast Food, North Indian, Chinese, Desserts, Beverages, Italian","₹1,200 for two",11:30am – 10:30pm,079 71845507,4.1,"1,654",4.2,"1,717",https://www.zomato.com/ahmedabad/unlocked-navrangpura/info
Welcomcafe Ikkat,Ahmedabad,"Ashram Road, Ahmedabad","15, Dandi Kuch Circle, Ashram Road, Ahmedabad","North Indian, Continental, Asian, Goan, Desserts, Beverages","₹2,000 for two",11am – 11pm,"+917940268000,+918013759673,+919033340595",3.2,240,4.0,19,https://www.zomato.com/ahmedabad/welcomcafe-ikkat-ashram-road/info
Scoby's,Ahmedabad,"C G Road, Ahmedabad","2 Centaur House, 40 Umashankar Joshi Marg, Chimanlal Girdharlal Road, Navrangpura, C G Road, Ahmedabad","North Indian, Continental","₹1,200 for two",12noon – 12midnight,+919624017090,3.8,150,-,0,https://www.zomato.com/ahmedabad/scobys-c-g-road/info
Pizza Don,Ahmedabad,"Navrangpura, Ahmedabad","Gf/4, Dynamic House, Memnagar Station, Navrangpura, Ahmedabad","Pizza, Coffee, Tea, Italian","₹1,200 for two",12noon – 7pm,+918780983326,4.1,122,3.5,30,https://www.zomato.com/ahmedabad/pizza-don-navrangpura/info
Sazzy Sizzlers,Ahmedabad,"Naranpura, Ahmedabad","3 & 4, Ground Floor, Aeon Complex, Sarvottam Nagar Society, Navrangpura, Ahmedabad","Chinese, Continental, Italian, Sandwich, Pizza, Asian, Salad, Desserts","₹1,200 for two",Opens at 6:30pm,+919558410844,4.7,721,4.0,13,https://www.zomato.com/ahmedabad/sazzy-sizzlers-naranpura/info
Harmony Resto Cafe,Ahmedabad,"Navrangpura, Ahmedabad","3-4, Gala Business Centre, St. Xavier Corner, Opposite Zodiac Plaza, Navrangpura, Ahmedabad","North Indian, Kathiyawadi, Burger, Chinese, Panini, Sandwich, Gujarati, Coffee",₹500 for two,11am – 12midnight,"+918200911138,+918780815839",4.1,256,4.1,"2,104",https://www.zomato.com/ahmedabad/harmony-resto-cafe-navrangpura/info
Uboat - Gourmet Subs,Ahmedabad,"Navrangpura, Ahmedabad","3 & 4, Ground Floor, Indraprasth Business House, Navrangpura, Ahmedabad","Sandwich, Wraps, Salad, Fast Food",₹450 for two,"12midnight – 5am, 11am – 12midnight",+917949167650,3.9,39,4.2,"1,910",https://www.zomato.com/ahmedabad/uboat-gourmet-subs-navrangpura/info
The Messy Door Cafe,Ahmedabad,"Navrangpura, Ahmedabad","Shop 1, Ground Floor, Gala Business Centre 2, HL Collage Road, Near Reliance Fresh, Navrangpura, Ahmedabad","Cafe, Coffee, Sandwich, Pizza, Pasta, Fast Food, Shake, Beverages",₹850 for two,11am – 11pm,+919782320643,4.5,150,4.0,25,https://www.zomato.com/ahmedabad/the-messy-door-cafe-navrangpura/info
Upper Crust,Ahmedabad,"Navrangpura, Ahmedabad","Aarohi Complex, Vijay Cross Road, Navrangpura, Ahmedabad","Chinese, BBQ, North Indian, Pasta, Italian, Fast Food",₹850 for two,11am – 11pm,"+917927912778,+917927913821,+919825232895",4.4,"1,553",4.4,"4,084",https://www.zomato.com/ahmedabad/upper-crust-navrangpura/info
Niro By Nini's,Ahmedabad,"Gulbai Tekra, Ahmedabad","Ground Floor, A Wing, Heritage Square, Opposite Atlanta Tower, Gulbai Tekra, Ahmedabad","Cafe, Coffee, Sandwich, Fast Food, Shake",₹850 for two,11am – 11pm,+919979876666,3.9,71,4.2,456,https://www.zomato.com/ahmedabad/niro-by-ninis-gulbai-tekra/info
Three Quarter Indian,Ahmedabad,"Satellite, Ahmedabad","Unit B-1101, Floor 11, Vivan Square, B Wing, Jodhpur Cross Roads, Satellite, Ahmedabad","North Indian, Continental, Italian, Chinese, Beverages, Desserts","₹1,200 for two",12noon – 11pm,+919099484950,4.2,"3,523",New,4,https://www.zomato.com/ahmedabad/three-quarter-indian-satellite/info
Timpani - Radisson Blu,Ahmedabad,"Radisson Blu, Ambavadi, Ahmedabad","Panchvati Cross Road, Near Off CG Road, Ambavadi, Ahmedabad","North Indian, Salad, Chinese, Continental, Desserts","₹2,500 for two",7am – 10:30pm,"+919099981259,+919099981253",3.9,755,3.4,62,https://www.zomato.com/ahmedabad/timpani-radisson-blu-ambavadi/info
Makeba - The Lounge Cafe,Ahmedabad,"Vastrapur, Ahmedabad","8th Floor, 3rd Eye Vision, Maruti Nexa Showroom Building, Panjrapol Circle, IIM Road, Vastrapur, Ahmedabad","Salad, North Indian, Italian, Fast Food, Desserts, Korean, Beverages","₹1,800 for two",Opens at 6pm,+917490044477,4.9,"3,011",3.9,"1,515",https://www.zomato.com/ahmedabad/makeba-the-lounge-cafe-vastrapur/info
Nini's Kitchen,Ahmedabad,"C G Road, Ahmedabad","Shop 4, 5, 6, First Floor, Majestic Plaza, C G Road, Ahmedabad","North Indian, Italian, Continental, Shawarma, Pasta, Pizza, Desserts, Beverages","₹1,400 for two",12noon – 11pm,+919925596666,4.5,"1,333",4.2,"6,317",https://www.zomato.com/ahmedabad/ninis-kitchen-c-g-road/info
Ishaara,Ahmedabad,"Thaltej, Ahmedabad","03, 4th Floor, Phoenix Palladium Mall, Thaltej, Ahmedabad","North Indian, Mughlai, Kebab, Biryani, Rolls, Pizza, Desserts","₹2,200 for two",11:30am – 11pm,+919152880895,4.6,981,3.7,180,https://www.zomato.com/ahmedabad/ishaara-thaltej/info
Kaffa Coffee Roasters,Ahmedabad,"Vastrapur, Ahmedabad","Apang Manav Mandal, DR Vikram Sarabhai Marg, IIM Road, Vastrapur, Ahmedabad","Continental, Fast Food, Pizza, Coffee, Desserts",₹850 for two,11am – 11pm,+919824002487,4.3,296,4.0,227,https://www.zomato.com/ahmedabad/kaffa-coffee-roasters-vastrapur/info
The House Of Makeba,Ahmedabad,"Bodakdev, Ahmedabad","2, Sigma 1, Corporate House, Sindhubhavan Road, Opposite Man Party Plot, Bodakdev, Ahmedabad","North Indian, Mexican, Italian, Shake, Beverages","₹1,000 for two",12noon – 1am,+918734861188,4.2,"1,748",4.1,839,https://www.zomato.com/ahmedabad/the-house-of-makeba-bodakdev/info
Legends Of Punjab - By Pepperazi,Ahmedabad,"Gulbai Tekra, Ahmedabad","1st Floor, Tirupati House, Near Panjrapole Cross Roads, Gulbai Tekra, Ahmedabad","North Indian, Fast Food, Chinese, Ice Cream, Desserts","₹1,200 for two",Opens at 6pm,+917405012175,3.8,775,4.0,"1,955",https://www.zomato.com/ahmedabad/legends-of-punjab-by-pepperazi-gulbai-tekra/info
1989 By Sphere Lounge,Ahmedabad,"Ambavadi, Ahmedabad","13 THF/1307-1308, Addor Aspire, University Road, Ambavadi, Ahmedabad","Continental, Cafe, Mexican, North Indian, Italian, Salad, Desserts, Beverages","₹1,700 for two",Opens at 6pm,+919909172225,4.4,"1,422",4.1,234,https://www.zomato.com/ahmedabad/1989-by-sphere-lounge-ambavadi/info
Foo Ahmedabad,Ahmedabad,"Thaltej, Ahmedabad","4th Floor, Palladium Mall, Municipal Corporation, Thaltej, Ahmedabad","Chinese, Sushi, Asian, Japanese, Desserts","₹1,500 for two",12noon – 11:30pm,"+917984264651,+919016851931",4.5,312,4.3,232,https://www.zomato.com/ahmedabad/foo-ahmedabad-3-thaltej/info
Pepito,Ahmedabad,"Thaltej, Ahmedabad","88/1, Shott Gaming Zone, Sindhu Bhavan Marg, Opposite MonteCristo Banquet, PRL Colony, Thaltej, Ahmedabad","Asian, European, Modern Indian, Italian, Mexican, Coffee","₹2,500 for two",12noon – 12midnight,+918858857878,3.7,139,-,0,https://www.zomato.com/ahmedabad/pepito-thaltej/info
Pizza Don,Ahmedabad,"Memnagar, Ahmedabad","Shop 20, Ground Floor, Maple Trade Memnagar, Ahmedabad","Pizza, Continental, Italian, Chinese, Arabian","₹1,000 for two",10am – 10pm,+919229410000,New,3,-,0,https://www.zomato.com/ahmedabad/pizza-don-memnagar/info
The Shaka Cafe,Ahmedabad,"Prahlad Nagar, Ahmedabad","1st Floor, Pushpak Complex, Near Prahlad Nagar Garden, Prahlad Nagar, Ahmedabad","Asian, Sushi, North Indian, Chinese, Cafe, Desserts, Beverages, Pizza","₹1,000 for two",11am – 11pm,"+918866572104,+917046841647",4.3,"1,100",3.9,"1,685",https://www.zomato.com/ahmedabad/the-shaka-cafe-prahlad-nagar/info
