Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Egyptian Brewery,"Ranjit Avenue, Amritsar","North Indian, Chinese, Italian, Continental, Asian, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/amritsar/egyptian-brewery-ranjit-avenue/info,Amritsar,"SCO 12-13, District Shopping Complex, Ranjit Avenue, Amritsar",11am – 12midnight,+917400000331,3.4,54,4.0,425
Fiesta,"Mall Road, Amritsar","North Indian, Fast Food","₹1,400 for two",https://www.zomato.com/amritsar/fiesta-mall-road/info,Amritsar,"Plot 77, First Floor, SGK Tower, Mall Road, Amritsar","12noon – 3:30pm, 6:30pm – 11pm","+919773894414,+918069026718",New,15,New,3
Grain By Elgin,"Ranjit Avenue, Amritsar","Asian, Continental, Mediterranean, Italian, Seafood, Sushi, Desserts, Cafe","₹2,000 for two",https://www.zomato.com/amritsar/grain-by-elgin-1-ranjit-avenue/info,Amritsar,"SCO 35-36, 3rd Floor, Block-D, Ranjit Avenue, Amritsar",12noon – 11pm,+917087935000,4.3,80,4.1,851
Olive 97,"Ranjit Avenue, Amritsar","North Indian, Chinese, Continental, Italian, Burger, Fast Food, Desserts, Beverages","₹1,300 for two",https://www.zomato.com/amritsar/olive-97-ranjit-avenue/info,Amritsar,"SCO 2, Mezzanine Floor, D Block, Near Scotch Barrel, Ranjit Avenue, Amritsar",11:30am – 12midnight,+918568080803,4.2,156,3.9,890
Diago,"Ranjit Avenue, Amritsar","Continental, Sushi, Chinese, Mexican, North Indian, Asian, European, Cafe","₹1,500 for two",https://www.zomato.com/amritsar/diago-ranjit-avenue/info,Amritsar,"SCO - 38, 39, 97, Acre Scheme, D - Block, Ranjit Avenue, Amritsar",1:30pm – 12:30am,+917347372958,3.8,19,New,3
Ecru Cafe & Lounge,"Ranjit Avenue, Amritsar","North Indian, Continental, Cafe, Bar Food, Chinese, Asian, Pasta","₹1,000 for two",https://www.zomato.com/amritsar/ecru-cafe-lounge-ranjit-avenue/info,Amritsar,"Sixth Floor, Society 38/39, 97 Acre Scheme, Ranjit Avenue, Amritsar",11am – 11:30pm,+917696011986,3.9,21,4.0,7
Cafe Delhi Heights,"Ranjit Avenue, Amritsar","Cafe, Continental, Italian, North Indian, Chinese, Beverages","₹1,500 for two",https://www.zomato.com/amritsar/cafe-delhi-heights-ranjit-avenue/info,Amritsar,"SCO 59, B Block, District Shopping Complex, Kathu Nangal, Ranjit Avenue, Amritsar",12noon – 11:30pm,+918146222033,4.4,100,4.3,104
Elgin Cafe,"Ranjit Avenue, Amritsar","Cafe, Asian, Continental, Italian, North Indian, Turkish, Chinese, Fast Food","₹1,500 for two",https://www.zomato.com/amritsar/elgin-cafe-2-ranjit-avenue/info,Amritsar,"5-13, Village Heir, Ranjit Avenue, Amritsar",1:30pm – 11:30pm,+917087934000,4.4,47,3.9,25
Aurah,"Ranjit Avenue, Amritsar","Continental, Chinese, North Indian, Thai, Italian, Asian","₹1,000 for two",https://www.zomato.com/amritsar/aurah-1-ranjit-avenue/info,Amritsar,"Nagpal Tower 1, SCO 128, Near Vishal Mega Mart, Ranjit Avenue, Amritsar",11am – 11pm,"+911832502949,+918872886688",4.5,327,4.1,647
Amritsari Haveli,"Ranjit Avenue, Amritsar","North Indian, Mughlai, Biryani, Chinese, Asian, Shake, Beverages","₹1,000 for two",https://www.zomato.com/amritsar/amritsari-haveli-ranjit-avenue/info,Amritsar,"SCO 27, Ground Floor, D Block, Ranjit Avenue, Amritsar",11am – 11:30pm,+918400083848,3.8,30,3.7,673
