Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Barbeque Nation,"Prozone Mall, Chicalthana, Aurangabad","North Indian, BBQ, Biryani, Street Food, Kebab, Beverages, Desserts","₹1,700 for two",https://www.zomato.com/aurangabad/barbeque-nation-chikalthana/info,Aurangabad,"First Floor, Prozone Mall, API Road, MIDC Industrial Area, Chikalthana, Aurangabad",11am – 11pm,"+917710011281,+918657413490",4.7,628,3.6,"1,392"
Riwazz@The Fern Residency Aurangabad,"CIDCO, Aurangabad","North Indian, Chinese, Continental, Mughlai, Italian, Biryani, Beverages, Desserts","₹1,800 for two",https://www.zomato.com/aurangabad/riwazz@the-fern-residency-aurangabad-cidco/info,Aurangabad,"Jalgaon Road, Near INOX Tapadia, CIDCO, Aurangabad",7am – 11pm,+918600006956,3.7,50,4.1,37
Shahi Bhoj Restaurant,"CIDCO, Aurangabad",North Indian,₹400 for two,https://www.zomato.com/aurangabad/shahi-bhoj-restaurant-cidco/info,Aurangabad,"Plot C-2 N1, Town Centre, CIDCO, Aurangabad","12noon – 3:30pm, 7pm – 9:30pm",+918007708060,4.2,252,4.0,"4,392"
Great Sagar Restaurant,"Nirala Bazar, Aurangabad","Chinese, Mughlai, Seafood, Kebab, Biryani, North Indian, Desserts, Beverages",₹600 for two,https://www.zomato.com/aurangabad/great-sagar-restaurant-nirala-bazar/info,Aurangabad,"CTS 3003, VIP Road, Opposite Bhadkal Gate, Nirala Bazar, Aurangabad",10am – 10pm,+918149950111,4.3,621,4.3,17.7K
Biryani By Kilo,"CIDCO, Aurangabad","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹600 for two,https://www.zomato.com/aurangabad/biryani-by-kilo-cidco/info,Aurangabad,"Shop 1 & 2 Plot 14, Shreeji Apartment, Town Centre, CIDCO, Aurangabad",10am – 11pm,18002122212,4.4,235,3.9,"2,360"
Green Leaf,"CIDCO, Aurangabad","North Indian, Chinese, Beverages, Juices, Desserts, Sichuan",₹750 for two,https://www.zomato.com/aurangabad/green-leaf-cidco/info,Aurangabad,"Shop 6-9, Fame Tapadiya Multiplex, Town Centre, N-1, CIDCO, Aurangabad",11:30am – 11pm,"+919260500400,+918237861799",4.9,"1,017",4.3,15.3K
Bhoj Restaurant,"Nirala Bazar, Aurangabad",North Indian,₹300 for two,https://www.zomato.com/aurangabad/bhoj-restaurant-nirala-bazar/info,Aurangabad,"First Floor, Bhau Pathak Smriti Kamgar Bhavan, CBS Road, Nirala Bazar, Aurangabad","11am – 4pm, 6pm – 10pm",+918007774887,4.3,652,4.2,"6,979"
That Baat,"Nirala Bazar, Aurangabad",Maharashtrian,₹450 for two,https://www.zomato.com/aurangabad/that-baat-nirala-bazar/info,Aurangabad,"Near Vivekanand College, Samarth Nagar, Nirala Bazar, Aurangabad","11am – 3:30pm, 7pm – 11pm",+912402334666,4.3,409,-,0
Welcome Hotel Rama International,"WelcomHotel Rama International, CIDCO, Aurangabad","North Indian, Chinese, Thai, South Indian, Seafood","₹2,000 for two",https://www.zomato.com/aurangabad/welcome-hotel-rama-international-cidco/info,Aurangabad,"R3, Chikalthana, Jalna Road, CIDCO, Aurangabad",11am – 10:30pm,"+912406634141,+918447792932",4.2,169,4.2,79
KA Lounge,"Mondha, Aurangabad","North Indian, Continental, Finger Food","₹1,200 for two",https://www.zomato.com/aurangabad/ka-lounge-mondha/info,Aurangabad,"Plot 2, Jalna Road, Akashwani Circle, Mahesh Nagar, Opposite SFS School, Mondha, Aurangabad",12noon – 11pm,"+912402364466,+912402364467,+919130267073",4.1,181,3.8,"1,265"
Te Amo Pure Veg Restaurant,"Akashwani, Aurangabad","North Indian, Chinese, Continental, Italian, Desserts, Beverages",₹800 for two,https://www.zomato.com/aurangabad/te-amo-pure-veg-restaurant-akashwani/info,Aurangabad,"Jalna Road, Glod Plex, Manjit Nagar, Akashwani, Aurangabad","12noon – 3pm, 6:45pm – 10:30pm",+917588443703,4.3,344,4.2,916
