Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Scottish Pub,"St. Marks Road, Bangalore",Finger Food,₹700 for two,https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,Bangalore,"17/21, Vasavi Complex, St. Marks Road, Bangalore",12noon – 11pm,"+919606987571,+919739993595",4.4,414,-,0
Kling Brewery,"Church Street, Bangalore","Continental, European, Asian, Chinese, North Indian, South Indian, Seafood","₹1,500 for two",https://www.zomato.com/bangalore/kling-brewery-church-street-bangalore/info,Bangalore,"27, Ground Floor, Sattva Auro, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",12noon – 1am,+919880228891,4.2,153,-,0
Just BLR,"Brigade Road, Bangalore","North Indian, Chinese, Biryani, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info,Bangalore,"185, 1st Floor, Deena Complex, Brigade Road, Bangalore",11am – 1am,"+917483929914,+919632888544",4.4,"8,064",-,0
Flo,"Church Street, Bangalore","Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/bangalore/flo-church-street-bangalore/info,Bangalore,"3, MSR West Park, Church Street, Bangalore",12noon – 1am,+918045685650,4.2,"1,142",4.0,28
Toca Brigade,"Brigade Road, Bangalore",South Indian,"₹1,200 for two",https://www.zomato.com/bangalore/toca-brigade-brigade-road-bangalore/info,Bangalore,"25, Shanthala Nagar, Brigade Road, Bangalore",11am – 12midnight,"+917560815836,+919538866885,+919632545482",4.1,25,-,0
ShakesBierre,"Eva Mall, Brigade Road, Bangalore","Finger Food, North Indian, Continental, Italian, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,Bangalore,"60, Level 4, EVA Mall, Ashok Nagar, Brigade Road, Bangalore",11:30am – 1am,"+919614959959,+919606979932,+919606979937",4.4,"3,521",4.2,119
Down Town Diner,"Brigade Road, Bangalore","Cafe, Coffee, Fast Food, Pizza, Burger, Sandwich, Desserts, Beverages",₹750 for two,https://www.zomato.com/bangalore/down-town-diner-brigade-road-bangalore/info,Bangalore,"41/42, Brigade Road, Bangalore",12noon – 12midnight,+918050311212,4.4,264,-,0
Mannheim Craft Brewery,"Garuda Mall, Magrath Road, Bangalore","South Indian, North Indian, Continental, Desserts, Asian","₹1,500 for two",https://www.zomato.com/bangalore/mannheim-craft-brewery-brigade-road-bangalore/info,Bangalore,"5th and 6th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",11:30am – 12midnight,+919663395483,4.4,242,-,0
SkyDeck By Sherlock's,"MG Road, Bangalore","Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts","₹1,800 for two",https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info,Bangalore,"Opposite Metro Station, MG Road, Bangalore",11:30am – 1am,"+919972911992,+917028568026,+919620838127",4.2,"4,349",-,0
No Limmits Lounge And Club,"Brigade Road, Bangalore","Chinese, Continental, North Indian, Fast Food, Pizza, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,Bangalore,"8, 2nd Floor, Allied Grande Plaza, Opposite Garuda Mall, Brigade Road, Bangalore",11am – 1am,"+919008979977,+918217334582,+919620569876",3.8,"4,480",-,0
