Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Latitude Cafe And Restro,"Maharana Pratap Nagar, Bhopal","North Indian, Chinese, Fast Food, Pizza, Burger, Thai, Asian, Biryani","₹1,800 for two",https://www.zomato.com/bhopal/latitude-cafe-and-restro-2-maharana-pratap-nagar/info,Bhopal,"Plot 244, King Shopping Center, Maharana Pratap Nagar, Bhopal",11am – 12midnight,+918982349324,4.1,50,4.0,15
Naveen's Bapu Ki Kutia,"Gulmohar Colony, Bhopal","North Indian, South Indian, Chinese, Fast Food, Desserts, Shake, Beverages",₹700 for two,https://www.zomato.com/bhopal/naveens-bapu-ki-kutia-gulmohar-colony/info,Bhopal,"Shop 1&2 Ground Floor, Opposite Aura Mall, Gulmohar Colony, Bhopal",12noon – 11pm,+918823052691,3.9,302,4.2,"7,814"
The Bastion,"Hoshangabad Road, Bhopal","Continental, North Indian, Chinese, Biryani, Mughlai, Desserts","₹1,200 for two",https://www.zomato.com/bhopal/the-bastion-hoshangabad-road/info,Bhopal,"Plot-5, Vidhya Nagar, Sector A, Near Barkatullah University, Hoshangabad Road, Bhopal","12midnight – 4am, 12noon – 12midnight",+919131133455,4.3,50,4.1,"1,601"
Poppin' Deli,"Arera Colony, Bhopal","Cafe, Coffee, Mexican, Pizza, Fast Food, Desserts, Beverages","₹1,100 for two",https://www.zomato.com/bhopal/poppin-deli-arera-colony/info,Bhopal,"265, E2, Arera Colony, Bhopal",11am – 11pm,+918770452084,4.2,55,-,0
Ecko- Artisanal Bistro,"Gulmohar Colony, Bhopal","North Indian, Continental, Chinese, Biryani, Pizza, Pasta, Desserts, Cafe","₹1,000 for two",https://www.zomato.com/bhopal/ecko-artisanal-bistro-gulmohar-colony/info,Bhopal,"4th Floor, HBD Arcade, Ishwar Nagar, Gulmohar Colony, Bhopal","12midnight – 1:30am, 1pm – 12midnight",+916264755727,4.3,184,3.9,115
Zoku,"Habib Ganj, Bhopal","Asian, Chinese","₹1,200 for two",https://www.zomato.com/bhopal/zoku-habib-ganj/info,Bhopal,"Ground Floor, Bansal One Building, Rani Kamlapati, Habib Ganj, Bhopal",12noon – 10:45pm,"+919893338259,+919893338269",3.9,10,New,3
Momo Cafe - Courtyard Marriot,"Courtyard By Marriot, Maharana Pratap Nagar, Bhopal","North Indian, Continental, Italian, Cafe","₹1,600 for two",https://www.zomato.com/bhopal/momo-cafe-courtyard-marriot-maharana-pratap-nagar/info,Bhopal,"Courtyard By Marriot, 4th Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",6:30am – 11:30pm,"+919171099811,+917000595733",4.1,307,-,0
Ivoryy,"Habib Ganj, Bhopal","Mediterranean, Asian","₹1,500 for two",https://www.zomato.com/bhopal/ivoryy-habib-ganj/info,Bhopal,"2nd Floor, Bansal One Mall, Habib Ganj, Bhopal",12noon – 11:30pm,+919244780116,4.2,56,-,0
Fusion Cafe - Radisson Hotel,"Radisson - Bhopal Gulmohar Colony, Bhopal","North Indian, Continental, Chinese, Desserts","₹1,000 for two",https://www.zomato.com/bhopal/fusion-cafe-radisson-hotel-1-gulmohar-colony/info,Bhopal,"E8, Ishwar Nagar, Huzur, Opposite Savoy Complex, Gulmohar Colony, Bhopal",12:30pm – 11pm,+919329331017,4.2,111,3.7,118
Zaaiqa - Noor Us Sabah Palace,"Kohefiza, Bhopal","North Indian, Mughlai, Kebab, Awadhi, Biryani, Desserts, Continental","₹3,500 for two",https://www.zomato.com/bhopal/zaaiqa-noor-us-sabah-palace-kohefiza/info,Bhopal,"VIP Road, Hotel Welcome Heritage, Kohefiza, Bhopal",12:30pm – 11pm,+917554223333,4.2,276,-,0
Pirates Of Grill,"Maharana Pratap Nagar, Bhopal","Chinese, Salad, North Indian, BBQ, Mughlai, Oriental, Desserts","₹1,000 for two",https://www.zomato.com/bhopal/pirates-of-grill-maharana-pratap-nagar/info,Bhopal,"Shop R-7, 3rd Floor, DB City Mall, Maharana Pratap Nagar, Bhopal","12noon – 4pm, 6:30pm – 10:30pm","+917880055663,+917880055662",4.5,"1,163",4.3,791
Bhopal Bakehouse & Cafe,"Arera Colony, Bhopal","Bakery, Italian, Fast Food, Desserts, Beverages, Cafe",₹400 for two,https://www.zomato.com/bhopal/bhopal-bakehouse-cafe-arera-colony/info,Bhopal,"E-4/90, 10 Number Market, Arera Colony, Bhopal",2pm – 11pm,+917225034444,4.1,283,4.2,"2,796"
Effotel By Sayaji,"Hoshangabad Road, Bhopal","North Indian, South Indian, Continental, Seafood, Chinese, Biryani, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/bhopal/effotel-by-sayaji-hoshangabad-road/info,Bhopal,"435/14 435/1/6, Bawadiya Kalan, Hoshangabad Road, Bhopal",8am – 11:30pm,+918839000120,4.5,81,4.0,297
