Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Asiatic Kitchen & Cafe,"Bapuji Nagar, Bhubaneshwar","Chinese, North Indian, Thai, Biryani, Sushi","₹1,000 for two",https://www.zomato.com/bhubaneswar/asiatic-kitchen-cafe-bapuji-nagar-bhubaneshwar/info,Bhubaneswar,"Plot 211, Near Sadashiv Book Store, Bapuji Nagar, Bhubaneshwar",11am – 10:30pm,+919178468744,4.6,92,New,3
Kabsa Biryani,"Jagmohan Nagar, Bhubaneshwar","Biryani, North Indian, South Indian, Rolls","₹1,000 for two",https://www.zomato.com/bhubaneswar/kabsa-biryani-jagmohan-nagar-bhubaneshwar/info,Bhubaneswar,"Plot No-1080/2715, ITER college Road, Jagmohan Nagar, Bhubaneshwar",11am – 10:30pm,+916372802162,3.2,13,3.3,"6,472"
Beyrut Classy Dine,"Jagmohan Nagar, Bhubaneshwar","North Indian, Chinese, Shawarma, Wraps, Rolls, Biryani, Salad",₹600 for two,https://www.zomato.com/bhubaneswar/beyrut-classy-dine-jagmohan-nagar-bhubaneshwar/info,Bhubaneswar,"Plot 1086/2716, Jagmohan Nagar, Bhubaneshwar",11:15am – 12midnight,+918917408339,-,1,4.3,430
Dil - E - Mughlai,"Khandagiri, Bhubaneshwar","Mughlai, North Indian, Biryani, Rolls","₹1,000 for two",https://www.zomato.com/bhubaneswar/dil-e-mughlai-khandagiri-bhubaneshwar/info,Bhubaneswar,"Plot 1199, Jagamara, ITER College Road, Khandagiri, Bhubaneshwar","12noon – 4pm, 7pm – 10:30pm",+919692473630,4.1,129,4.2,"7,426"
BBi Booze Buzz Inhouse,"Chandrasekharpur, Bhubaneshwar","Chinese, North Indian, Biryani, Fast Food, Pizza, Pasta, Bar Food, BBQ","₹1,200 for two",https://www.zomato.com/bhubaneswar/bbi-booze-buzz-inhouse-chandrasekharpur-bhubaneshwar/info,Bhubaneswar,"G/51, Third & Fourth Floor, Crystal Courtyard, Near Indian Oil Office, Chandrasekharpur, Bhubaneshwar",12noon – 11:30pm,+919937477866,4.6,"1,147",4.1,103
Oppheem,"Patia, Bhubaneshwar","North Indian, Continental, Italian, Chinese, Mughlai, Biryani, Desserts, Beverages",₹800 for two,https://www.zomato.com/bhubaneswar/oppheem-patia-bhubaneshwar/info,Bhubaneswar,"Kanan Vihar, Nandankanan Road, Patia, Bhubaneshwar",12:30pm – 12midnight,+919777166788,4.4,646,3.8,409
Chili's Grill & Bar,"Sahid Nagar, Bhubaneshwar","Mexican, Italian, American, Tex-Mex, Bar Food, Beverages","₹1,200 for two",https://www.zomato.com/bhubaneswar/chilis-grill-bar-sahid-nagar-bhubaneshwar/info,Bhubaneswar,"2nd Floor, Esplanade One Mall, Rasulgarh Square, Sahid Nagar, Bhubaneshwar",12noon – 12midnight,"+916742588130,+916742588131",4.9,"4,401",4.3,"3,884"
AB's - Absolute Barbecues,"Patia, Bhubaneshwar","Biryani, BBQ, Kebab, North Indian, Desserts","₹1,600 for two",https://www.zomato.com/bhubaneswar/abs-absolute-barbecues-patia-bhubaneshwar/info,Bhubaneswar,"Plot 36/A, IDCO, Chandaka Industrial Area, Mouza, Patia, Bhubaneshwar","11:30am – 4:30pm, 6:30pm – 11:30pm",+917337383769,4.4,"3,879",3.6,"1,533"
Cafe Sundowner,"Lakshmi Sagar, Bhubaneshwar","Continental, Mexican, Fast Food","₹1,000 for two",https://www.zomato.com/bhubaneswar/cafe-sundowner-lakshmi-sagar-bhubaneshwar/info,Bhubaneswar,"692, Cuttack Road, Near Budheswari Temple, Lakshmi Sagar, Bhubaneshwar",11am – 11:30pm,"+917064449011,+917064449001",4.0,436,3.8,"1,085"
Barbeque Nation,"Chandrasekharpur, Bhubaneshwar","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,750 for two",https://www.zomato.com/bhubaneswar/barbeque-nation-chandrasekharpur-bhubaneshwar/info,Bhubaneswar,"Plot 12-13/557, 3rd Floor, Triplex Mall, Mauza Samantapuri, Gajapati Nagar, Chandrasekharpur, Bhubaneshwar",12noon – 11pm,"+916290918841,+919090953060",4.8,"1,461",3.5,"3,286"
