Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
FOLA | Kitchen & Bar,"Sector 9, Chandigarh",Mediterranean,"₹3,500 for two",https://www.zomato.com/chandigarh/fola-kitchen-bar-sector-9/info,Chandigarh,"SCO 6-7, Madhya Marg, Travel Gallery, Sector 9, Chandigarh",12noon – 12midnight,+918360705149,New,10,-,0
Anardana,"City Emporium Mall, Chandigarh Industrial Area, Chandigarh","North Indian, Mughlai, Chinese, Continental, Momos, Biryani, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/chandigarh/anardana-chandigarh-industrial-area/info,Chandigarh,"Shop 19/20/21, Plot 143 A, Ground Floor, City Emporium Mall, Chandigarh Industrial Area, Chandigarh",12:15pm – 11:45pm,+91 8068976041,4.9,"1,797",4.3,"2,578"
The Vault,"Sector 7, Chandigarh","North Indian, Continental, Asian, European, Biryani, Italian, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/chandigarh/the-vault-sector-7/info,Chandigarh,"SCO 11, Sector 7 C, Near Sector 7, Chandigarh",12:30pm – 12midnight,0172 6671000,3.9,176,4.0,75
Refections Cafe,"Sector 35, Chandigarh","Cafe, Coffee, Sandwich, Italian, Pizza, Continental, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/chandigarh/refections-cafe-sector-35/info,Chandigarh,"473 - 474, 1st Floor, Sector 35, Chandigarh",11:15am – 10:45pm,"+919518408629,+918708748436",3.9,135,4.3,44
So Delhi Khari Baoli,"Sector 7, Chandigarh","North Indian, Mughlai, Fast Food",₹950 for two,https://www.zomato.com/chandigarh/so-delhi-khari-baoli-1-sector-7/info,Chandigarh,"SCF 184, Inner Market, Sector 7, Chandigarh",Opens tomorrow at 11am,"+911724780377,+919811224583,+919115554583",4.2,138,4.1,255
Dryp,"Sector 8, Chandigarh","North Indian, Continental, Chinese, Beverages, Italian","₹1,400 for two",https://www.zomato.com/chandigarh/dryp-sector-8/info,Chandigarh,"SCO 120-21, Madhya Marg, Sector 8 C, Near Sector 8, Chandigarh",11am – 12midnight,"+919563500013,+919563600013",4.3,225,4.3,77
Aja- Honestly Good Food,"Sector 9, Chandigarh","Healthy Food, Asian, Pizza, Salad, Fast Food, Desserts, Coffee, Beverages","₹1,600 for two",https://www.zomato.com/chandigarh/aja-honestly-good-food-sector-9/info,Chandigarh,"SCO 129-131, Sector 9, Chandigarh",10:30am – 12midnight,+91 8068972812,4.5,"1,657",4.3,"4,748"
United Coffee House Rewind,"Elante Mall, Chandigarh Industrial Area, Chandigarh","North Indian, Chinese, Continental, Italian, Seafood, Biryani, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/chandigarh/united-coffee-house-rewind-chandigarh-industrial-area/info,Chandigarh,"322 B, 3rd Floor, Elante Mall, Chandigarh Industrial Area, Chandigarh",12noon – 11:30pm,"+917290064251,+917290064252",4.5,609,4.1,415
ZHU - A Pan Asian Cocktail Bar,"Sector 7, Chandigarh","Asian, Japanese, Sushi","₹2,700 for two",https://www.zomato.com/chandigarh/zhu-a-pan-asian-cocktail-bar-sector-7/info,Chandigarh,"SCO 40, Sector 7C, Sector 7, Chandigarh",11am – 11pm,+919877946347,4.1,105,-,0
Wild Thyme,"Sector 7, Chandigarh","Cafe, Pizza, Italian, Asian, Pasta, Continental, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/chandigarh/wild-thyme-sector-7/info,Chandigarh,"07, Madhya Marg, Sector 7, Chandigarh",11am – 11:30pm,+91 8068972786,4.0,311,-,0
Culture Brew Exchange,"Sector 26, Chandigarh","North Indian, Chinese, Pizza, Beverages, Desserts, Fast Food","₹1,800 for two",https://www.zomato.com/chandigarh/culture-brew-exchange-sector-26/info,Chandigarh,"SCO 1, Sector 26, Chandigarh",3pm – 2am,"+917901804000,+917901803000",4.0,634,4.0,31
PizzaExpress,"Sector 67, Mohali","Pizza, Bakery, Salad, Beverages, Coffee, Italian","₹1,200 for two",https://www.zomato.com/chandigarh/pizzaexpress-sector-67-mohali/info,Chandigarh,"Shop T-020, Third Floor, CP 67, Site 252, Sector 67, Mohali",11am – 11pm,+918655894655,New,51,4.0,27
Tiger Five,"Sector 26, Chandigarh","North Indian, Chinese, Kashmiri, Sushi, Pizza, Salad, Beverages, Desserts","₹1,400 for two",https://www.zomato.com/chandigarh/tiger-five-sector-26/info,Chandigarh,"SCO 5, Madhya Marg, Sector 26, Chandigarh",11am – 11pm,+91 8068976052,4.4,293,4.2,37
Eli's Bakehouse,"Sector 5, Panchkula","Bakery, Chinese, Continental, North Indian, Desserts","₹1,300 for two",https://www.zomato.com/chandigarh/elis-bakehouse-sector-5-panchkula/info,Chandigarh,"SCO 55, Sector 5, Panchkula",24 Hours,+919915295990,4.2,142,4.2,537
Zeek,"Sector 26, Chandigarh","North Indian, Salad, Chinese, Italian, Mughlai, Pizza, Burger, Desserts","₹1,400 for two",https://www.zomato.com/chandigarh/zeek-sector-26/info,Chandigarh,"SCO 44, Sector 26, Chandigarh",12noon – 2am,"+917347005300,+917347005400",4.3,280,-,0
Punjab Street,"TDI City, Mohali","North Indian, Chinese, Fast Food, Street Food, Biryani, Burger, Shake, Tea",₹450 for two,https://www.zomato.com/chandigarh/punjab-street-tdi-city-mohali/info,Chandigarh,"Daun, Sector 118, Near HP Petrol Pump, TDI City, Mohali",24 Hours,"+917601000039,+919877633036",4.3,169,4.2,"5,362"
