Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
BTL,"Egmore, Chennai","North Indian, South Indian, Continental, Asian, Salad, Fast Food, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/chennai/btl-egmore/info,Chennai,"44, Langs Garden Road, Pudupet, Komaleeswaranpet, Egmore, Chennai",12:30pm – 12midnight,+917418333950,3.8,134,3.9,10
Enoki,"Egmore, Chennai","Sushi, Japanese, Asian, Thai, Desserts, Seafood, Beverages","₹1,000 for two",https://www.zomato.com/chennai/enoki-egmore/info,Chennai,"3, Gandhi-Irwin Road, Near CMDA Buildings, Egmore, Chennai",11am – 11:30pm,+919710922302,4.2,169,4.0,21
Symphony,"Ramada, Egmore, Chennai","North Indian, Continental, Oriental, Chinese","₹3,100 for two",https://www.zomato.com/chennai/symphony-egmore/info,Chennai,"2A, Ramada, Poniamman Koil Street, Gandhi Irwin Bridge Road, Egmore, Chennai","7am – 11am, 12:30pm – 3pm, 7:30pm – 11pm","+919840577811,+914446104777",4.1,293,4.3,38
Masaledaar Desi Rasoi,"Vepery, Chennai","North Indian, Chinese, Biryani, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/chennai/masaledaar-desi-rasoi-vepery/info,Chennai,"211, Strahans Road, Vepery, Chennai",Opens tomorrow at 11:30am,+918925157772,4.1,26,4.2,"3,694"
365 A.S. - Hyatt Regency,"Hyatt Regency, Teynampet, Chennai","Asian, North Indian, Pizza, Italian, Continental, Beverages","₹2,500 for two",https://www.zomato.com/chennai/365-a-s-hyatt-regency-teynampet/info,Chennai,"365, Hyatt Regency, Teynampet, Chennai",1pm – 3am,"+919884369333,+914461001234",4.2,230,-,0
Irida Skky Lounge,"Egmore, Chennai",Continental,"₹2,500 for two",https://www.zomato.com/chennai/irida-skky-lounge-egmore/info,Chennai,"64/30, 10th Floor, Briley One, Egmore, Chennai",12noon – 11pm,+919884712222,4.3,105,-,0
Texas Bar & Kitchen,"T. Nagar, Chennai",Continental,"₹2,000 for two",https://www.zomato.com/chennai/texas-bar-kitchen-t-nagar/info,Chennai,"Jaag Hotel, Ground Floor, Somasundaram Street, Darmapuram, T. Nagar, Chennai",12noon – 11pm,+917338991222,New,10,-,0
Above Sea Level - The Raintree,"The Raintree, Alwarpet, Chennai","Continental, Mughlai, North Indian, Kebab, Italian, Desserts","₹3,500 for two",https://www.zomato.com/chennai/above-sea-level-the-raintree-alwarpet/info,Chennai,"The Raintree, 120, St Marys Road, Alwarpet, Chennai",7pm – 12midnight,+914442252525,4.1,429,-,0
Colony - The Raintree,"The Raintree, Alwarpet, Chennai","Italian, North Indian, South Indian, Continental, Fast Food, Beverages, Desserts","₹3,300 for two",https://www.zomato.com/chennai/colony-the-raintree-alwarpet/info,Chennai,"120, St Mary's Road, Alwarpet, Chennai",7am – 11:30pm,"+914442252525,+914424304050,+919150070919",4.1,207,4.3,52
Blind Ch3mistry,"Anna Nagar East, Chennai","Cafe, Beverages, Continental, Mexican, Pizza, Sandwich, Fast Food, Pasta","₹1,100 for two",https://www.zomato.com/chennai/blind-ch3mistry-anna-nagar-east/info,Chennai,"39, Block Q, 6th Avenue Road, Anna Nagar East, Chennai",11am – 11pm,+918098877077,3.9,"1,329",4.4,277
