Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Mufasa,"Race Course, Coimbatore","South Indian, North Indian, Pasta, Pizza","₹1,000 for two",https://www.zomato.com/coimbatore/mufasa-race-course/info,Coimbatore,"1050, 4Th Floor, Avinashi Road, Race Course, Coimbatore",Opens at 12noon,+919150311577,New,7,-,0
China Valley Chinese Restaurant,"Ramanathapuram, Coimbatore","Chinese, Seafood, Oriental, Continental, Desserts, Beverages, Momos, Shake","₹1,000 for two",https://www.zomato.com/coimbatore/china-valley-chinese-restaurant-ramanathapuram/info,Coimbatore,"1197, Sungam, Trichy Road, Near Canara Bank, Ramanathapuram, Coimbatore","11:30am – 3:30pm, 6pm – 10:30pm",+91 8068976161,4.0,183,4.1,"4,047"
Nin Hao,"Saibaba Colony, Coimbatore","Chinese, Seafood, Salad, Rolls, Momos, Desserts, Beverages, Shake",₹800 for two,https://www.zomato.com/coimbatore/nin-hao-saibaba-colony/info,Coimbatore,"318/A, N.S.R.Road, Saibaba Colony, Coimbatore",Opens at 12noon,+91 8068976303,4.0,213,3.8,"3,680"
EatAlley Cafe,"Saibaba Colony, Coimbatore","Italian, Pizza, Fast Food, Street Food, Beverages",₹500 for two,https://www.zomato.com/coimbatore/eatalley-cafe-saibaba-colony/info,Coimbatore,"38, Bharathi Park, 8th Cross, Saibaba Colony, Coimbatore",11:45am – 9:45pm,+91 8068976292,3.8,11,4.5,432
Zoca Cafe,"Peelamedu, Coimbatore","Pizza, Burger, Cafe, Pasta, Sandwich, Shake, Continental, Mediterranean","₹1,000 for two",https://www.zomato.com/coimbatore/zoca-cafe-peelamedu/info,Coimbatore,"9/11 Jeganathan Colony, Housing Unit, Avinashi Road, Peelamedu, Coimbatore",11am – 11pm,+91 8068976306,3.4,8,3.1,39
Hide In Heaven,"Saravanampatty, Coimbatore","South Indian, North Indian, Seafood, Salad, Continental, Asian, Italian, Bar Food","₹1,500 for two",https://www.zomato.com/coimbatore/hide-in-heaven-saravanampatty/info,Coimbatore,"67A, Saravanampatti, Sivanandha Puram, Sathy Road, Saravanampatty, Coimbatore",11am – 11pm,+91 8037971640,3.9,15,-,0
Cardiff Cafe,"Peelamedu, Coimbatore","Cafe, Fast Food, Beverages, Shake, Sandwich, Pizza, Burger",₹500 for two,https://www.zomato.com/coimbatore/cardiff-cafe-peelamedu/info,Coimbatore,"8021/19, Ramasamy Nagar, Vilankurichi Road, Ward-37, Peelamedu, Coimbatore",24 Hours,+91 8068976291,4.1,84,3.6,"1,968"
Cardiff Cafe - Codissia,"Peelamedu, Coimbatore","Cafe, Fast Food",₹600 for two,https://www.zomato.com/coimbatore/cardiff-cafe-codissia-peelamedu/info,Coimbatore,"60, 61 Venkatachalpathi Nagar, Opposite To Geethanjali School, Thaner Pandal, Peelamedu, Coimbatore",Opens at 3pm,+91 8068976181,3.4,16,3.6,319
Burger Ka Baap,"Saibaba Colony, Coimbatore","Burger, Sandwich, Fast Food, Beverages, Shake, Cafe, Pasta, Salad",₹400 for two,https://www.zomato.com/coimbatore/burger-ka-baap-saibaba-colony/info,Coimbatore,"92-A, Narayana Guru Mission Road, Saibaba Colony, Coimbatore",Opens at 12:15pm,+91 8068976305,3.9,13,4.2,245
The Living Room,"Peelamedu, Coimbatore","South Indian, North Indian, Pizza, Pasta, Fast Food, Kebab, Desserts","₹1,500 for two",https://www.zomato.com/coimbatore/the-living-room-peelamedu/info,Coimbatore,"480, 2nd Floor, Avinashi Road, Peelamedu, Coimbatore",Opens at 12noon,+919894324929,4.4,62,4.1,94
Lord Of The Drinks,"Peelamedu, Coimbatore","Continental, Juices, Beverages","₹1,000 for two",https://www.zomato.com/coimbatore/lord-of-the-drinks-peelamedu/info,Coimbatore,"278/1, C/C7, Kovil Street, Pudhur Mariamman, Avinashi Road, Peelamedu, Coimbatore",Opens at 12noon,+919943352222,4.5,26,-,0
AB's - Absolute Barbecues,"Lakshmi Mills, Coimbatore","Biryani, BBQ, Kebab, North Indian, Desserts","₹1,600 for two",https://www.zomato.com/coimbatore/abs-absolute-barbecues-lakshmi-mills/info,Coimbatore,"Door 1095, First Floor, Vignesvar Cresta, Avinashi Road, Lakshmi Mills, Coimbatore","11:30am – 4:30pm, 6:30pm – 11:30pm",+917337383762,4.4,"2,972",3.1,"1,304"
Radio Room,"Sitra, Coimbatore","South Indian, Shake","₹2,000 for two",https://www.zomato.com/coimbatore/radio-room-sitra/info,Coimbatore,"96, 3rd Floor, Broadway Square, Indira Nagar, Off, Avinashi Road, Sitra, Coimbatore",Opens at 12noon,+918270000200,3.3,5,New,0
10 Downing Street,"Sitra, Coimbatore","Continental, North Indian, Chinese, Mughlai, Kebab, Bar Food, Fast Food, Beverages",₹800 for two,https://www.zomato.com/coimbatore/10-downing-street-sitra/info,Coimbatore,"The Arcadia, Goldwins, 4th Avinashi Road, Sitra, Coimbatore",Opens at 12noon,"+914222627260,+919566361616,+919566351515",4.3,250,3.8,502
SS Hyderabad Biryani-COIMBATORE,"Gandhipuram, Coimbatore","Biryani, Chinese, Mughlai, North Indian, Seafood",₹500 for two,https://www.zomato.com/coimbatore/ss-hyderabad-biryani-coimbatore-gandhipuram/info,Coimbatore,"New VS Towers 51, 11th Street, Cross Cut Road, Gandhipuram, Coimbatore",10:30am – 11pm,"+917407712345,+916381114573",4.0,61,4.4,40.7K
Sherlock's - Lounge & Kitchen,"Brookefields Mall, RS Puram, Coimbatore","Cuisine Varies, Chinese, Continental, Bar Food, Oriental, Pizza, Pasta, Biryani","₹2,000 for two",https://www.zomato.com/coimbatore/sherlocks-lounge-kitchen-rs-puram/info,Coimbatore,"B3, 3rd Floor, Brookefields Mall, Krishnasamy Road, RS Puram, Coimbatore",Opens at 12noon,+918220468140,4.4,209,3.8,264
Bulls & Bears Bistro,"RS Puram, Coimbatore","Cafe, Coffee, Continental, Pasta, Fast Food, Desserts, Shake, Beverages",₹900 for two,https://www.zomato.com/coimbatore/bulls-bears-bistro-rs-puram/info,Coimbatore,"40, Ground Floor, East Lokmanya Street, RS Puram, Coimbatore",11am – 10pm,+917448677707,4.4,54,-,0
