Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Cafune,"Ballupur, Dehradun","Chinese, Asian, Salad, Pasta, Mexican, North Indian, Biryani, Desserts","₹1,000 for two",https://www.zomato.com/dehradun/cafune-ballupur/info,Dehradun,"244/2, Rajendra Nagar, Street 7, Kaulagarh Road, Ballupur, Dehradun",11am – 11pm,+919258372101,3.5,7,4.0,13
South Indian Vibes Restaurant,"Ashtley Hall, Karanpur, Dehradun","South Indian, Desserts, Beverages",₹700 for two,https://www.zomato.com/dehradun/south-indian-vibes-restaurant-karanpur/info,Dehradun,"3, 1st & 2nd Floor, Astley Hall, Rajpur Road, Karanpur, Dehradun",9am – 11pm,"+917078234567,+917078345678",4.5,"1,619",4.5,"4,183"
Black Pepper Restaurant,"Ashtley Hall, Karanpur, Dehradun","North Indian, Mughlai, Chinese, Biryani, Desserts, Beverages","₹1,600 for two",https://www.zomato.com/dehradun/black-pepper-restaurant-karanpur/info,Dehradun,"3, 1st & 2nd Floor, Ashtley Hall, Rajpur Road, Karanpur, Dehradun",11:30am – 11:30pm,"+919997000909,+919410930186,+919411325112",4.4,"5,646",4.3,"3,108"
Dehradun Social,"Hathibarkala Salwala, Dehradun","North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages","₹1,300 for two",https://www.zomato.com/dehradun/dehradun-social-hathibarkala-salwala/info,Dehradun,"108/84, R-03, Fifth Floor, Centrio Mall, Rabindranath Tagore Marg, Hathibarkala Salwala, Dehradun",11am – 11pm,+919520897191,4.0,137,4.2,891
Smoke House Deli,"Hathibarkala Salwala, Dehradun","European, Italian, Pizza, Healthy Food, Desserts, Beverages","₹2,200 for two",https://www.zomato.com/dehradun/smoke-house-deli-hathibarkala-salwala/info,Dehradun,"Unit 31 & 32, Ground Floor, Unison Mall, 108/84 Rabindra Nath Tagore Marg, Hathibarkala Salwala, Dehradun",11am – 11:30pm,"+917454917265,+911356170855",4.4,40,4.2,831
Rumours,"Jakhan, Dehradun","Chinese, Continental, Italian, North Indian, Burger, Salad, Pizza, Sandwich","₹1,500 for two",https://www.zomato.com/dehradun/rumours-jakhan/info,Dehradun,"155/1, 5th Floor, Euphoria Shopping Complex, Kishanpur, Rajpur Road, Jakhan, Dehradun","12:01am – 1am, 11am – 11:55pm",+919999924964,4.4,166,3.7,20
Diablo,"Rajpur, Dehradun","Middle Eastern, Asian, Salad, Continental, Mediterranean, North Indian, American","₹1,800 for two",https://www.zomato.com/dehradun/diablo-rajpur/info,Dehradun,"The Stallion 205, 5Th Floor, Rajpur Road, Rajpur, Dehradun",Opens at 1pm,"+919258573099,+919258577099",3.9,72,-,4
Aristella,"Rajpur, Dehradun","Mexican, Chinese, Lebanese, Fast Food, North Indian, Modern Indian","₹1,200 for two",https://www.zomato.com/dehradun/aristella-1-rajpur/info,Dehradun,"9/5, Old Mussoorie Road, Rajpur, Dehradun",11:30am – 11pm,+917452892788,4.2,176,3.5,46
Chili's Grill & Bar,"Pacific Mall, Jakhan, Dehradun","Mexican, Pasta, Pizza, Salad, Burger, Tex-Mex, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/dehradun/chilis-grill-bar-jakhan/info,Dehradun,"Shop 04, Ground Floor, Pacific Mall, Rajpur Road, Jakhan, Dehradun",10am – 12midnight,+919667866319,4.4,421,4.2,251
Dhaba - Estd 1986 Delhi,"Karanpur, Dehradun","North Indian, Mughlai","₹1,200 for two",https://www.zomato.com/dehradun/dhaba-estd-1986-delhi-karanpur/info,Dehradun,"5th Floor, Centrio Mall, Bhel Chowk, Karanpur, Dehradun",12noon – 11pm,"+917302220162,+917302220164",4.3,471,4.0,220
Cure The Culinary Bar,"Jakhan, Dehradun","Italian, European, Mexican, Pizza, Desserts","₹1,000 for two",https://www.zomato.com/dehradun/cure-the-culinary-bar-jakhan/info,Dehradun,"412/28/114, Canal Road, Near Limit Fitness Gym, Jakhan, Dehradun",11am – 10:45pm,+918171236579,4.5,61,4.0,20
Cafe Delhi Heights,"Pacific Mall, Jakhan, Dehradun","North Indian, Chinese, Seafood, Italian, Oriental, Biryani, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/dehradun/cafe-delhi-heights-jakhan/info,Dehradun,"Shop SH/GF/03, Ground Floor, Pacific Mall, Rajpur Road, Jakhan, Dehradun",12noon – 11pm,+918755903033,4.2,61,4.2,69
