Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Connaught Club House,"Janpath, New Delhi","North Indian, Mughlai, Italian, Continental, Asian, Fast Food, Desserts","₹3,000 for two",https://www.zomato.com/ncr/connaught-club-house-janpath-new-delhi/info,Ncr,"54, Tolstoy Lane, Janpath, New Delhi",12noon – 1am,011 66992413,4.3,"2,026",3.7,47
The W Restaurant,"Connaught Place, New Delhi","Continental, North Indian, Italian, Chinese","₹1,500 for two",https://www.zomato.com/ncr/the-w-restaurant-connaught-place-new-delhi/info,Ncr,"G-68, 1St Floor, Outer Circle, Connaught Place, New Delhi",12noon – 1am,+919953353975,4.4,304,-,0
Plum Coffee and Cocktails,"Connaught Place, New Delhi","Continental, North Indian, Italian, Asian","₹2,000 for two",https://www.zomato.com/ncr/plum-coffee-and-cocktails-connaught-place-new-delhi/info,Ncr,"1st Floor, N Block, 86, Connaught Place, New Delhi",10am – 1am,+91 8068974695,4.1,343,-,0
Out Of The Box Courtyard,"Middle Circle, Connaught Place, New Delhi","Continental, North Indian, Italian, Pizza, Chinese, Asian, Fast Food, Beverages","₹2,200 for two",https://www.zomato.com/ncr/out-of-the-box-courtyard-1-connaught-place-new-delhi/info,Ncr,"B 14/1-6, Middle Circle, Connaught Place, New Delhi",12noon – 1am,+917701801223,4.2,"1,959",4.0,42
Sorrento - Shangri-La Eros New Delhi,"Shangri-La Eros, New Delhi","Continental, Italian","₹4,000 for two",https://www.zomato.com/ncr/sorrento-shangri-la-eros-new-delhi-connaught-place-new-delhi/info,Ncr,"19, Lobby Level, Ashoka Road, Connaught Place, New Delhi","12:30pm – 3:30pm, 6:30pm – 11:30pm",011 71564151,4.3,429,3.9,34
Unplugged Courtyard,"Connaught Place, New Delhi","North Indian, Chinese, Turkish, Sushi, Salad, Pizza, Biryani, Beverages","₹2,000 for two",https://www.zomato.com/ncr/unplugged-courtyard-connaught-place-new-delhi/info,Ncr,"23/7, L Block, Middle Circle, Connaught Place, New Delhi",12noon – 1am,"+919999396662,+919999396661",4.1,"5,808",4.0,19
The Arthouse Restaurant,"Connaught Place, New Delhi","North Indian, Continental, Finger Food, Italian, Asian, Cafe, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/ncr/the-arthouse-restaurant-connaught-place-new-delhi/info,Ncr,"N 35, Ground Floor, Connaught Circus, Block N, Connaught Place, New Delhi",11am – 12midnight,"+919811852233,+911147000885,+919811176773",3.9,"1,185",3.8,126
The Immigrant Cafe,"Middle Circle, Connaught Place, New Delhi","North Indian, Biryani, Finger Food, Pizza, Pasta, Desserts","₹2,500 for two",https://www.zomato.com/ncr/the-immigrant-cafe-1-connaught-place-new-delhi/info,Ncr,"B 45, 1st Floor, Inner Circle, Connaught Place, New Delhi",12noon – 12midnight,"+919999311224,+911147340432,+919990209138",4.0,"1,238",3.9,17
Farzi Cafe,"Connaught Place, New Delhi","Bar Food, North Indian, Burger, Biryani, Fast Food, Desserts, Beverages, Kebab","₹2,600 for two",https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/info,Ncr,"38/39, Block E, Inner Circle, Connaught Place, New Delhi",12noon – 12:30am,+918068972890,4.3,"5,531",3.5,173
Warehouse Cafe,"Connaught Place, New Delhi","North Indian, Italian, Asian, Kebab, Beverages","₹2,400 for two",https://www.zomato.com/ncr/warehouse-cafe-connaught-place-new-delhi/info,Ncr,"D 19/20, D Block, Inner Circle, Near Metro Station Gate 3, Connaught Place, New Delhi",12noon – 1am,+91 8068974464,4.2,11.3K,4.0,12
Chido,"Connaught Place, New Delhi","North Indian, Asian, Lebanese, Italian, European, Chinese, Beverages","₹2,000 for two",https://www.zomato.com/ncr/chido-connaught-place-new-delhi/info,Ncr,"M-18, Outer Circle, M Block, Connaught Place, New Delhi",12noon – 1am,+919289072284,4.4,"2,277",-,0
The Barbeque Times,"Sector 50, Gurgaon","BBQ, South Indian, North Indian, Asian, Mughlai, Street Food, Bakery, Desserts","₹1,800 for two",https://www.zomato.com/ncr/the-barbeque-times-sector-50-gurgaon/info,Ncr,"Shop 201-212A, Second Floor, M2K Corporate Park, N Block, Mayfield Garden, Sector 50, Gurgaon","12noon – 3:30pm, 6:30pm – 11pm","+919777956956,+919717786262",4.2,"5,252",-,0
Openhouse Cafe,"Connaught Place, New Delhi","Continental, Chinese, North Indian, Mughlai, Pizza, Beverages, Desserts, Bar Food","₹2,000 for two",https://www.zomato.com/ncr/openhouse-cafe-connaught-place-new-delhi/info,Ncr,"C-37, Connaught Place, New Delhi",12noon – 1am,011 66107202,4.2,"6,705",-,0
One8 Commune,"M3M International Financial Center, Gurgaon","North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/ncr/one8-commune-sector-66-gurgaon/info,Ncr,"M3M International Financial Center, Sector 66, Gurgaon",12:30pm – 1:30am,+91 8068974474,4.5,"1,357",-,0
The Darzi Bar & Kitchen,"Middle Circle, Connaught Place, New Delhi","North Indian, Chinese, Asian, Italian, Mughlai, Desserts, Tea, Beverages","₹2,800 for two",https://www.zomato.com/TheDarziBar/info,Ncr,"H 55, 1st Floor, Outer Circle, Connaught Place, New Delhi",12noon – 1am,+91 8068972869,4.2,"4,773",3.6,20
Bellagio,"Sector 58, Gurgaon","European, Italian, Arabian, Mughlai, Modern Indian, Salad, Desserts","₹3,000 for two",https://www.zomato.com/ncr/bellagio-sector-58-gurgaon-gurgaon/info,Ncr,"14A, 2nd Floor, Ireo Grand View High Street, Golf Course Extension Road, Sector 58, Gurgaon",12noon – 1am,"+918130476700,+918130479700",4.3,"1,638",4.0,5
Mount Fuji Japanese Pan Asian Restaurant & Bar,"Connaught Place, New Delhi","Japanese, Asian, Chinese, Thai, Sushi, Seafood, Desserts, Beverages","₹2,400 for two",https://www.zomato.com/ncr/mount-fuji-japanese-pan-asian-restaurant-bar-connaught-place-new-delhi/info,Ncr,"M-41/2, Speedbird House, Middle Circle, Connaught Place, New Delhi",11am – 10:30pm,"+918100474746,+919836997900",4.7,"1,661",4.2,175
Dramz,"Mehrauli, New Delhi","Japanese, North Indian, European, Asian, Desserts, Beverages","₹3,500 for two",https://www.zomato.com/ncr/dramz-mehrauli-new-delhi/info,Ncr,"1580/1, KD Marg, Near Qutub Minar, Mehrauli, New Delhi",1pm – 1am,+919311022419,4.0,"2,741",4.0,14
Cé La Vie Kitchen & Bar,"Middle Circle, Connaught Place, New Delhi","North Indian, Mediterranean, Continental, Sushi, Italian, Lebanese, Asian, Bar Food","₹2,200 for two",https://www.zomato.com/ncr/cé-la-vie-kitchen-bar-connaught-place-new-delhi/info,Ncr,"H-11, Ground Floor, Connaught Cir, Block H, Connaught Place, New Delhi",12noon – 1am,+919090272731,4.2,"1,308",-,0
Melt House,"M Block Market, Greater Kailash 2 (GK2), New Delhi","Cafe, Coffee, Sandwich, Italian, Desserts, Continental, Beverages","₹1,200 for two",https://www.zomato.com/ncr/melt-house-greater-kailash-gk-2-new-delhi/info,Ncr,"74, 2nd Floor, Block M, Road 5, Greater Kailash 2 (GK 2), New Delhi",9:30am – 12midnight,+917703974772,4.4,529,-,0
Somewhere Restaurant & Bar,"Middle Circle, Connaught Place, New Delhi","Asian, Lebanese, Continental, North Indian, Fast Food, Bar Food, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/ncr/somewhere-restaurant-bar-connaught-place-new-delhi/info,Ncr,"H-10, Ground Floor, H Block, Laxmi Building, Connaught Place, New Delhi",12noon – 1am,+91 8068974661,4.3,"1,480",4.0,16
Ten Twenty Two - 1022,"DDA Market, New Delhi","North Indian, Asian, European, Japanese, Beverages, Mughlai, Desserts, Drinks Only","₹1,600 for two",https://www.zomato.com/ncr/ten-twenty-two-1022-adchini-new-delhi/info,Ncr,"Shop 3, 4, 5, DDA Market, Sri Aurbindo Marg, Adchini, New Delhi",12noon – 1am,"+919811028844,+919811038844",3.8,"1,262",-,0
