Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Angry Sardar Courtyard,"Panaji, Goa","Mughlai, North Indian, Biryani, Chinese, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/goa/angry-sardar-courtyard-panaji/info,Goa,"5, Near Bata Showroom, Opposite Health Center, 18th June Road, Panaji, Goa",11am – 11:30pm,+919226882800,New,2,New,3
Mamagoto,"Panaji, Goa","Asian, Chinese, Thai, Sushi, Japanese, Desserts","₹1,200 for two",https://www.zomato.com/goa/mamagoto-panaji/info,Goa,"10/66/1 & 10 /66/2, Tiswadi, Panaji, Goa",12noon – 11pm,+917620010732,4.6,490,4.3,546
The Curry Multicuisine Family Restro-Bar,"Panaji, Goa","Finger Food, Chinese, North Indian, Biryani, Seafood, Goan, Beverages","₹1,200 for two",https://www.zomato.com/goa/the-curry-multicuisine-family-restro-bar-panaji/info,Goa,"G-06, Gera Imperium 2, Patto, Tiswadi, Panaji, Goa",11:15am – 10:45pm,+918080356608,4.1,56,4.0,"2,865"
Carlito's By The Sea,"Nerul, Goa","Goan, Continental, Bar Food","₹1,000 for two",https://www.zomato.com/goa/carlitos-by-the-sea-nerul/info,Goa,"K-15, Quegdevelim, Reis Margos, Nerul, Goa","12noon – 3:30pm, 6:30pm – 10:30pm",+919834410583,3.9,35,-,0
Shivers Garden Restaurant,"Candolim, Goa","Thai, Japanese, Asian, Beverages, Chinese, Continental, Desserts, North Indian","₹2,000 for two",https://www.zomato.com/goa/shivers-garden-restaurant-candolim/info,Goa,"H 137/A, Dando, Fort Aguada Road, Near Kingfisher Villa, Candolim, Goa",12noon – 12midnight,"+919370574760,+919860698281",4.3,477,3.9,126
Workshop Restaurant,"Penha de Franca, Goa","North Indian, Goan, Mughlai, Biryani, Chinese","₹1,300 for two",https://www.zomato.com/goa/workshop-restaurant-penha-de-franca/info,Goa,"Hosue B-48, Betim, Reis Magos, Penha de Franca, Goa","12noon – 2:30pm, 7pm – 11pm",+919307606310,4.4,95,4.2,270
The Lazy Goose,"Nerul, Goa","Goan, Continental, Seafood, Fast Food","₹1,800 for two",https://www.zomato.com/goa/the-lazy-goose-nerul/info,Goa,"349/B, Tari Bhat, Nerul, Goa",12noon – 12midnight,"+917775958419,+917020315563,+918805808843",4.6,"1,655",4.3,101
Tereza Beach House-By Sly Granny,"Nerul, Goa","Continental, Pizza, Italian, Goan, Fast Food, Salad, Desserts","₹1,900 for two",https://www.zomato.com/goa/tereza-beach-house-by-sly-granny-nerul/info,Goa,"787, Nerul, Goa",12:30pm – 1am,"+919209004577,+919209004578",4.4,95,3.7,212
Fat Panda,"Candolim, Goa","North Indian, Chinese, Sichuan, Biryani, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/goa/fat-panda-1-candolim/info,Goa,"Marques Vaddo, Near Candolim Main Road, Candolim, Goa",1pm – 11:45pm,+919075687466,4.4,346,4.0,290
BYOB - Bring Your Own Booze,"Candolim, Goa","Goan, Continental, Pizza, Salad","₹1,500 for two",https://www.zomato.com/goa/byob-bring-your-own-booze-candolim/info,Goa,"House 483, Vaddy, Candolim, Goa",Opens at 3pm,"+917972355356,+919667812489",3.7,51,-,0
