Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Chef Treehouse,"Ulubari, Guwahati","North Indian, Mughlai, Seafood, Biryani, Fast Food","₹1,000 for two",https://www.zomato.com/guwahati/chef-treehouse-ulubari/info,Guwahati,"Bora Service Complex, Near Harisaan Suzuki Service Center, Ulubari, Guwahati",,+917099005969,3.1,4,4.0,"1,336"
Roof Cafe,"Bhangagarh, Guwahati","Chinese, Continental, Italian, Sandwich, Salad, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/guwahati/roof-cafe-bhangagarh/info,Guwahati,"Anil Nagar, Rajgarh Road, Near Lachit Nagar, Bhangagarh, Guwahati",7am – 11pm,"+919101934903,+919957684310",-,3,-,0
Aurora - Mayflower,"Pan Bazaar, Guwahati","South Indian, North Indian, Continental, Chinese, Mughlai, Kebab","₹1,100 for two",https://www.zomato.com/guwahati/aurora-mayflower-pan-bazaar/info,Guwahati,"Mayflower, M.L Road, Pan Bazaar, Guwahati","8am – 10:30am, 10:45am – 11pm",+91 8068974279,3.4,11,4.0,285
The Deck Cafe,"Pan Bazaar, Guwahati","North Indian, Chinese, Continental",₹800 for two,https://www.zomato.com/guwahati/the-deck-cafe-pan-bazaar/info,Guwahati,"Kamrup Metropolitian, M.L. Nehru Road, Pan Bazaar, Guwahati",11am – 11pm,+91 8068974275,-,2,4.1,430
Rang De Basanti Dhaba - Diner,"Christian Basti, Guwahati","North Indian, Bar Food, Biryani","₹1,200 for two",https://www.zomato.com/guwahati/rang-de-basanti-dhaba-diner-christian-basti/info,Guwahati,"GS Road, Christian Basti, Guwahati",11am – 11:30pm,"+917637001125,+917637001126",4.3,870,4.1,"9,282"
11th Avenue Cafe Bistro,"Chandmari, Guwahati","Cafe, Coffee, Italian, Continental, Fast Food, Desserts, Beverages",₹700 for two,https://www.zomato.com/guwahati/11th-avenue-cafe-bistro-chandmari/info,Guwahati,"House 26, First Floor, Rajgarh Road, Opposite Icon Academy, Chandmari, Guwahati",Opens tomorrow at 10am,+919957378761,4.2,736,3.9,"3,443"
The Spice Route,"Dispur, Guwahati","Chinese, North Indian, Continental, Shake",₹900 for two,https://www.zomato.com/guwahati/the-spice-route-2-dispur/info,Guwahati,"Ground Floor, Divine Plaza, Dispur, Guwahati",11:45am – 11pm,"+919854077077,+917005181891",4.3,280,4.0,"1,078"
The Square - Novotel Guwahati GS Road,"Novotel Six Mile, Guwahati","Asian, Continental, French","₹3,350 for two",https://www.zomato.com/guwahati/the-square-novotel-guwahati-gs-road-six-mile/info,Guwahati,"Downtown Dispur, Novotel Guwahati G S Road, Six Mile, Guwahati",,+917578000511,4.1,248,3.8,152
Pirates Of Grill,"Christian Basti, Guwahati","Chinese, Salad, North Indian, BBQ, Mughlai, Oriental, Desserts","₹3,000 for two",https://www.zomato.com/guwahati/pirates-of-grill-christian-basti/info,Guwahati,"4th Floor, City Centre Mall, Christian Basti, Guwahati",10am – 10:30pm,+917099030771,4.3,"1,709",-,2
AB's - Absolute Barbecues,"Bhangagarh, Guwahati","Biryani, BBQ, Kebab, North Indian, Desserts","₹1,550 for two",https://www.zomato.com/guwahati/abs-absolute-barbecues-bhangagarh/info,Guwahati,"Floor 2, Mayur Heights, ABC Point, G.S. Road, Bhangagarh, Guwahati",11am – 11pm,+917337383770,4.4,"3,632",3.8,"3,190"
Uptown Escape Cafe & Cocktail Bar,"Christian Basti, Guwahati","Japanese, Continental, Asian, Modern Indian, Beverages, Italian, Desserts","₹1,500 for two",https://www.zomato.com/guwahati/uptown-escape-cafe-cocktail-bar-christian-basti/info,Guwahati,"1, Anil Plaza, GS Road, ABC, Tarun Nagar, Near IDBI Bank, Christian Basti, Guwahati",10am – 12midnight,"+916901259099,+916901259199",4.5,512,4.1,"1,125"
The Whiskey Bar & Grill,"Zoo Tiniali, Guwahati","Continental, Pizza, Italian, American, Burger","₹1,200 for two",https://www.zomato.com/guwahati/the-whiskey-bar-grill-zoo-tiniali/info,Guwahati,"604, 6th Floor, 191 Exotica Greens, Block A, RG Baruah Road, Zoo Tiniali, Guwahati",11am – 11pm,+91 8068974273,4.9,546,4.2,295
Yaaro Ka Adda,"Beltola, Guwahati","North Indian, Chinese, Beverages",₹250 for two,https://www.zomato.com/guwahati/yaaro-ka-adda-beltola/info,Guwahati,"Tokyo Tower, Beltola Bazaar, Beltola, Guwahati",12midnight – 10:15pm,+919707813010,-,3,3.9,173
Bagan Patio Cafe,"Beltola, Guwahati","North Indian, Chinese","₹1,500 for two",https://www.zomato.com/guwahati/bagan-patio-cafe-beltola/info,Guwahati,"Tiniali, Bhabendra Nath Sakia Road, Beltola, Guwahati",24 Hours,+917099021282,-,1,-,0
The BBQ Company,"Christian Basti, Guwahati","North Indian, Salad, Desserts","₹1,000 for two",https://www.zomato.com/guwahati/the-bbq-company-christian-basti/info,Guwahati,"401, 4th Floor, Exotica Arcade, GS Road, Christian Basti, Guwahati",12noon – 11pm,+919395802020,4.4,102,3.7,371
Terra Mayaa Restaurant And Lounge,"Anil Plaza, Christian Basti, Guwahati","Continental, Italian, Asian, Fast Food","₹1,700 for two",https://www.zomato.com/guwahati/terra-mayaa-restaurant-and-lounge-christian-basti/info,Guwahati,"Floor 6, Anil Plaza 2, G.S. Road, Christian Basti, Guwahati",12noon – 12midnight,+917399027661,4.4,"1,026",4.2,580
Botanee,"Ulubari, Guwahati","North Indian, Asian, Italian, Mexican, Desserts","₹1,000 for two",https://www.zomato.com/guwahati/botanee-ulubari/info,Guwahati,"3rd Floor, Sureka Square, Lachit Nagar, Ulubari, Guwahati",11am – 12midnight,"+916901259133,+916901259144",4.4,322,4.0,703
Hungry Hope,"Hatigaon, Guwahati","North Indian, Chinese",₹200 for two,https://www.zomato.com/guwahati/hungry-hope-hatigaon/info,Guwahati,"Ground Floor, Nepeds Institute, Kalimandir Khanka, Ghoramarajanpani, Idgah Path, Hatigaon, Guwahati",24 Hours,+916001890464,-,2,3.3,506
Mamagoto,"Christian Basti, Guwahati","Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts","₹1,500 for two",https://www.zomato.com/guwahati/mamagoto-christian-basti/info,Guwahati,"3rd Floor, City Center Mall, G S Road, Christian Basti, Guwahati",12noon – 11:30pm,+919435276111,4.6,564,4.3,"2,133"
Mocha Cafe And Bar,"Anil Plaza, Christian Basti, Guwahati","Cafe, Italian, Asian, European, North Indian, Pizza, Burger, Desserts",₹550 for two,https://www.zomato.com/guwahati/mocha-cafe-and-bar-christian-basti/info,Guwahati,"Anil Plaza-II ABC GS Road  Guwahati, Christian Basti, Guwahati",11am – 11:45pm,+918486000401,4.9,"1,344",4.3,"5,001"
The Maroon Room,"Dispur, Guwahati","Asian, Sushi, Thai, Korean, Japanese","₹2,000 for two",https://www.zomato.com/guwahati/the-maroon-room-4-dispur/info,Guwahati,"5th Floor, Aurus Mall, GS Road, Near Supermarket, Dispur, Guwahati",12:30pm – 12midnight,+917099095335,4.2,18,-,0
The Root Barrel,"Zoo Tiniali, Guwahati","North Indian, Continental, Italian, Asian, Chinese, Korean, Beverages, Desserts","₹1,800 for two",https://www.zomato.com/guwahati/the-root-barrel-3-zoo-tiniali/info,Guwahati,"7th Floor, Left Wing, Exotica Greens, Kamrup Metropolitan, RGB Road, Near Guwahati Central, Zoo Tiniali, Guwahati",1pm – 11:45pm,"+919613655705,+918011989080",4.3,626,3.7,102
FTV Bar & Lounge,"Christian Basti, Guwahati","Chinese, Continental, North Indian","₹1,800 for two",https://www.zomato.com/guwahati/ftv-bar-lounge-christian-basti/info,Guwahati,"Exotica Arcade, ABC GS Road, Christian Basti, Guwahati",12noon – 12midnight,+91 8068974274,4.1,35,New,1
THE JOLLY ANGLER,"Uzan Bazaar, Guwahati","European, Continental","₹1,000 for two",https://www.zomato.com/guwahati/the-jolly-angler-uzan-bazaar/info,Guwahati,"Bhuvan Rd, Latasil, Uzan Bazar, Guwahati, Assam 781001, Guwahati, Uzan Bazaar, Guwahati",Opens tomorrow at 12noon,+919365500959,New,18,-,0
Biryani By Kilo,"Ulubari, Guwahati","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹600 for two,https://www.zomato.com/guwahati/biryani-by-kilo-ulubari/info,Guwahati,"First Floor, F Fort, Kachari Basti, Ulubari, Guwahati",10am – 11pm,18002122212,4.4,260,4.1,"4,510"
Yaaro Ka Adda,"Bhangagarh, Guwahati","Fast Food, Chinese, Momos",₹300 for two,https://www.zomato.com/guwahati/yaaro-ka-adda-bhangagarh/info,Guwahati,"Dona Planet, ABC, Bhangagarh, Guwahati",24 Hours,+919707813010,3.5,19,4.2,"2,754"
Khao Gully,"Christian Basti, Guwahati","North Indian, South Indian, Street Food, Chinese",₹500 for two,https://www.zomato.com/guwahati/khao-gully-christian-basti/info,Guwahati,"Bhajanka Market, Ground Floor, Central Mall, G.S Road, Christian Basti, Guwahati",11:30am – 11pm,+917099062162,3.8,94,3.5,343
Abacus Brewing Co & Kitchen,"Khanapara, Guwahati","Asian, Continental, Modern Indian, Beverages","₹2,000 for two",https://www.zomato.com/guwahati/abacus-brewing-co-kitchen-khanapara/info,Guwahati,"The Paramount Palacio, Khanapara, Guwahati",12noon – 12midnight,+917099009929,4.9,255,-,0
Cafe Bellevue,"Uzan Bazaar, Guwahati","Cafe, Continental, Mexican, Italian, Fast Food, Beverages, Desserts",₹750 for two,https://www.zomato.com/guwahati/cafe-bellevue-3-uzan-bazaar/info,Guwahati,"H 47, Umananda Ghaat, Riverfront, MG Road, Uzan Bazaar, Guwahati",Opens tomorrow at 11am,+919535350637,4.0,202,3.5,159
