Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
The Pluto Cafe,"Malakpet, Hyderabad","Fast Food, Pizza, Ice Cream, Desserts, Tea, Shake, Beverages",₹300 for two,https://www.zomato.com/hyderabad/the-pluto-cafe-malakpet/info,Hyderabad,"16-2-836, Press Colony Main Road, Malakpet, Hyderabad",11am – 11pm,+918688538888,4.2,45,4.5,247
Verandah - The Park,"Somajiguda, Hyderabad","North Indian, Continental, Chinese, Biryani, Oriental, Desserts, Beverages","₹3,000 for two",https://www.zomato.com/hyderabad/verandah-the-park-somajiguda/info,Hyderabad,"22, Raj Bhavan Road, Somajiguda, Hyderabad",24 Hours,"+919709534267,+919002682277",4.3,"1,954",4.1,719
Food Exchange - Novotel Hyderabad Convention Centre,"Novotel Hyderabad Convention Centre, Hitech City, Hyderabad","North Indian, Asian, American, Chinese, Italian, Desserts","₹4,000 for two",https://www.zomato.com/hyderabad/food-exchange-novotel-hyderabad-convention-centre-hitech-city/info,Hyderabad,"HICC Complex, Cyberabad Post Office, Hitech City, Hyderabad",24 Hours,"+919642326194,+919642326195",4.0,375,4.6,105
Makau,"Road 36, Jubilee Hills, Hyderabad","North Indian, Beverages, Asian, Desserts, Continental, Italian, Modern Indian, Sushi","₹2,500 for two",https://www.zomato.com/hyderabad/makau-jubilee-hills/info,Hyderabad,"Plot 732, 8-2-293/82/A/732, CBI Colony, Road 36, Jubilee Hills, Hyderabad",12noon – 11pm,"+918989040461,+918989040471,+918989040451",4.2,"2,042",3.5,9
Xena Brewery & Kitchen,"Jubilee Hills, Hyderabad","Modern Indian, Continental, Asian","₹2,500 for two",https://www.zomato.com/hyderabad/xena-brewery-kitchen-jubilee-hills/info,Hyderabad,"CBI Colony, Road 38, Jubilee Hills, Hyderabad",12noon – 11:30pm,+91 8068974094,4.3,654,-,0
Mamalola Penthouse Bar & Kitchen,"Gachibowli, Hyderabad","Continental, Modern Indian, Asian, Pizza, Fast Food, Chinese, Lebanese, Sushi","₹1,700 for two",https://www.zomato.com/hyderabad/mamalola-penthouse-bar-kitchen-gachibowli/info,Hyderabad,"Level-13, The District, Myscape Road, Gachibowli, Hyderabad",12noon – 11:45pm,+91 8068975805,4.4,718,-,0
Red Rhino,"Hitech City, Hyderabad","Sushi, Italian, Oriental, Asian, Bar Food, Desserts, Coffee, Beverages","₹2,400 for two",https://www.zomato.com/hyderabad/red-rhino-hitech-city/info,Hyderabad,"83/1, Dallas Centre Raidurg, Serilingampally, Panmaktha Village, Hitech City, Hyderabad",8:30am – 10:45pm,+91 8068972750,4.5,"4,979",4.2,808
AnTeRa Kitchen And Bar,"Jubilee Hills, Hyderabad","South Indian, North Indian, Biryani, Chinese, Desserts, Beverages","₹1,600 for two",https://www.zomato.com/hyderabad/antera-kitchen-and-bar-jubilee-hills/info,Hyderabad,"Plot 265, G/A, Road 10, Jubilee Hills, Hyderabad",12noon – 12midnight,040 66588196,4.4,"4,575",4.1,"2,468"
AnTeRa Courtyard,"Financial District, Hyderabad","South Indian, Kebab, Biryani, Desserts","₹1,600 for two",https://www.zomato.com/hyderabad/antera-courtyard-financial-district/info,Hyderabad,"Survey 251/8/E/1, 251/4 Vattinagulapally Village, Financial District, Hyderabad",12noon – 11pm,+91 8068975775,4.3,479,4.2,71
36 Downtown Brew Pub,"Road 36, Jubilee Hills, Hyderabad","Continental, Hyderabadi, Finger Food, Pizza, Beverages","₹3,000 for two",https://www.zomato.com/hyderabad/36-downtown-brew-pub-jubilee-hills/info,Hyderabad,"Plot 753, Road 36, Jubilee Hills, Hyderabad",12noon – 11:30pm,+91 8068972777,4.3,"6,336",-,0
ZYTHUM Brewing Co.,"Jubilee Hills, Hyderabad","Continental, Pizza, North Indian, Asian, Desserts, Grilled Chicken, Pasta","₹2,500 for two",https://www.zomato.com/hyderabad/zythum-brewing-co-jubilee-hills/info,Hyderabad,"74 A, Park View Enclave, Check Post Road, Jubilee Hills, Hyderabad",12:10pm – 11:30pm,+91 8068972746,4.4,"1,344",3.8,81
Barbeque Holic,"Kondapur, Hyderabad","Chinese, Salad, Fast Food, North Indian, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/hyderabad/barbeque-holic-kondapur/info,Hyderabad,"111/54/SSS/201, Survey 54, 2nd Floor, Sahiti Sudha Square, Kondapur, Hyderabad","12noon – 4pm, 7pm – 11pm","+919133921922,+918185921922",4.6,"2,865",4.3,35
Deccan Pavilion - ITC Kakatiya,"ITC Kakatiya, Begumpet, Hyderabad","North Indian, South Indian, Continental, Chinese","₹3,500 for two",https://www.zomato.com/hyderabad/deccan-pavilion-itc-kakatiya-begumpet/info,Hyderabad,"6 3 1187, ITC Kakatiya, Begumpet, Hyderabad",24 Hours,+914023400132,4.2,601,-,0
Hard Rock Cafe,"Hitech City, Hyderabad","American, Continental, Italian, Burger, Salad, Wraps, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/hyderabad/hard-rock-cafe-hitech-city/info,Hyderabad,"Plot 2, Survey 83/1, Knowledge City, Salarpuria & Sattva Group, Phase-1, Raidurga Village, Hitech City, Hyderabad",12noon – 11:30pm,040 71327722,4.6,"2,108",4.1,295
The Glass House,"Jubilee Hills, Hyderabad","Modern Indian, Cafe, Asian, Coffee, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/hyderabad/the-glass-house-jubilee-hills/info,Hyderabad,"403/1, Door 8-2-293/82/A/1059, Plot 1059, Road 53, Jubilee Hills, Hyderabad",12noon – 11pm,+919121444124,4.3,625,4.0,12
Halo Cocktail Bar & Kitchen,"Jubilee Hills, Hyderabad","Bar Food, North Indian, Chinese, Italian, Japanese, Desserts, Continental, Beverages","₹2,200 for two",https://www.zomato.com/hyderabad/halo-cocktail-bar-kitchen-jubilee-hills/info,Hyderabad,"8-2-293/82/A/1067/A, Road 45, Jubilee Hills, Hyderabad",12noon – 11:30pm,+918977024045,4.0,212,-,0
Luno - Lounge Bar & Kitchen,"Financial District, Hyderabad","North Indian, Chinese, Sushi, Pizza, Fast Food, Bar Food, Asian, Desserts","₹1,100 for two",https://www.zomato.com/hyderabad/luno-lounge-bar-kitchen-financial-district/info,Hyderabad,"Survey 237, 252, Circle 11, Rajendra Nagar, Financial District, Hyderabad",12noon – 11:30pm,+918182891891,4.3,304,-,0
ASF - Ancient Stone Flames BBQ & Grill,"Gachibowli, Hyderabad","North Indian, Mediterranean, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/hyderabad/asf-ancient-stone-flames-bbq-grill-gachibowli/info,Hyderabad,"1st Floor, Times Square, Vinayak Nagar, Gachibowli, Hyderabad","11:30am – 5pm, 6:30pm – 11:30pm",+918881886878,4.5,"1,448",-,0
Firestone Grill,"Kukatpally, Hyderabad","BBQ, North Indian, South Indian, Desserts, Continental, Italian","₹1,600 for two",https://www.zomato.com/hyderabad/firestone-grill-kukatpally/info,Hyderabad,"Survey 1050, 3rd Floor, Lulu Mall, Kukatpally Housing Board Colony, Road 3 Kukatpally, Hyderabad","12noon – 4pm, 7pm – 11pm","+919848000914,+919848000915",4.3,802,-,0
Air Live,"Road 36, Jubilee Hills, Hyderabad","North Indian, Italian, Asian, Continental, Pizza, Bar Food, Beverages","₹3,500 for two",https://www.zomato.com/hyderabad/air-live-jubilee-hills/info,Hyderabad,"5th Floor, Odyssey Mall, Road 36, Jubilee Hills, Hyderabad",12noon – 11pm,"+919160610003,+919160610002,+919160610001",4.3,"3,358",4.0,11
BBM - Buffet Bar & Music,"Gachibowli, Hyderabad","Andhra, South Indian, Biryani, Seafood, Ice Cream, Beverages","₹1,400 for two",https://www.zomato.com/hyderabad/bbm-buffet-bar-music-gachibowli/info,Hyderabad,"SLN Terminus, Level 3, Gachibowli, Hyderabad",Opens tomorrow at 12noon,+919160342343,4.1,527,4.0,167
Raise The Bar,"Manikonda, Hyderabad","Finger Food, Chinese, Mughlai, North Indian, Fast Food, Beverages","₹1,900 for two",https://www.zomato.com/hyderabad/raise-the-bar-2-manikonda/info,Hyderabad,"2-65/3, ARK Rochish Building, Khajaguda, Manikonda, Hyderabad",12noon – 11:30pm,+919908862444,4.4,"2,380",4.0,48
Mindspace Social,"Hitech City, Hyderabad",Hyderabadi,"₹1,500 for two",https://www.zomato.com/hyderabad/mindspace-social-hitech-city/info,Hyderabad,"Survey 64, Ground Plus Level, Hitech City, Hyderabad",9am – 11:30pm,"+918657725634,+918657725635",4.2,707,4.1,53
