Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Drinx Exchange,"Vijay Nagar, Indore","Bar Food, North Indian, Chinese, Thai, Continental, Italian, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/indore/drinx-exchange-vijay-nagar/info,Indore,"Shop 6, Scheme 54, Opposite C 21 Mall, Vijay Nagar, Indore",11:30am – 11:30pm,"+919039077771,+919584570555",4.2,160,-,3
Bhopal Bake House And Cafe,"Old Palasia, Indore","Bakery, Desserts, Continental, Fast Food, Cafe, Beverages",₹600 for two,https://www.zomato.com/indore/bhopal-bake-house-and-cafe-2-old-palasia/info,Indore,"Plot 14, Gate 2, Patrakar Colony, Opposite Wonderland School, Old Palasia, Indore",8am – 10:45pm,+918349992920,4.8,218,4.4,508
The Ashoka Hotel And Multi-Cuisine Restaurant,"Vijay Nagar, Indore","North Indian, Chinese, Continental, Fast Food, Street Food, Salad, Shake, Beverages",₹700 for two,https://www.zomato.com/indore/the-ashoka-hotel-and-multi-cuisine-restaurant-vijay-nagar/info,Indore,"17, Ground Floor, Scheme 54, Vijay Nagar, Indore",8am – 12midnight,+918839016168,4.3,150,4.2,"1,086"
Ring Road Social,"Vijay Nagar, Indore","North Indian, Chinese, Biryani, Pizza, Burger, Fast Food, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/indore/ring-road-social-vijay-nagar/info,Indore,"C-21, Ground Floor, Business Park, Pushp Vihar Colony, Scheme 131, Vijay Nagar, Indore","12midnight – 2am, 11am – 12midnight",+917024788989,4.6,"1,892",4.1,"3,401"
House Of Malts,"Vijay Nagar, Indore","North Indian, Chinese, Continental, Italian, Oriental, Bar Food, Beverages","₹1,000 for two",https://www.zomato.com/indore/house-of-malts-vijay-nagar/info,Indore,"Plot 2, PU 4, 5th Floor, Satya Sai Road, Opposite Bombay Hospital, Vijay Nagar, Indore",11am – 11:45pm,+918085944555,4.0,772,3.6,43
Dopamine,"Vijay Nagar, Indore","Asian, North Indian, Continental, Italian, Bar Food, Pizza, Sushi, Salad","₹1,500 for two",https://www.zomato.com/indore/dopamine-vijay-nagar/info,Indore,"26/C, Scheme 94, Vijay Nagar, Indore",Opens at 12noon,"+918090509094,+918090609094",4.5,192,4.2,63
The Creative Kitchen - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar, Indore","North Indian, Continental, Chinese, Asian, Desserts","₹2,500 for two",https://www.zomato.com/indore/the-creative-kitchen-radisson-blu-hotel-vijay-nagar/info,Indore,"12, Scheme 94-C, Ring Road, Vijay Nagar, Indore",11am – 11pm,"+919098304611,+919752494909",4.1,"1,069",3.9,232
Firangi Cafe,"Vijay Nagar, Indore","Continental, Pizza, Beverages, Sandwich","₹1,200 for two",https://www.zomato.com/indore/firangi-cafe-vijay-nagar/info,Indore,"Plot 81, Near Life Care Hospital, Vijay Nagar, Indore",11am – 12midnight,"+919752449003,+919752449002",4.7,483,-,0
Aqua - The Park,"The Park, Indore","North Indian, Asian, Continental, Oriental","₹2,200 for two",https://www.zomato.com/indore/aqua-the-park-by-pass-road-north/info,Indore,"Scheme 159, Kusha Bhau Thakre Marg, By Pass Road (North), Indore",Opens at 1pm,+919329917493,4.5,510,4.0,8
Cream Centre,"Vijay Nagar, Indore","North Indian, Chinese, Italian, Mexican, Fast Food, Ice Cream, Shake, Beverages","₹1,400 for two",https://www.zomato.com/indore/cream-centre-1-vijay-nagar/info,Indore,"Plot 93, 95, 96, 105, Mechanic Nagar, Bhamori Square, Vijay Nagar, Indore",Opens at 12noon,"+918889588850,+917314087787,+917314988666",4.1,842,4.1,506
Epicentre - The Park,"The Park, Indore","Continental, Salad, Chinese, Asian, Italian, North Indian, Desserts, Beverages","₹3,500 for two",https://www.zomato.com/indore/epicentre-the-park-by-pass-road-north/info,Indore,"Scheme 159, Kusha Bhau Thakre Marg, By Pass Road (North), Indore",7am – 11pm,+919329917495,4.2,576,-,0
Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar, Indore","North Indian, Chinese, Italian, Beverages","₹1,800 for two",https://www.zomato.com/indore/cravings-sayaji-hotel-vijay-nagar/info,Indore,"H-1, Scheme 54, Vijay Nagar, Indore",7am – 11pm,"+917389939339,+917389939360,+917389939334",4.6,"1,038",-,0
The Piano Project,"Vijay Nagar, Indore","North Indian, Mughlai, Kebab, Biryani, Beverages","₹2,000 for two",https://www.zomato.com/indore/the-piano-project-vijay-nagar/info,Indore,"Scheme 54, 11th Floor, Apollo Premier, Near Vijay Nagar Square, Vijay Nagar, Indore",Opens at 12:30pm,+918349995198,4.5,828,3.4,58
Kabelo Veg Barbecues,"Vijay Nagar, Indore","North Indian, Salad, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/indore/kabelo-veg-barbecues-vijay-nagar/info,Indore,"Terrace Floor, Princess Business Skyline, AB Road, Opposite Orbit Mall, Vijay Nagar, Indore",Opens at 12noon,+918959979799,4.3,182,4.3,172
The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar, Indore","North Indian, Mughlai, Asian, Biryani, Desserts","₹1,200 for two",https://www.zomato.com/indore/the-cube-hotel-effotel-vijay-nagar/info,Indore,"Plot 10-C/CA, Scheme 94, Vijay Nagar, Indore",6:30am – 11:30pm,"+917314740000,+917898801314",4.8,795,-,0
Adam's Holm,"By Pass Road (North), Indore","Asian, Italian, Continental, North Indian","₹1,200 for two",https://www.zomato.com/indore/adams-holm-3-by-pass-road-north/info,Indore,"F19, Phoenix Citadel, By Pass Road (North), Indore",Opens at 12noon,+919993175731,4.2,79,-,0
Revolution Indore,"Vijay Nagar, Indore","North Indian, Continental, Fast Food, Pizza, Burger, Sandwich, Italian, Beverages","₹2,000 for two",https://www.zomato.com/indore/revolution-indore-vijay-nagar/info,Indore,"G-19, Apollo Premier, Scheme 04, Vijay Nagar, Indore",11am – 11pm,"+919827025222,+917389560409",4.2,177,4.0,110
Flame By Fire & Smoke,"Vijay Nagar, Indore","North Indian, Chinese, Seafood, Biryani, Oriental, Desserts","₹1,000 for two",https://www.zomato.com/indore/flame-by-fire-smoke-vijay-nagar/info,Indore,"PU-3, Plot 9, A B Road, Opposite C-21 Mall, Vijay Nagar, Indore",Opens at 12:30pm,+919111105423,4.4,286,3.7,45
Ni Hao - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar, Indore","Asian, Chinese, Thai, Desserts","₹3,600 for two",https://www.zomato.com/indore/ni-hao-radisson-blu-hotel-vijay-nagar/info,Indore,"12, Scheme 94 C, Ring Road, Vijay Nagar, Indore",11am – 11pm,"+919098304611,+919752494909",4.3,482,4.3,190
