Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Punjabi Tadka Restaurant,"Civil Lines, Jabalpur","North Indian, Biryani, Chinese, Kebab",₹300 for two,https://www.zomato.com/jabalpur/punjabi-tadka-restaurant-civil-lines/info,Jabalpur,"Railway Station Road, Civil Lines, Jabalpur",11:30am – 11:30pm,+918817175266,3.7,14,New,3
Darbar Veg Restaurant,"Ganjipura, Jabalpur","North Indian, South Indian, Chinese, Desserts",₹500 for two,https://www.zomato.com/jabalpur/darbar-veg-restaurant-ganjipura/info,Jabalpur,"Opposite Guru Nanak School, Ganjipura, Jabalpur",11:30am – 11pm,"+918591541878,+917828400463",3.1,33,3.9,"5,681"
Takht Hazara - Vijan Mahal,"Cantt, Jabalpur","North Indian, Continental, Oriental, Fast Food, Desserts, Shake, Beverages","₹1,500 for two",https://www.zomato.com/jabalpur/takht-hazara-vijan-mahal-cantt/info,Jabalpur,"Mandla Road, Tilhari, Cantt, Jabalpur",11am – 11pm,"+919109112342,+919109178992",4.9,107,4.1,421
Pizza Hut,"Napier Town, Jabalpur","Pizza, Fast Food, Desserts, Beverages",₹800 for two,https://www.zomato.com/jabalpur/pizza-hut-napier-town/info,Jabalpur,"361 & 361A, Russel Chowk, Anand Talkies Road, Napier Town, Jabalpur","12midnight – 1am, 11am – 12midnight","+917614004308,18002022022",4.1,322,4.3,11.5K
La Milano Pizzeria,"Napier Town, Jabalpur","Pizza, Pasta, Italian, American, Mexican, Desserts, Beverages, Fast Food",₹350 for two,https://www.zomato.com/jabalpur/la-milano-pizzeria-napier-town/info,Jabalpur,"1329/2, Swami Dayanand Saraswati Ward, Shastri Marg, Near ICICI Bank, Napier Town, Jabalpur","12midnight – 2am, 11am – 12midnight",+919305716100,4.1,110,3.8,"1,160"
Jharoka Restaurant The Arihant Palace,"Napier Town, Jabalpur","North Indian, Mughlai, Chinese, Beverages, Desserts",₹600 for two,https://www.zomato.com/jabalpur/jharoka-restaurant-the-arihant-palace-napier-town/info,Jabalpur,"Russell Crossing, Maharshi Dayanand Saraswati Chowk, Napier Town, Jabalpur",10am – 11pm,"+917612627311,+919827274040",4.5,402,4.1,25.8K
House Of Blends,"Wright Town, Jabalpur","Cafe, Coffee, Chinese, North Indian, Continental, Fast Food, Pizza, Bakery",₹600 for two,https://www.zomato.com/jabalpur/house-of-blends-wright-town/info,Jabalpur,"1172 A, Atul Vihar, Near Aastha Medical, Wright Town, Jabalpur",9am – 11:30pm,"+919109007796,+919109007795",4.0,102,4.0,"2,595"
Pride By Samrat,"Rampur, Jabalpur","North Indian, Chinese, Mughlai, Seafood, Desserts, Beverages",₹750 for two,https://www.zomato.com/jabalpur/pride-by-samrat-rampur/info,Jabalpur,"Chhabbra Complex, Katanga Crossing, Near Allahabad Bank, Rampur, Jabalpur","12midnight – 12:45am, 11am – 12midnight","+917614700072,+917614700071",3.4,21,4.2,"6,960"
Lord Of The Drinks,"Cantt, Jabalpur","North Indian, Fast Food, Chinese, Pizza",₹400 for two,https://www.zomato.com/jabalpur/lord-of-the-drinks-1-cantt/info,Jabalpur,"Khasra 297/1, Tilheri Goriyaghat, Opposite Popular Factory, Cantt, Jabalpur","12noon – 12midnight, 12:01am – 2am",+917241111388,-,1,3.9,26
The Singhai Palace,"Civil Lines, Jabalpur","North Indian, Chinese, Sichuan, Sandwich, Street Food, Salad, Shake, Beverages","₹1,000 for two",https://www.zomato.com/jabalpur/the-singhai-palace-civil-lines/info,Jabalpur,"Old RTO Govind Bhawan, Civil Lines, Jabalpur",11am – 11pm,+919340163617,-,0,3.9,51
