Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
360°,"C Scheme, Jaipur","Continental, Pizza, Pasta, Asian, Mexican, North Indian, Bar Food, Desserts","₹1,500 for two",https://www.zomato.com/jaipur/360°-3-c-scheme/info,Jaipur,"Top Floor, JTN Anukampa Plaza, Near Raj Mandir, C Scheme, Jaipur",12noon – 11:30pm,"+917413012227,+917413012221",4.5,"2,984",-,1
The Dome,"MI Road, Jaipur","North Indian, Mughlai, Continental, Italian, Chinese, Biryani, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/jaipur/the-dome-1-mi-road/info,Jaipur,"Khandelwal Mansion, Panch Batti, MI Road, Jaipur",12noon – 11pm,+917665551456,3.8,171,4.0,14
Retreat,"C Scheme, Jaipur","North Indian, Chinese, Continental, Fast Food, Finger Food, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/jaipur/retreat-c-scheme/info,Jaipur,"C 94, 8th Floor, Fortune Heights, Subhash Marg, C Scheme, Jaipur",12noon – 4am,"+917610002227,+918386803143",4.2,"2,453",4.0,108
Sirka,"C Scheme, Jaipur","North Indian, Biryani, Beverages, Kebab","₹1,400 for two",https://www.zomato.com/jaipur/sirka-c-scheme/info,Jaipur,"Plot J/34, Basement Floor, Subhash Marg, C Scheme, Jaipur",10:30am – 11:30pm,+911414794341,4.5,282,3.9,45
The Yard - The Swinton House,"MI Road, Jaipur","Continental, Italian, European, Modern Indian","₹2,000 for two",https://www.zomato.com/jaipur/the-yard-the-swinton-house-mi-road/info,Jaipur,"B-20, New Colony, Scheme D, MI Road, Jaipur",12noon – 12midnight,+917707088000,4.1,293,-,0
The Yellow House - The Robot Restaurant,"C Scheme, Jaipur","North Indian, Chinese, Italian, Mexican, Biryani, Fast Food, Desserts, Beverages","₹1,100 for two",https://www.zomato.com/jaipur/the-yellow-house-the-robot-restaurant-c-scheme/info,Jaipur,"Near Rajmandir Cinema, Silver Square Mall, C Scheme, Jaipur",11am – 11pm,+918619563985,3.8,"1,740",3.5,"6,489"
Skyza,"C Scheme, Jaipur","North Indian, Mughlai, Italian, Chinese, Continental, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/jaipur/skyza-c-scheme/info,Jaipur,"Plot D-46-B, 8th Floor, Ambition Tower, Agarsen Circle, C Scheme, Jaipur",11:30am – 12midnight,"+918000788870,+916377353773",4.4,"1,479",4.1,451
Lusty Lettuce,"C Scheme, Jaipur","Healthy Food, Continental, Italian, Desserts, Beverages","₹1,300 for two",https://www.zomato.com/jaipur/lusty-lettuce-c-scheme/info,Jaipur,"House E-162, Ramesh Marg, C Scheme, Jaipur",8:30am – 11pm,+917357023367,4.0,174,4.2,"2,843"
TOTT Pub & Grill,"Gopalbari, Jaipur","North Indian, Pizza, Pasta, Fast Food, Beverages","₹1,600 for two",https://www.zomato.com/jaipur/tott-pub-grill-gopalbari/info,Jaipur,"6 D, Kanti Nagar, Station Road, Gopalbari, Jaipur",Opens at 3:30pm,+919982663153,4.5,238,-,0
Basil & Olives,"Pink City, Jaipur","Pizza, Pasta, Sandwich, Salad, Italian","₹1,000 for two",https://www.zomato.com/jaipur/basil-olives-1-pink-city/info,Jaipur,"216, Bajdaronki Mori, Chelo Ka Rasta, Near Hawa Mahel, Pink City, Jaipur",12noon – 11:30pm,+919413181009,4.1,55,4.1,58
Clock Tower,"Adarsh Nagar, Jaipur","North Indian, Continental, Italian, Chinese, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/jaipur/clock-tower-adarsh-nagar/info,Jaipur,"Bunglow 2, Peelwa Garden, Moti Dungri Road, Adarsh Nagar, Jaipur",12noon – 11:45pm,"+919599199317,+917303593340",4.8,874,4.0,6
Baramasi,"MI Road, Jaipur","Continental, Asian, Italian, North Indian, Mughlai, Biryani, Bar Food, Beverages","₹1,200 for two",https://www.zomato.com/jaipur/baramasi-mi-road/info,Jaipur,"4th Floor, Jai Club Prime, Mahavir Marg, MI Road, Jaipur",12noon – 12midnight,"+919928341111,+919829844866,+918854824885",4.4,"1,828",4.1,40
Waraahi,"C Scheme, Jaipur","Pizza, North Indian, Pasta, Bakery, Beverages, Desserts",₹950 for two,https://www.zomato.com/jaipur/waraahi-c-scheme/info,Jaipur,"F-411, GAUTAM MARG, C Scheme, Jaipur",8am – 11pm,+917878379121,4.9,572,3.9,508
LIGHTHOUSE - Brewery Bar & Kitchen,"Gopalpura, Jaipur","North Indian, Chinese, Oriental, Pasta, Pizza, Desserts, Bar Food, Beverages","₹1,700 for two",https://www.zomato.com/jaipur/lighthouse-brewery-bar-kitchen-gopalpura/info,Jaipur,"Ridhi Sidhi Circle, Gopalpura Bypass Road, Gopalpura, Jaipur",12noon – 12midnight,+918888773131,4.9,"2,830",4.4,122
Dragon House - Radisson Jaipur City Center,"Radisson Jaipur City Center, MI Road, Jaipur","Oriental, Thai, Beverages, Sichuan","₹3,500 for two",https://www.zomato.com/jaipur/dragon-house-radisson-jaipur-city-center-mi-road/info,Jaipur,"Radisson Jaipur City Center, Khasa Kothi Circle, MI Road, Jaipur",Opens at 12:30pm,+919828503336,4.4,826,4.4,283
The Albion - The Swinton House,"MI Road, Jaipur",Asian,"₹1,400 for two",https://www.zomato.com/jaipur/the-albion-the-swinton-house-mi-road/info,Jaipur,"B-20, New Colony, MI Road, Jaipur",12noon – 12midnight,+917707088000,4.1,108,-,0
Mosaic - Radisson Jaipur City Center,"Radisson Jaipur City Center, MI Road, Jaipur","Continental, Fast Food, Asian, Burger, North Indian, Beverages, Desserts","₹3,500 for two",https://www.zomato.com/jaipur/mosaic-radisson-jaipur-city-center-mi-road/info,Jaipur,"Khasa Kothi Circle, MI Road, Jaipur",6:30am – 11:30pm,+919828505770,4.1,383,3.9,30
DYORE- Experiences,"Civil Lines, Jaipur","Bar Food, Salad, North Indian, Kebab, Pizza, Pasta","₹2,000 for two",https://www.zomato.com/jaipur/dyore-experiences-civil-lines/info,Jaipur,"16, Devi Bhavan, Parivahan Marg, Civil Lines, Jaipur",12:30pm – 12midnight,+919773394290,4.4,188,-,0
Topaz Restaurant - FineDine & Skydeck,"MI Road, Jaipur","North Indian, Chinese, Rajasthani, Pizza, Pasta, Fast Food, Desserts","₹1,200 for two",https://www.zomato.com/jaipur/topaz-restaurant-finedine-skydeck-mi-road/info,Jaipur,"Plaza, Motilal Atal Road, MI Road, Jaipur",8am – 11pm,+918955833715,4.5,"4,415",3.9,"1,713"
The Night Jar,"Leisure Inn Grand Chanakya, MI Road, Jaipur",Bar Food,"₹1,200 for two",https://www.zomato.com/jaipur/the-night-jar-mi-road/info,Jaipur,"3rd Floor, Panch Batti, MI Road, Jaipur",12noon – 1am,+919928100111,4.5,"4,799",3.9,36
Masala Ministry,"C Scheme, Jaipur","North Indian, Chinese, Continental, Pizza, Fast Food, Salad, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/jaipur/masala-ministry-2-c-scheme/info,Jaipur,"E 153, Second Floor, Ramesh Marg, C Scheme, Jaipur",12noon – 12midnight,"+918078659712,+919549299999",4.4,"2,166",3.4,711
Khwaab,"Bapu Nagar, Jaipur","North Indian, Mughlai, Continental, Italian, Oriental, Asian, Mexican, Desserts","₹1,500 for two",https://www.zomato.com/jaipur/khwaab-1-bapu-nagar/info,Jaipur,"SB 52, 5th Floor, Krishna Enclave, Bapu Nagar, Jaipur",12noon – 11:30pm,"+919376999977,+919376999955",4.3,123,-,1
Jaipur Adda,"Nirwana Hometel, Bani Park, Jaipur","Finger Food, North Indian, Fast Food","₹1,500 for two",https://www.zomato.com/jaipur/jaipur-adda-gopalbari/info,Jaipur,"4 D Villa, Station Road, Gopalbari, Jaipur",Opens at 3:15pm,"+918003993681,+918003099217,+911414445065",4.8,"1,771",4.0,7
Midnight Vegas,"Malviya Nagar, Jaipur","North Indian, Continental, Chinese, Italian, Biryani, Desserts","₹1,400 for two",https://www.zomato.com/jaipur/midnight-vegas-malviya-nagar/info,Jaipur,"11/01, 4th Floor, Girdhar Marg, Malviya Nagar, Jaipur",Opens at 1pm,"+919672013111,+919672014111",4.4,"2,094",3.9,465
Up & Up,"Bapu Nagar, Jaipur","Chinese, North Indian, Momos, Oriental, Fast Food, Desserts, Shake, Beverages","₹1,800 for two",https://www.zomato.com/jaipur/up-up-bapu-nagar/info,Jaipur,"SB-54-C, Rambhag Circle, Bapu Nagar, Jaipur",11:30am – 4am,"+919799906744,+917300042979",4.3,"1,561",4.0,233
Bombaye House,"Malviya Nagar, Jaipur","Cafe, Chinese, Continental, South Indian, Street Food, Fast Food, Beverages",₹700 for two,https://www.zomato.com/jaipur/bombaye-house-malviya-nagar/info,Jaipur,"E95, Lal Bahadur Nagar, JLN Marg, Near Malviya Nagar, Jaipur",11am – 11pm,+917711088883,4.3,941,4.1,"1,719"
The Bargain- Sports bar and Lounge,"Raja Park, Jaipur","Bar Food, Coffee, Shake, Beverages","₹1,000 for two",https://www.zomato.com/jaipur/the-bargain-sports-bar-and-lounge-raja-park/info,Jaipur,"Hotel Dodas Palace, Lane 2, Raja Park, Jaipur",11am – 12midnight,+916376988595,3.9,11,-,0
Akuri,"Tonk Road, Jaipur","Cafe, Parsi, Continental, Fast Food, Bakery, Sandwich, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/jaipur/akuri-tonk-road/info,Jaipur,"K10, Income Tax Colony, Tonk Road, Jaipur",8:30am – 12midnight,+918306662812,4.6,872,4.1,724
Atmos The Terrace Lounge,"Raja Park, Jaipur","North Indian, Continental","₹1,000 for two",https://www.zomato.com/jaipur/atmos-the-terrace-lounge-raja-park/info,Jaipur,"Lane 2, Raja Park, Jaipur",Opens at 5pm,+916376988595,3.9,54,-,0
Townsend Kitchen | Bar,"Adarsh Nagar, Jaipur","Chinese, Italian, North Indian, Continental, Asian, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/jaipur/townsend-kitchen-bar-adarsh-nagar/info,Jaipur,"1, Peelwa Garden, Moti Dungri Road, Adarsh Nagar, Jaipur",12noon – 11:15pm,+918824877200,4.5,"1,021",4.2,119
Tokio,"Bais Godam, Jaipur","North Indian, Mexican, Continental, Asian, Bar Food, Chinese, Italian, Finger Food","₹1,200 for two",https://www.zomato.com/jaipur/tokio-2-bais-godam/info,Jaipur,"4th Floor, S B Tower, Sahkar Marg, Bais Godam, Jaipur",12noon – 11pm,+917232000079,4.0,174,2.8,9
Paro Modern Indian Bar,"MI Road, Jaipur","Continental, North Indian","₹2,200 for two",https://www.zomato.com/jaipur/paro-modern-indian-bar-1-mi-road/info,Jaipur,"1st & 2nd Floor, Japuria Mansion, Panch Batti, MI Road, Jaipur",Opens at 1pm,+919773321730,4.1,75,-,0
Code Black,"Tonk Road, Jaipur","North Indian, Chinese, Continental, Italian, Middle Eastern, Biryani, Bar Food, Beverages","₹1,700 for two",https://www.zomato.com/jaipur/code-black-tonk-road/info,Jaipur,"7th Floor, Apex Mall, Tonk Road, Jaipur",Opens at 2pm,+919950153560,4.4,"1,230",4.3,40
Cocktail Stories by BUR'dera,"Durgapura, Jaipur","North Indian, Japanese, Fast Food, Momos, Sushi, Biryani, Beverages","₹1,000 for two",https://www.zomato.com/jaipur/cocktail-stories-by-burdera-durgapura/info,Jaipur,"E-83, SL Marg, Lal Bahadur Nagar, Durgapura, Jaipur",12noon – 11:30pm,+917357863916,4.3,110,-,0
Aurum - Hilton Jaipur,"Hilton Jaipur, Bais Godam, Jaipur","North Indian, Italian, Asian, Chinese, Continental, Fast Food, Desserts, Beverages","₹3,000 for two",https://www.zomato.com/jaipur/aurum-hilton-jaipur-bais-godam/info,Jaipur,"42, Hilton Jaipur, Geejgarh House, Hawa Sadak, Bais Godam, Jaipur",7am – 11pm,"+917728891149,+917728897404",4.1,518,4.0,126
Queens Hub,"Malviya Nagar, Jaipur","North Indian, Continental, Asian, Fast Food, Chinese, Desserts","₹1,800 for two",https://www.zomato.com/jaipur/queens-hub-malviya-nagar/info,Jaipur,"39, Haldiya Heights, Girdhar Marg, Malviya Nagar, Jaipur",12:30pm – 12midnight,"+919672211188,+918209599392",4.2,833,4.0,46
Jashn,"Vidhyadhar Nagar, Jaipur","Cafe, Coffee, Fast Food, Street Food, North Indian, Chinese, Desserts, Beverages",₹500 for two,https://www.zomato.com/jaipur/jashn-vidhyadhar-nagar/info,Jaipur,"A-16 C, Shekhawat Marg, Ambabari, Vidhyadhar Nagar, Jaipur",12:30pm – 10:30pm,+919799982662,4.3,135,3.2,26
Sambre,"Bani Park, Jaipur","Italian, Chinese, Continental, North Indian, Asian, Pizza, Pasta, Beverages","₹1,700 for two",https://www.zomato.com/jaipur/sambre-bani-park/info,Jaipur,"Khasa Kothi Flyover, Bani Park, Jaipur",Opens at 1pm,+916375954059,4.0,332,-,0
Diona,"Sodala, Jaipur","North Indian, Continental, Asian, Pizza, Fast Food, Bar Food, Desserts","₹1,800 for two",https://www.zomato.com/jaipur/diona-sodala/info,Jaipur,"The Grand Anukampa, Elevated Ajmer Road Exit, Sodala, Jaipur",Opens at 5pm,"+919859261111,+919780758888",4.2,573,-,0
TGIB : The Grand Indian Buffet,"Vaishali Nagar, Jaipur","Rajasthani, North Indian, Chinese, Fast Food, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/jaipur/tgib-the-grand-indian-buffet-vaishali-nagar/info,Jaipur,"Door 245 & 246, 5th Floor, Omkaram Tower, D Block, Amrapali Marg, Hanuman Nagar, Near Vaishali Nagar, Jaipur",11:30am – 11:30pm,"+919079775361,+916375976932",4.0,962,4.1,"3,700"
Pint House,"Sodala, Jaipur","North Indian, Chinese, Continental, Mexican, Kebab, Fast Food, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/jaipur/pint-house-sodala/info,Jaipur,"7th Floor, Big Ben Tower, New Sanganer Road, Opposite Trinity Mall, Sodala, Jaipur",12noon – 2am,"+918559949579,+918209948740,+919982122224",4.3,529,4.0,16
The Magnolia-Coffee & InBetween,"Malviya Nagar, Jaipur","Continental, Sandwich, Healthy Food, Burger, Pizza, Pasta, Desserts, Beverages","₹1,100 for two",https://www.zomato.com/jaipur/the-magnolia-coffee-inbetween-malviya-nagar/info,Jaipur,"JLN Marg, Near Smriti Van, Malviya Nagar, Jaipur",10:30am – 10:30pm,+919828475999,4.2,408,-,2
Jaipur Modern Kitchen,"C Scheme, Jaipur","Italian, Healthy Food, Mediterranean, Wraps, Mexican, Salad, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/jaipur/jaipur-modern-kitchen-c-scheme/info,Jaipur,"51, Sardar Patel Marg, Dhuleshwar Garden Crossing, C Scheme, Jaipur",10:30am – 10:30pm,"+911414113000,+917737735806,+917792952944",4.2,459,4.2,"1,020"
Kaleidoscope,"Malviya Nagar, Jaipur","Burger, Pizza, Sandwich, Fast Food, Chinese, North Indian, Salad, Mexican","₹1,000 for two",https://www.zomato.com/jaipur/kaleidoscope-malviya-nagar/info,Jaipur,"E 28, Mauji Colony, Malviya Nagar, Jaipur",7:30am – 11:30pm,"+917375081196,+919116003431,+919116003439",4.0,421,3.7,72
Atom,"Vaishali Nagar, Jaipur","North Indian, Mughlai","₹1,200 for two",https://www.zomato.com/jaipur/atom-vaishali-nagar/info,Jaipur,"174, Bansal Tower, Rathore Nagar, Near Vaishali Nagar, Jaipur",12noon – 1am,"+919166669535,+919166669534",3.5,42,-,0
