Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Fiesta,"Swaroop Nagar, Kanpur","North Indian, Continental","₹1,400 for two",https://www.zomato.com/kanpur/fiesta-swaroop-nagar/info,Kanpur,"2nd Floor, Prabhu Krishna Shopping Complex, Swaroop Nagar, Kanpur","12noon – 3:45pm, 6:30pm – 10:30pm",+918069026714,4.3,87,4.1,54
Aviary Cocktail Nest,"Shastri Nagar, Kanpur","North Indian, Biryani, Italian, Asian, Pizza, Desserts","₹1,400 for two",https://www.zomato.com/kanpur/aviary-cocktail-nest-shastri-nagar/info,Kanpur,"122/732/733, Shastri Nagar, Kanpur",12noon – 12midnight,+917991565477,4.1,40,-,0
Punjab Grill,"Mall Road, Kanpur","North Indian, Kebab, Biryani, Mughlai","₹1,000 for two",https://www.zomato.com/kanpur/punjab-grill-mall-road/info,Kanpur,"FF 11, Fourth Floor, 16/113, Z Square Mall, M.G. Road, Mall Road, Kanpur",11am – 10:45pm,+917827941151,4.3,150,3.8,261
Mocha,"Mall Road, Kanpur","Fast Food, Salad, Continental, Italian, North Indian, Juices, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kanpur/mocha-mall-road/info,Kanpur,"15 / 198, Civil Lines, Mall Road, Kanpur",12noon – 10:30pm,+917379009393,4.9,"2,557",4.0,"2,447"
Sidewalk Bakehouse & Cafe,"Swaroop Nagar, Kanpur","Continental, Seafood, Italian, Mexican, Bakery, Desserts, Coffee, Beverages","₹1,000 for two",https://www.zomato.com/kanpur/sidewalk-bakehouse-cafe-swaroop-nagar/info,Kanpur,"7/178, A 1, Ground Floor, Swaroop Nagar, Kanpur","12midnight – 1am, 10:30am – 12midnight",+918303001717,3.3,164,3.8,905
Pinch Of Spice,"Vishnu Puri, Kanpur","North Indian, Chinese, Mughlai, Biryani, Asian, Italian, Desserts","₹1,000 for two",https://www.zomato.com/kanpur/pinch-of-spice-vishnu-puri/info,Kanpur,"3/13A, Ground Floor, Vishnu Puri, Kanpur",12noon – 12midnight,+918400802086,3.9,32,4.3,359
Barkaas Indo-Arabic Restaurant,"Vishnu Puri, Kanpur","Arabian, Ice Cream, Desserts, Shake, Beverages","₹1,000 for two",https://www.zomato.com/kanpur/barkaas-indo-arabic-restaurant-vishnu-puri/info,Kanpur,"3/13-A, 3rd Floor, Zone 24, Vishnu Puri, Kanpur",Opens at 2pm,+917565858585,3.7,16,3.9,93
The Hazelnut Factory,"Mall Road, Kanpur","Cafe, Coffee, Pasta, Fast Food, Chinese, Healthy Food, Shake, Beverages","₹1,000 for two",https://www.zomato.com/kanpur/the-hazelnut-factory-mall-road/info,Kanpur,"Premises 15/78, Ground Floor, Civil Lines, Mall Road, Kanpur",9am – 12midnight,+918353942700,3.6,14,4.2,660
Farzi Cafe,"Swaroop Nagar, Kanpur","Fast Food, North Indian","₹1,000 for two",https://www.zomato.com/kanpur/farzi-cafe-swaroop-nagar/info,Kanpur,"Plot C 3, 3rd&4th Floor, Above Reliance Digital, Swaroop Nagar, Kanpur","12midnight – 1am, 12noon – 12midnight",+919219855040,3.8,9,-,0
Shor - Lounge & Bar,"Swaroop Nagar, Kanpur","Chinese, North Indian, Italian, Finger Food, Sichuan","₹1,800 for two",https://www.zomato.com/kanpur/shor-lounge-bar-swaroop-nagar/info,Kanpur,"113/168, Swaroop Nagar, Kanpur",12:30pm – 11:30pm,+919119600161,4.2,343,3.8,51
Duman Turkish Lounge,"Swaroop Nagar, Kanpur","North Indian, Chinese, Fast Food, Finger Food, Shake, Beverages","₹1,500 for two",https://www.zomato.com/kanpur/duman-turkish-lounge-swaroop-nagar/info,Kanpur,"113/168, Swaroop Nagar, Kanpur",Opens at 3pm,+919119600163,4.4,170,4.0,10
Kake Di Hatti,"Saket Nagar, Kanpur","North Indian, Pizza, Pasta, Sandwich, Fast Food, Chinese, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kanpur/kake-di-hatti-saket-nagar/info,Kanpur,"127/1/65, W-1, Saket Nagar, Kanpur",11:30am – 11:45pm,+919335965880,4.1,20,3.9,853
Bodega - Cocktail Bar and Kitchen,"Swaroop Nagar, Kanpur","Continental, Asian, North Indian","₹2,000 for two",https://www.zomato.com/kanpur/bodega-cocktail-bar-and-kitchen-swaroop-nagar/info,Kanpur,"Khalasi Line, Swaroop Nagar, Kanpur",Opens at 2pm,+918081727780,-,2,-,0
Barbeque Nation,"Z Square Mall, Mall Road, Kanpur","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,650 for two",https://www.zomato.com/kanpur/barbeque-nation-mall-road/info,Kanpur,"T 3, Third Floor, Z Square Mall, Mall Road, Kanpur","12noon – 3:45pm, 6:30pm – 11pm","+919129888227,+919129888223",4.9,739,3.7,"2,572"
