Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Cafe 17,"Ravipuram, Kochi","Cafe, Sandwich, Burger, Italian, Continental, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kochi/cafe-17-ravipuram/info,Kochi,"Ground Floor, CT Tower, R Madhavan Nair Road, Near Fab India, Ravipuram, Kochi",11am – 11:30pm,+914844060717,4.7,347,4.2,"5,209"
Tharavadu Multi Cuisine Restaurant Casino Hotel,"Casino Hotel, Wellington Island, Kochi","Kerala, North Indian, Continental, Chinese, Biryani, Desserts","₹1,500 for two",https://www.zomato.com/kochi/tharavadu-multi-cuisine-restaurant-casino-hotel-willingdon-island/info,Kochi,"Casino Hotel, CV Iyer Road, Willingdon Island, Kochi","7am – 10am, 12:30pm – 3pm, 7:30pm – 10:30pm",+919207709401,4.4,209,4.1,221
Fiesta,"MG Road, Kochi","North Indian, Chinese","₹1,400 for two",https://www.zomato.com/kochi/fiesta-mg-road/info,Kochi,"6th Floor, Imperial Trade Center, MG Road, Kochi",10am – 10pm,+917024253651,4.0,21,3.4,30
Latest Recipe - Le Méridien Kochi,"Le Méridien Kochi, Marad, Kochi","Continental, Chinese, Kerala, South Indian, North Indian, Beverages, Desserts","₹2,500 for two",https://www.zomato.com/kochi/latest-recipe-le-méridien-kochi-marad/info,Kochi,"Le Méridien, Nettoor, Marad, Kochi","6:30am – 10:30am, 12:30pm – 3pm, 7pm – 11pm","+919746155855,+919895765747",4.3,325,4.1,886
Nasi And Mee,"MG Road, Kochi","Asian, Japanese, Singaporean, Malaysian, Thai, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kochi/nasi-and-mee-mg-road/info,Kochi,"66/6539, Ernakulam Circle, C A K Sheshadri Road, Near MG Road, Kochi",12noon – 10:30pm,+917994777748,4.7,"1,118",4.5,"2,657"
Paragon,"Edappally, Kochi","Kerala, South Indian, Continental, North Indian, Seafood, Chinese, Desserts, Beverages",₹900 for two,https://www.zomato.com/kochi/paragon-edappally/info,Kochi,"34/744-A, Thoppil Building, VP Marakar Road, Edappally, Kochi",11am – 11pm,+918138949488,4.4,"1,751",4.4,25.3K
Malabar Cafe - Grand Hyatt Kochi Bolgatty,"Grand Hyatt Kochi Bolgatty, Kochi","Kerala, North Indian, Desserts, Beverages","₹2,400 for two",https://www.zomato.com/kochi/malabar-cafe-grand-hyatt-kochi-bolgatty-marine-drive/info,Kochi,"Grand Hyatt Kochi, Bolgatty, Ernakulam, Marine Drive, Kochi",11am – 10:30pm,"+914842661217,+917593880454,+917593880523",4.6,203,4.2,334
Kochi Kitchen - Kochi Marriott Hotel,"Kochi Marriott Hotel, Edappally, Kochi","South Indian, Asian, North Indian, Continental, Fast Food, Beverages","₹3,000 for two",https://www.zomato.com/kochi/kochi-kitchen-kochi-marriott-hotel-edappally/info,Kochi,"34/1111, Lulu International Shopping Mall, NH 47, Edappally, Kochi","7am – 11am, 12:30pm – 3:30pm, 7pm – 11pm","+918589989052,+918589989043,+918589989033",4.5,619,3.9,"1,667"
Restaurant Chef Pillai,"Marad, Kochi","South Indian, Kerala","₹1,000 for two",https://www.zomato.com/kochi/restaurant-chef-pillai-1-marad/info,Kochi,"Chef Pillai 16/263 NH 47 Bypass Kundannur Junction, Marad, Kochi",11:45am – 10:45pm,+918943850000,4.1,28,4.2,391
Roastown,"Edappally, Kochi","Asian, Italian, Pasta, Pizza, Beverages","₹2,600 for two",https://www.zomato.com/kochi/roastown-edappally/info,Kochi,"37/3469-A1, A2, A3, Old Cheranallur Road, Edappally, Kochi",12noon – 10:30pm,+917736058333,4.2,23,4.3,53
You Mee,"Thevera, Kochi","Sushi, Chinese, Desserts","₹1,200 for two",https://www.zomato.com/kochi/you-mee-thevara/info,Kochi,"209, Second Floor, NH 47 Bytilla Aroor, Thevera, Kochi",10am – 10pm,+918860549739,4.3,57,-,0
Punjab Grill,"Edappally, Kochi","North Indian, Kebab, Biryani, Mughlai","₹2,500 for two",https://www.zomato.com/kochi/punjab-grill-edappally/info,Kochi,"Shop 9, 2nd Floor, Lulu Mall, National Highway 47, Nethaji Nagar, Edappally, Kochi",11am – 11pm,"+91914844863535,+91918130599953",4.4,747,3.9,"1,451"
Hamza's Naadan Grill,"Vennala, Kochi",Kerala,₹600 for two,https://www.zomato.com/kochi/hamzas-naadan-grill-vennala/info,Kochi,"46/2179-A, Thaikkavu Road, Vennala, Kochi",12:45pm – 11:30pm,+916282966958,3.8,46,3.7,97
Little Soi,"Panampilly Nagar, Kochi","Thai, Sushi, Oriental, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kochi/little-soi-panampilly-nagar/info,Kochi,"Aditya Tower, G-128, Cross Rd 3, K.V - Colony, Panampilly Nagar, Ernakulam, Kerala 682020",12noon – 11pm,+917736937773,4.6,513,4.1,"2,600"
Bektash,"Kakkanad, Kochi","Arabian, Shawarma, Mandi, Burger, Fast Food, Coffee, Shake, Beverages",₹350 for two,https://www.zomato.com/kochi/bektash-kakkanad/info,Kochi,"Kuzhikkattumoola, Infopark Road, Kakkanad, Kochi",12noon – 12midnight,+919745197453,4.2,383,4.0,"1,016"
Hoy Punjab,"Kacheripady, Kochi","North Indian, Street Food, Oriental, Biryani, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/kochi/hoy-punjab-kacherippady/info,Kochi,"Ground Foor, TA Beerankunju Road, Near Metro Pillar 619, Kacheripady, Kochi","12midnight – 1:30am, 11:45am – 11:45pm",+917736994440,4.3,272,4.1,"1,200"
Grand Entrée,"Vennala, Kochi","South Indian, North Indian, Continental, Asian, Seafood",₹850 for two,https://www.zomato.com/kochi/grand-entrée-vennala/info,Kochi,"Chalikkavattom, Vyttila Near Hyundai Showroom, Geetanjali Junction, Vennala, Kochi",11am – 12midnight,+919678888883,4.0,74,-,0
Cassava - Kochi Marriott Hotel,"Kochi Marriott Hotel, Edappally, Kochi","Kerala, South Indian, Desserts","₹2,800 for two",https://www.zomato.com/kochi/cassava-kochi-marriott-hotel-edappally/info,Kochi,"34/1111, Lulu International Shopping Mall, Edappally, Kochi","12:30pm – 3:30pm, 7pm – 11pm",+914847177777,4.8,237,-,0
Plan B,"Fort Kochi, Kochi","American, Burger, Pizza, Fast Food, North Indian","₹1,500 for two",https://www.zomato.com/kochi/plan-b-1-fort-kochi/info,Kochi,"Koder House, Tower Road, Fort Kochi, Kochi",11am – 11pm,"+919188330450,+919620177882",4.3,74,4.3,56
Galaxy Family Restaurant,"Kakkanad, Kochi","Kerala, North Indian, Seafood, Chinese",₹450 for two,https://www.zomato.com/kochi/galaxy-family-restaurant-kakkanad/info,Kochi,"274E, Crash Road, Colony Stop, Puzhakkara Building, Vazhakkala, Kakkanad, Kochi",7am – 11pm,"+914844069106,+914842424162",4.1,679,-,0
Bektash,"Chittoor Road, Kochi","Turkish, Lebanese, Kebab, Rolls, Beverages, Desserts, Ice Cream, Juices",₹300 for two,https://www.zomato.com/kochi/bektash-chittor-road/info,Kochi,"66/3491, YMCA Jn, Eranakulam Circle, Shenoys Road, Near Chittoor Road, Kochi",12noon – 12midnight,+919745197457,4.3,331,4.1,"2,792"
Thai Soul - Grand Hyatt Kochi Bolgatty,"Grand Hyatt Kochi Bolgatty, Kochi","Thai, Asian, Desserts","₹2,000 for two",https://www.zomato.com/kochi/thai-soul-grand-hyatt-kochi-bolgatty-vypin/info,Kochi,"Ground Level, Grand Hyatt Kochi, Mulavukad, Bolgatty, Vypin, Kochi","6:30pm – 10:45pm, 12noon – 3pm","+917593880512,+914842661205,+917593880525",4.6,134,-,0
Barbeque Nation,"LuLu Mall, Edappally, Kochi","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,700 for two",https://www.zomato.com/kochi/barbeque-nation-edappally/info,Kochi,"34/1072 & 34/1074, 3rd Floor, Lulu International Shopping Malls, Edappally, Kochi","12midnight – 1am, 11am – 12midnight","+917225022562,+917225018200,+917024263200",3.6,29,3.6,340
Pandhal Café & Deli - David Hall,"Fort Kochi, Kochi","Cafe, Coffee, Italian, Continental, Desserts, Beverages",₹800 for two,https://www.zomato.com/kochi/pandhal-café-deli-david-hall-fort-kochi/info,Kochi,"1/264, Opposite Parade Ground, Fort Kochi, Kochi",9am – 9pm,+91919288001961,4.4,233,4.4,103
KFC,"Kalamassery, Kochi","Burger, Fast Food, Desserts, Beverages",₹450 for two,https://www.zomato.com/kochi/kfc-kalamassery/info,Kochi,"Survey 475/15, Ground Floor & 1st Floor, Block 5, Thrikkakara North Village, Kalamassery Circle, Kalamassery, Kochi",11am – 11pm,+918089837252,4.2,268,4.0,"3,366"
Arippa Restaurant,"Palarivattom, Kochi","South Indian, Chinese, Fast Food, Desserts, Shake, Beverages","₹1,000 for two",https://www.zomato.com/kochi/arippa-restaurant-palarivattom/info,Kochi,"NH 47 Bypass, Pipeline Junctin, Palarivattom, Kochi",12noon – 12midnight,+918139887881,4.0,30,4.1,936
Chinese Wok,"Palarivattom, Kochi",Chinese,₹300 for two,https://www.zomato.com/kochi/chinese-wok-palarivattom/info,Kochi,"43/1916, Chembumukku, Opposite Indian Oil Petrol Pamb, Civil Line Road, Palarivattom, Kochi",11am – 1am,+918547199391,3.8,15,3.7,461
Burger King,"LuLu Mall, Edappally, Kochi","Burger, Fast Food, Beverages",₹500 for two,https://www.zomato.com/kochi/burger-king-edappally/info,Kochi,"34/1091, 3rd Floor, Lulu International Shopping Mall, Edappally, Kochi",10am – 11pm,+914844044701,4.0,863,4.1,13.6K
MoMo Café - Courtyard By Marriott Kochi Airport,"Courtyard by Marriott Kochi Airport, Aluva, Kochi","North Indian, Continental, Asian, South Indian, Kerala, Momos, Desserts, Beverages","₹2,600 for two",https://www.zomato.com/kochi/momo-café-courtyard-by-marriott-kochi-airport-nedumbassery/info,Kochi,"Courtyard by Marriott, Kochi International Airport VIP Road, Nedumbassery, Kochi",24 Hours,"+914846693399,+918943336034",4.0,139,3.0,358
Kashi Art Cafe,"Fort Kochi, Kochi","Cafe, Coffee, Fast Food, Sandwich, European, Salad, Juices, Beverages",₹700 for two,https://www.zomato.com/kochi/kashi-art-cafe-fort-kochi/info,Kochi,"Burgher Street, Fort Kochi, Kochi",9am – 9pm,+914842215769,4.3,"1,457",4.3,59
Hotel Seagull,"Fort Kochi, Kochi","Kerala, Seafood, Chinese, Biryani, Salad",₹800 for two,https://www.zomato.com/kochi/hotel-seagull-fort-kochi/info,Kochi,"Calvathy Road, Fort Kochi, Kochi",10am – 10pm,"+914842218128,+914842217172,+919747721085",4.0,631,-,0
Velocity,"Marine Drive, Kochi","Chinese, South Indian, North Indian, Kebab, Asian, Salad, Desserts, Beverages",₹600 for two,https://www.zomato.com/kochi/velocity-marine-drive/info,Kochi,"Edassery Building, High Court Junction, Banerji Road, Marine Drive, Kochi",12noon – 10pm,+914842397308,-,2,-,0
WOW! Momo,"Thopumpady, Kochi","Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts",₹300 for two,https://www.zomato.com/kochi/wow-momo-thoppumpady/info,Kochi,"Building 17/1661D, P T Jacob Road, Thopumpady, Kochi",11am – 11pm,"+919147186715,+919836198361",3.7,13,4.3,289
Hotel Al - Reem,"Aluva, Kochi","Mandi, Arabian",₹500 for two,https://www.zomato.com/kochi/hotel-al-reem-aluva/info,Kochi,"6/338, NH 47, Kottai, Aluva, Kochi",12noon – 10:30pm,+918893410410,4.3,"1,658",4.5,"1,458"
Watson's,"MG Road, Kochi","South Indian, North Indian","₹1,000 for two",https://www.zomato.com/kochi/watsons-mg-road/info,Kochi,"Veekshanam Road, Opposite Chennai Silks, MG Road, Kochi",11:30am – 11pm,+918050051123,4.3,56,-,0
Charcoal Shack Restaurant,"Kaloor, Kochi","Arabian, Mandi, Shawarma, North Indian, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kochi/charcoal-shack-restaurant-kaloor/info,Kochi,"Near Lissie Metro Station, Kaloor, Kochi",11am – 11pm,+919169555222,3.9,68,4.1,20.5K
"Lila's Kitchen - Port Muziris, A Tribute Portfolio Hotel","PortMuziris,Kochi, Kochi","Fast Food, Continental, South Indian, North Indian","₹2,200 for two",https://www.zomato.com/kochi/lilas-kitchen-port-muziris-a-tribute-portfolio-hotel-nedumbassery/info,Kochi,"Door 11/588, 589, 590, 591, VIP Road, Nedumbassery, Kochi",11am – 11pm,+918943336034,4.1,59,3.3,149
