Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
The Black Cat Lounge,"Park Street Area, Kolkata","Pizza, Pasta, Asian, Kebab, Desserts","₹2,000 for two",https://www.zomato.com/kolkata/the-black-cat-lounge-park-street-area/info,Kolkata,"Level 4, Celica Park, Park Center Building, Park Street Area, Kolkata",1pm – 12midnight,+919330745141,4.5,284,New,1
Amazora - The Trippy Jungle,"Park Street Area, Kolkata","Continental, Chinese","₹1,500 for two",https://www.zomato.com/kolkata/amazora-the-trippy-jungle-park-street-area/info,Kolkata,"20 G, Park Street, Kolkata - 700016, Kolkata, Park Street Area, Kolkata",12noon – 12midnight,+916291084184,4.3,204,-,0
The Spoilled Chef,"Park Street Area, Kolkata","North Indian, South Indian, Continental, Italian, Beverages, Desserts, Pizza, Pasta",₹400 for two,https://www.zomato.com/kolkata/the-spoilled-chef-park-street-area/info,Kolkata,"25B, Ground Floor, Ward 63, Park Street Area, Kolkata",8am – 11pm,080 49653106,3.9,53,3.6,9
The Urban Hive,"Park Street Area, Kolkata","North Indian, Italian, Chinese, Pizza, Burger, Fast Food, Desserts, Beverages",₹900 for two,https://www.zomato.com/kolkata/the-urban-hive-park-street-area/info,Kolkata,"81, Ist Floor, Elliot Road, Park Street Area, Kolkata","12midnight – 3am, 1pm – 12midnight","+919830244687,+918096822863",4.1,435,3.5,32
Rang De Basanti Dhaba,"New Market Area, Kolkata","North Indian, Kebab, Biryani, Chinese, Beverages",₹800 for two,https://www.zomato.com/kolkata/rang-de-basanti-dhaba-new-market-area/info,Kolkata,"20A, 1st Floor, New Market Area, Kolkata",12noon – 12midnight,+91 8068974114,4.2,"1,766",4.1,"1,011"
The Calcuttaa Bar,"Park Street Area, Kolkata","North Indian, Italian, Chinese, Bar Food, Continental","₹1,000 for two",https://www.zomato.com/kolkata/the-calcuttaa-bar-park-street-area/info,Kolkata,"25B, Park Street, Ground Floor, Kolkata, KOLKATA MUNICIPAL CORPORATION, Park Street Area, Kolkata",1pm – 12midnight,+917439948790,4.4,174,-,3
Hard Rock Cafe,"Park Street Area, Kolkata","American, Italian, Salad, Burger, Beverages, Wraps, Desserts","₹2,000 for two",https://www.zomato.com/kolkata/hard-rock-cafe-park-street-area/info,Kolkata,"57, Park Mansion, Near Reliance Digital, Park Street Area, Kolkata",12noon – 12midnight,"+913348108563,+919831736963",4.5,"4,833",4.0,9
Euphoric Pub & Kitchen,"Park Street Area, Kolkata","Italian, Chinese, Asian, North Indian, Continental, Bar Food","₹1,800 for two",https://www.zomato.com/kolkata/euphoric-pub-kitchen-park-street-area/info,Kolkata,"1st floor, 20G, Parkstreet, Park Street area, Kolkata, West Bengal 700016, Kolkata, Park Street Area, Kolkata",2pm – 12midnight,+918697808182,3.8,78,-,0
Olterra,"Park Street Area, Kolkata","Finger Food, Modern Indian, Asian, Italian, Continental, North Indian, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/kolkata/olterra-park-street-area/info,Kolkata,"18, ward no 63, Kolkata Municipal Corporation, Park Street Area, Kolkata",12noon – 12midnight,"+913368110950,+916292222901,+916292222900",4.9,"2,861",-,0
Lazzy Panda,"Park Street Area, Kolkata","North Indian, Chinese, Italian, Sandwich, Shake, Beverages","₹1,000 for two",https://www.zomato.com/kolkata/lazzy-panda-park-street-area/info,Kolkata,"77/1A, 1st Floor, Ward 63, Park Street Area, Kolkata",12noon – 4am,+918910071393,3.9,11,-,0
