Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
The Chocolate Room,"Hazratganj, Lucknow","Bakery, Cafe, Coffee, Salad, Italian, Fast Food, Chinese, Mexican",₹900 for two,https://www.zomato.com/lucknow/the-chocolate-room-hazratganj/info,Lucknow,"Shop- 4, Ground Floor, Habibullah Estate, Apex Tower, Mahatma Gandhi Marg, Hazratganj, Lucknow",11am – 11pm,"+915224241933,+919129059800",4.1,"1,027",4.0,"2,824"
Wish Your Dish,"Khurram Nagar, Lucknow","North Indian, South Indian, Chinese, Mughlai, Kebab, Fast Food, Momos, Beverages",₹950 for two,https://www.zomato.com/lucknow/wish-your-dish-khurram-nagar/info,Lucknow,"529/613, Rahim Nagar, Opposite HP Petrol Pump, Khurram Nagar, Lucknow",10:30am – 11:45pm,+918874888805,3.8,61,3.8,"2,658"
Mehrnaz,"Indira Nagar, Lucknow","North Indian, Mughlai, Chinese, Rolls, Grilled Chicken, Roast Chicken","₹1,000 for two",https://www.zomato.com/lucknow/mehrnaz-indira-nagar/info,Lucknow,"C/639, Aravali Marg, Near Indira Nagar Metro Station, Indira Nagar, Lucknow",,+919151222111,3.9,33,4.2,"1,372"
Grand Patio - Hotel Savvy Grand,"Gomti Nagar, Lucknow","North Indian, Continental, Chinese","₹1,200 for two",https://www.zomato.com/lucknow/grand-patio-hotel-savvy-grand-gomti-nagar/info,Lucknow,"11/A, Vibhuti Khand, Gomti Nagar, Lucknow",10:30am – 10:30pm,"+917052162074,+917052162075",3.8,131,3.9,24
Spice Caves,"Gomti Nagar, Lucknow","North Indian, Chinese, Mughlai, BBQ, Sichuan, Biryani, Fast Food, Ice Cream","₹1,700 for two",https://www.zomato.com/spicecaves/info,Lucknow,"4/293, Vivek Khand 2, Gomti Nagar, Lucknow",11:45am – 11:30pm,"+919305949475,+917999606263",4.3,"2,854",3.6,"5,851"
Remix Veg Food Hall,"Gomti Nagar, Lucknow","North Indian, Fast Food, Chinese, Desserts, South Indian, Modern Indian, Salad, Pasta","₹1,200 for two",https://www.zomato.com/lucknow/remix-veg-food-hall-gomti-nagar/info,Lucknow,"TCG 4-4, Unit 20-30, 1st Floor, Rohtas Presidential Arcade, Vibhuti Khand, Gomti Nagar, Lucknow",12noon – 11pm,+918957991575,3.9,52,3.9,120
Bigg Daddy,"Cyber Heights, Gomti Nagar, Lucknow","North Indian, Mughlai, Continental, Chinese, Italian, Kebab, Biryani, Fast Food","₹2,000 for two",https://www.zomato.com/lucknow/bigg-daddy-gomti-nagar/info,Lucknow,"6th Floor Balcony, Cyber Heights, Vibhuti Khand, Gomti Nagar, Lucknow",12noon – 2am,"+917800004920,+919140117670",4.2,"2,373",3.7,193
Firefly,"Summit Building, Gomti Nagar, Lucknow","North Indian, South Indian, Chinese, Italian, Thai, Japanese, Beverages, Desserts","₹1,900 for two",https://www.zomato.com/lucknow/firefly-gomti-nagar/info,Lucknow,"15th Floor, Summit Building, TCG 3, Vibhuti Khand, Gomti Nagar, Lucknow","11am – 11:45pm, 12midnight – 1am",+919336964026,3.9,295,-,0
Garden Grille & Bar - Hilton Garden Inn,"Double Tree by Hilton Gomti Nagar, Lucknow","North Indian, Asian, Mughlai, Fast Food, Desserts, Ice Cream","₹2,000 for two",https://www.zomato.com/lucknow/garden-grille-bar-hilton-garden-inn-gomti-nagar/info,Lucknow,"TCG 7/7, Hilton Garden Inn, Vibhuti Khand, Gomti Nagar, Lucknow",7am – 11pm,+916386661550,4.4,275,4.2,152
Black Brew House,"Summit Building, Gomti Nagar, Lucknow","North Indian, Continental, Italian, Asian, Fast Food, Beverages, Desserts","₹1,400 for two",https://www.zomato.com/lucknow/black-brew-house-gomti-nagar/info,Lucknow,"15th & 16th Floor, Summit Building, Vibhuti Khand, Gomti Nagar, Lucknow",12noon – 12midnight,"+918400888680,+918400888681",4.1,943,-,4
Que,"Gomti Nagar, Lucknow","North Indian, Continental, Chinese, Finger Food, Italian, Fast Food, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/lucknow/que-1-gomti-nagar/info,Lucknow,"11A, Vibhuti Khand, Gomti Nagar, Lucknow","12midnight – 1:30am, 1pm – 12midnight",+917052162060,4.4,"1,207",-,0
Tanatan,"Hazratganj, Lucknow","North Indian, Lucknowi, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/lucknow/tanatan-hazratganj/info,Lucknow,"94, Ground & 1st Floor, Durga Bhawan, Mahatma Gandhi Marg, Mall Road, Hazratganj, Lucknow",12noon – 12midnight,"+918657768894,+919833060442",4.5,"1,512",4.4,589
Nainital Momos,"Gomti Nagar, Lucknow","Momos, Chinese, Beverages, Healthy Food",₹400 for two,https://www.zomato.com/lucknow/nainital-momos-gomti-nagar/info,Lucknow,"1/340, Viram Khand, Gomti Nagar, Lucknow",11am – 11pm,"+915223557228,+917052295229,+919506304816",4.4,"1,395",3.8,10.4K
Purple Basil,"Gomti Nagar, Lucknow","North Indian, Sandwich, Pizza, Sushi, Italian, Fast Food, Mexican, Salad","₹1,100 for two",https://www.zomato.com/lucknow/purple-basil-1-gomti-nagar/info,Lucknow,"Golf City, Near Best Price Walmart, Gomti Nagar, Lucknow",12:30pm – 10pm,+919076619953,4.5,315,3.4,18
Cafe Hons - House Of No Sugar,"Gomti Nagar, Lucknow","Italian, Mexican, Continental, Sandwich, Burger, Fast Food, Beverages","₹1,200 for two",https://www.zomato.com/lucknow/cafe-hons-house-of-no-sugar-gomti-nagar/info,Lucknow,"Shop A-9, Kisan Bazar, Vibhuti Khand, Gomti Nagar, Lucknow",11am – 11pm,"+919682826868,+917388880101",4.4,337,4.1,819
Vint Club,"Gomti Nagar, Lucknow","Chinese, Continental, Italian, Beverages, Asian, Fast Food, Desserts","₹1,000 for two",https://www.zomato.com/lucknow/vint-club-gomti-nagar/info,Lucknow,"Plot 2, IT Park, Amar Shaheed Path, Sushant Golf City, Sultanpur Road, Gomti Nagar, Lucknow",12noon – 11pm,"+917408404863,+917408404862",4.3,833,3.4,89
ZAO,"Cyber Heights, Gomti Nagar, Lucknow","Asian, Chinese, Japanese, Korean, Thai, Sushi, Sichuan, Desserts","₹1,800 for two",https://www.zomato.com/lucknow/zao-1-gomti-nagar/info,Lucknow,"Cyber Heights, Vibhuti Khand, Gomti Nagar, Lucknow",12:30pm – 11:15pm,"+917379609714,+915224028923",4.9,"1,252",4.2,"1,144"
