Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Under The Mango Tree,"Civil Lines, Ludhiana","North Indian, Modern Indian, Continental, Asian","₹2,000 for two",https://www.zomato.com/ludhiana/under-the-mango-tree-civil-lines/info,Ludhiana,"Plot 100, Kunal Tower, Mall Road, Civil Lines, Ludhiana",11:30am – 11pm,+919872011111,4.0,104,3.7,9
Belfrance Bakers & Chocolatiers,"Main Market, Sarabha Nagar, Ludhiana","Coffee, Continental, Italian, Bakery, Fast Food, Beverages, Desserts, Cafe","₹1,200 for two",https://www.zomato.com/BelfranceLudhiana/info,Ludhiana,"SCF 32 C, Main Market, Sarabha Nagar, Ludhiana",9:45am – 11:30pm,"+911614612000,+911614633305,+919855523333",4.3,709,4.3,"6,681"
The Yellow Chilli,"Main Market, Sarabha Nagar, Ludhiana","Mughlai, North Indian, Chinese, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/ludhiana/the-yellow-chilli-sarabha-nagar/info,Ludhiana,"SCF 31 C, Main Market, Sarabha Nagar, Ludhiana",11:30am – 11:30pm,"+911614610070,+919501111763,+911615057574",4.1,"1,112",3.7,"6,689"
Gautams O Dine,"Sarabha Nagar, Ludhiana","Italian, Fast Food, Thai, Chinese, North Indian, Coffee, Desserts","₹1,500 for two",https://www.zomato.com/ludhiana/gautams-o-dine-sarabha-nagar/info,Ludhiana,"Plot 53D, Ground Floor, Sarabha Nagar, Ludhiana",11am – 11pm,+919034043664,3.8,45,3.6,187
The GT Road,"Silver Arc Mall, Gurdev Nagar, Ludhiana","North Indian, Mughlai","₹1,900 for two",https://www.zomato.com/ludhiana/the-gt-road-gurdev-nagar/info,Ludhiana,"4th Floor, Silver Arc Mall, Ferozepur Road, Gurdev Nagar, Ludhiana","12noon – 3:30pm, 7pm – 11:30pm","+917901300010,+911614505110",4.0,122,-,2
Studio Xo Bar,"Aggar Nagar, Ludhiana",Fast Food,"₹1,400 for two",https://www.zomato.com/ludhiana/studio-xo-bar-1-aggar-nagar/info,Ludhiana,"Sco 1 To Sco 5, Ground, First & Rooftoop Paragon Waterfront, Aggar Nagar, Ludhiana",12noon – 1am,"+919953117155,+919958600503,+919958600398",3.7,9,-,0
Castle's Barbeque,"Aggar Nagar, Ludhiana","North Indian, Salad","₹1,300 for two",https://www.zomato.com/ludhiana/castles-barbeque-aggar-nagar/info,Ludhiana,"Wave Mall, Ferozepur Road, Aggar Nagar, Ludhiana",12noon – 11pm,"+918968855455,+918968125455",4.3,308,3.5,47
Hot Breads,"Main Market, Sarabha Nagar, Ludhiana","Continental, Chinese, Italian, Bakery, Fast Food, Beverages, Desserts",₹800 for two,https://www.zomato.com/ludhiana/hot-breads-sarabha-nagar/info,Ludhiana,"SCF 32, Main Market, Sarabha Nagar, Ludhiana",11am – 11:30pm,"+911614603333,+911615012222",4.3,"1,559",4.3,20.4K
Gola Sizzlers,"Aggar Nagar, Ludhiana","North Indian, Chinese, Pasta, Pizza, Seafood, Salad, Coffee, Beverages","₹2,000 for two",https://www.zomato.com/ludhiana/gola-sizzlers-aggar-nagar/info,Ludhiana,"1 & 2, Ground Floor, South City Road, Aggar Nagar, Ludhiana",12noon – 11pm,+916280949233,4.1,114,3.9,37
Punjab Grill,"Aggar Nagar, Ludhiana","North Indian, Kebab, Biryani, Mughlai","₹2,000 for two",https://www.zomato.com/ludhiana/punjab-grill-aggar-nagar/info,Ludhiana,"SCO-16, Unit 1120 & 1254, Ground & 1st Floor, Paragaon Waterfront, Opposite Fuel Station, Aggar Nagar, Ludhiana",11am – 11:30pm,+918130595298,3.9,46,3.7,34
