Restaurant_Name,City,Locality,Address,Cuisines,Average_Cost_for_two,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes,Restaurant_Url
Pechiamman Non Veg Restaurant,Madurai,"Villapuram, Madurai","28B/1/1, Aruppukottai Main Road, Villapuram, Madurai","Biryani, Chettinad, Chinese, South Indian, Sichuan",₹250 for two,11am – 11pm,+919003450860,4.2,449,4.0,28.2K,https://www.zomato.com/madurai/pechiamman-non-veg-restaurant-villapuram/info
Biggies Burger,Madurai,"KK Nagar, Madurai","144, Majesty Cine Mall, Deputy Collector Colony Road, KK Nagar, Madurai","Burger, Wraps, Fast Food, Shake, Beverages, Desserts",₹300 for two,"12midnight – 12:30am, 11am – 12midnight",+919019910510,3.4,5,4.1,595,https://www.zomato.com/madurai/biggies-burger-kk-nagar/info
Simmakkal Konar Kadai - Main Branch,Madurai,"Periyar, Madurai","77-78, North Veli Street, Simmakkal, Periyar, Madurai","South Indian, Seafood, Desserts, Beverages",₹500 for two,11am – 11pm,+918122665522,3.9,5,3.6,"1,323",https://www.zomato.com/madurai/simmakkal-konar-kadai-main-branch-periyar/info
Dindigul Thalappakatti,Madurai,"KK Nagar, Madurai","1, Melur Main Road, Opposite District Court, KK Nagar, Madurai","Biryani, BBQ, South Indian, Chinese, North Indian, Sichuan",₹500 for two,"12midnight – 1am, 11am – 12midnight",+914524524415,4.1,321,3.9,11.1K,https://www.zomato.com/madurai/dindigul-thalappakatti-kk-nagar/info
Hotel Sree Sabarees,Madurai,"Kamarajar Salai, Madurai","1, Pankajam Colony, Kamarajar Salai, Madurai","South Indian, Beverages, Biryani",₹200 for two,7am – 11pm,"+916369118487,+916369041492",4.3,375,4.2,23.5K,https://www.zomato.com/madurai/hotel-sree-sabarees-kamarajar-salai/info
Bocs Pizza,Madurai,"KK Nagar, Madurai","46/2, Ground Floor, Janani Apartment, KK Nagar, Madurai","Pizza, Burger, Fast Food, Street Food, Desserts, Beverages, Shake",₹350 for two,"12midnight – 12:30am, 10:30am – 12midnight",+919952590703,3.9,4,4.2,708,https://www.zomato.com/madurai/bocs-pizza-kk-nagar/info
Banu Beef Restaurant,Madurai,"Iyer Bungalow, Madurai","Shop 4, CSI Complex, Opposite Ashwini Hospital, Iyer Bungalow, Madurai","Biryani, South Indian, Chinese, Beverages, Sichuan",₹300 for two,11:30am – 11pm,"+919659664645,+919080791623",4.1,116,4.1,"4,835",https://www.zomato.com/madurai/banu-beef-restaurant-iyer-bungalow/info
Madurai Kitchen - Courtyard By Marriott,Madurai,"Courtyard by Marriott Madurai, Madurai","168, Near Govt Circuit House, Alagarkoil Road, KK Nagar, Madurai","North Indian, South Indian, Chinese, Continental, Italian, Fast Food, Beverages","₹1,800 for two",7am – 10pm,"+914524244555,+917358378339,+919384828403",3.9,7,-,0,https://www.zomato.com/madurai/madurai-kitchen-courtyard-by-marriott-kk-nagar/info
Keerthana Hotel,Madurai,"SS Colony, Madurai","44, Naicker New Street, Near Axis Bank, SS Colony, Madurai","South Indian, Biryani, North Indian, Chinese",₹300 for two,12noon – 11pm,+919994499391,3.9,25,-,0,https://www.zomato.com/madurai/keerthana-hotel-ss-colony/info
Krishnan Mess,Madurai,"Kamarajar Salai, Madurai","1591B, Teppakulam, Kamarajar Salai, Madurai","South Indian, Chinese, Biryani",₹350 for two,11am – 12midnight,+919786200142,3.9,35,4.3,329,https://www.zomato.com/madurai/krishnan-mess-kamarajar-salai/info
