Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Cafe Evergreen,"Old Manali, Manali",Cafe,₹600 for two,https://www.zomato.com/manali/cafe-evergreen-old-manali/info,Manali,"Manu Temple Road, Old Manali, Manali",11am – 12midnight,+919736747081,3.4,67,-,0
Come A Napoli Pizzeria,"Old Manali, Manali",Pizza,"₹1,500 for two",https://www.zomato.com/manali/come-a-napoli-pizzeria-1-old-manali/info,Manali,"Club House Road, Old Manali, Manali",3pm – 10pm,+918146867659,3.9,10,-,0
Nathu's Pure Vegetarian Restaurant,"Tibetan Colony, Manali","Shake, Beverages",₹150 for two,https://www.zomato.com/manali/nathus-pure-vegetarian-restaurant-tibetan-colony/info,Manali,"Adarsh Complex, Main Mall Road, Tibetan Colony, Manali",10:30am – 10:30pm,+918091900660,3.1,6,3.9,138
Sabali,"Old Manali, Manali","Cafe, Bakery",₹600 for two,https://www.zomato.com/manali/sabali-old-manali/info,Manali,"Manu Temple Road, Old Manali, Manali",8:30am – 9:45pm,+918091301833,3.9,12,-,3
Darjeeling Steamers,"Old Manali, Manali","Momos, Asian, Korean, Street Food, Beverages",₹500 for two,https://www.zomato.com/manali/darjeeling-steamers-old-manali/info,Manali,"Circuit House Road, Old Manali, Manali",12noon – 10pm,+918580529277,3.8,18,4.2,203
Sher-e-Punjab,"Aleo, Manali","North Indian, Mughlai, Chinese, Fast Food, Beverages",₹700 for two,https://www.zomato.com/manali/sher-e-punjab-1-aleo/info,Manali,"The Mall, Siyal, Aleo, Manali",10am – 10pm,+911902252572,3.7,135,-,0
il Forno,"Aleo, Manali",Cafe,₹200 for two,https://www.zomato.com/manali/il-forno-aleo/info,Manali,"Hadimba Road Dhungri, Aleo, Manali",10:30am – 10:30pm,"+919816040144,+919736840401",4.9,171,-,0
Mount View's Noodles,"Aleo, Manali","North Indian, Japanese, Italian",₹650 for two,https://www.zomato.com/manali/mount-views-noodles-aleo/info,Manali,"Manali Mall Market, Mall Road, Aleo, Manali",8am – 11pm,+919805011208,3.6,60,-,0
The Pahadi Cafe,"Aleo, Manali","North Indian, Mughlai, Chinese, Desserts","₹1,000 for two",https://www.zomato.com/manali/the-pahadi-cafe-aleo/info,Manali,"Shop 149, Ward 3, Rambagh Chowk, Aleo, Manali",12noon – 11pm,+919816451525,3.8,7,4.3,303
Renaissance,"Old Manali, Manali","Mexican, Italian, Cafe",₹800 for two,https://www.zomato.com/manali/renaissance-old-manali/info,Manali,"Manu Temple Road, Old Manali",8am – 10pm,+917018461074,4.2,24,-,0
