Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Kni Hau,"Balmatta, Mangalore","Chinese, Cantonese","₹1,000 for two",https://www.zomato.com/mangalore/kni-hau-balmatta/info,Mangalore,"236/2Ai, Bunts Hostel Road, Balmatta, Mangalore","12noon – 3:45pm, 7pm – 11:45pm",+917204008452,4.5,101,-,1
Sanadige - Goldfinch Hotel,"Goldfinch Hotel, Balmatta, Mangalore","Seafood, Mangalorean, Goan, South Indian, North Indian, Chinese, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/mangalore/sanadige-goldfinch-hotel-balmatta/info,Mangalore,"Goldfinch Hotel, Bunts Hostel Road, Near Jyoti Circle, Balmatta, Mangalore","12noon – 3:30pm, 7pm – 11:30pm",+918884026260,4.6,394,3.7,"1,335"
The Loft,"Attavar, Mangalore","Italian, Pizza, Desserts, Continental, Beverages",₹750 for two,https://www.zomato.com/mangalore/the-loft-1-attavar/info,Mangalore,"Door 17 - 17- 1306/14, 15-16-17-18-19 And 17-17-1302/2-4, Nandigudde Road, Near Casa Grande, Attavar, Mangalore",12noon – 11:30pm,+918792051888,4.4,254,3.8,327
Machali,"Kodailbail, Mangalore","Seafood, Mangalorean, South Indian",₹800 for two,https://www.zomato.com/mangalore/machali-kodailbail/info,Mangalore,"4-9-T 828/2, Brindavan Compound, Near Ocean Pearl, Kodailbail, Mangalore","11:30am – 3:30pm, 7pm – 10pm","+918242496605,+917795957575",4.7,"1,872",4.3,66.4K
Sharief Bhai,"Hampankatta, Mangalore","Biryani, Kebab, Mughlai, Arabian, South Indian, Rolls, Desserts, Beverages",₹200 for two,https://www.zomato.com/mangalore/sharief-bhai-hampankatta/info,Mangalore,"Shop 03, Serial 772, Ground Floor, Hotel Roopa Building, Attavara, Hampankatta, Mangalore",11:30am – 12midnight,"+919108377558,+918123125796",3.5,26,3.9,963
Village Restaurant,"Kavoor, Mangalore","Seafood, Mangalorean, South Indian, Pizza, Biryani, Chinese, Continental","₹1,000 for two",https://www.zomato.com/villagerestaurant/info,Mangalore,"Airport Road, Yeyyadi, Kavoor, Mangalore",11:30am – 11:30pm,"+918242224917,+918242214158",4.1,"1,041",4.1,"8,393"
Diesel Cafe,"Balmatta, Mangalore","American, Continental, Italian, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/mangalore/diesel-cafe-balmatta/info,Mangalore,"15-4-206/1, 2 & 4, 8, Near Collector Gate, Balmatta, Mangalore",9am – 11pm,"+919342173940,+919845400501",4.9,963,4.4,"3,863"
The Curry Wok,"Hampankatta, Mangalore","North Indian, Continental, Chinese",₹700 for two,https://www.zomato.com/mangalore/the-curry-wok-hampankatta/info,Mangalore,"Karuna Residency, KS Rao Road, Hampankatta, Mangalore",11:30am – 11pm,+917406174444,4.4,136,4.2,900
Maharaja Restaurant,"Balmatta, Mangalore","Seafood, Mangalorean, North Indian, Fast Food, Mughlai, Chinese, Beverages, Sichuan",₹700 for two,https://www.zomato.com/mangalore/maharaja-restaurant-balmatta/info,Mangalore,"1st Floor, Trade Centre, Near Jyothi Circle, Balmatta, Mangalore","11:30am – 3:30pm, 6:30pm – 10:30pm","+918242441526,+918242441726",4.2,746,4.3,18.7K
Tandoor,"Balmatta, Mangalore","Seafood, North Indian, Biryani",₹600 for two,https://www.zomato.com/mangalore/tandoor-balmatta/info,Mangalore,"Jail Road, Balmatta, Dakshina Kannada, Balmatta, Mangalore",11am – 11pm,+918242492277,4.2,353,4.3,21.8K
