Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Epitome,"Lower Parel, Mumbai","Italian, North Indian, Asian, Arabian, Sushi, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/mumbai/epitome-lower-parel/info,Mumbai,"Mathuradas Mill Compound, N.M. Joshi Marg, Lower Parel, Mumbai",12noon – 1:30am,"+917900092566,+917900043399",4.1,590,3.9,146
KOKO,"Kamala Mills Compound, Mumbai","Asian, Sushi, Desserts, Chinese, Beverages","₹3,500 for two",https://www.zomato.com/mumbai/koko-1-lower-parel/info,Mumbai,"C 2, Ground Floor, Trade World, Kamala Mills, SB Road, Near Radio Mirchi Office, Lower Parel, Mumbai",11am – 11:30pm,"+917715963030,+919004988887",4.7,"1,356",4.3,742
Younion,"Kamala Mills Compound, Mumbai","Finger Food, Finger Food, Continental, European, Chinese, North Indian, Italian, Fast Food, Desserts","₹2,000 for two",https://www.zomato.com/mumbai/younion-lower-parel/info,Mumbai,"Near Radio Mirchi Office, Kamala Mills, Lower Parel, Mumbai",11:30am – 12midnight,"+918433942802,+918433942801",4.1,"1,818",4.3,34
P.F. Chang's,"Lower Parel, Mumbai","Asian, Sushi, Desserts","₹2,200 for two",https://www.zomato.com/mumbai/p-f-changs-lower-parel/info,Mumbai,"Unit no 4, Ground floor, One lodha Place, Senapati Bapat marg, Lower Parel, Mumbai",12noon – 1am,"+918655833293,+918655833294",4.2,244,-,0
Julius,"Phoenix Palladium, Lower Parel, Mumbai","European, Continental, Mediterranean","₹2,000 for two",https://www.zomato.com/mumbai/julius-lower-parel/info,Mumbai,"S 1-4, Second Floor, Block 1, Phoenix Mall, Senapati Bapat Marg, Lower Parel, Mumbai",12noon – 11pm,"+919967366261,+918828823987,+917208523328",4.6,852,3.6,53
Cha,"Palladium Mall, Lower Parel, Mumbai","Asian, Chinese","₹1,500 for two",https://www.zomato.com/mumbai/cha-lower-parel/info,Mumbai,"S 1-4, Second Floor, Phoenix Mall, Block 1, Senapati Bapat Marg, Lower Parel, Mumbai",11am – 10pm,"+919152026605,+919222566956",4.5,"1,505",4.2,323
Gymkhana 91 Bar & Kitchen,"Lower Parel, Mumbai","North Indian, Japanese, Thai, Burmese, Chinese, Beverages","₹1,800 for two",https://www.zomato.com/mumbai/gymkhana-91-bar-kitchen-lower-parel/info,Mumbai,"1st Floor, Raghuvanshi Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai","12midnight – 2:30am, 11:30am – 3:30pm, 5:30pm – 12midnight","+917208333636,+917208333535",4.3,"3,435",4.0,591
Pints Of Wisdom,"Bandra Kurla Complex, Mumbai","North Indian, Bar Food, Chinese, Biryani, Fast Food","₹1,000 for two",https://www.zomato.com/mumbai/pints-of-wisdom-bandra-kurla-complex/info,Mumbai,"R3, G Block, Adani Inspire, Bandra Kurla Complex, Mumbai",12noon – 12midnight,+918591577611,New,67,-,0
Jamjar Diner,"Hill Road, Bandra West, Mumbai","Italian, Mexican, Pizza, Burger, Fast Food, Desserts, Beverages","₹1,600 for two",https://www.zomato.com/mumbai/jamjar-diner-hill-road-bandra-west/info,Mumbai,"15, 133, 1st Floor, Gazebo House, Ramdas Nayak Marg, Near St. Peters Church, Hill Road, Bandra West, Mumbai",9am – 1:30am,+919619000365,4.3,"2,989",4.3,831
Poult,"Palladium Mall, Lower Parel, Mumbai","Burger, Fast Food, American","₹1,000 for two",https://www.zomato.com/mumbai/poult-lower-parel/info,Mumbai,"G/15, Ground Floor, Phoenix Mall, Senapati Bapat Marg, Near Sai Service, Lower Parel, Mumbai",10:30am – 11:30pm,"+919152192826,+919029991561",4.3,"1,617",4.1,"2,292"
The Nutcracker,"Reclamation, Bandra West, Mumbai","Cafe, Beverages, American, European, Salad, Desserts",₹950 for two,https://www.zomato.com/mumbai/the-nutcracker-reclamation-bandra-west/info,Mumbai,"C/2, Diamond Arch Cooperative Housing Society, John Baptist Road, Reclamation, Bandra West, Mumbai",12noon – 11:30pm,+919321767726,4.4,"2,148",4.3,"2,700"
The Nines,"Juhu, Mumbai","Continental, Asian, North Indian, Pizza, Italian, Desserts, Sushi, Oriental","₹2,000 for two",https://www.zomato.com/mumbai/the-nines-juhu/info,Mumbai,"Plot 70, JVPD Grounds, Devle Road, Juhu, Mumbai",12noon – 1:30am,"+919076133999,+919076144999,+919967934102",4.2,619,-,0
Noa By The Nutcracker,"Linking Road, Bandra West, Mumbai","Sandwich, Fast Food, Healthy Food, Desserts, Coffee, Continental, American, European",₹600 for two,https://www.zomato.com/mumbai/noa-by-the-nutcracker-linking-road-bandra-west/info,Mumbai,"Shop 3/4, 384, Plot 104/D, Opposite St. Theresas School, Linking Road, Bandra West, Mumbai",11am – 11:30pm,+918850781341,3.8,25,4.0,12
All Saints,"Khar, Mumbai","Continental, Italian, Salad, Sushi, Chinese, Desserts, Bar Food, Asian","₹1,500 for two",https://www.zomato.com/mumbai/all-saints-khar/info,Mumbai,"Plot 757, S V Road, Khar, Mumbai",12:30pm – 1am,"+919854273273,+919854276276",4.0,"2,023",2.9,8
