Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Hotel RRR,"Mandi Mohalla, Mysore","Andhra, Biryani",₹500 for two,https://www.zomato.com/mysore/hotel-rrr-mandi-mohalla/info,Mysore,"Sri Harsha Road, Near Mahatma Gandhi Square, Mandi Mohalla, Mysore","11:30am – 4:30pm, 7pm – 10:30pm",+918212442878,4.1,780,4.4,22.3K
The Indian Curry House,"Chamrajpura, Mysore","Chinese, Salad, Italian, North Indian, Pizza, Pasta, Continental, Beverages","₹1,000 for two",https://www.zomato.com/mysore/the-indian-curry-house-chamrajpura/info,Mysore,"366, 2nd And 3rd Floor, Popular Land Mark, JLB Road, Chamrajpura, Mysore","12noon – 3:30pm, 7pm – 10:30pm","+918722991234,+918553737379,+918214269840",4.3,531,4.1,"3,785"
Cuppa Redefined,"Mall Of Mysore, Ittige Gudu, Mysore","Burger, Fast Food, Healthy Food, Shake, Coffee, Desserts, Juices, Continental",₹800 for two,https://www.zomato.com/mysore/cuppa-redefined-ittige-gudu/info,Mysore,"GFK 1, Ground Floor, Mall of Mysore, Indira Nagara Extension, Nazarabad Mohalla, M G Road, Ittige Gudu, Mysore",8am – 11pm,"+919380969659,+917899938017,+919686906913",4.4,188,3.9,374
Chinese Wok,"Jayalakhsmipuram, Mysore","Chinese, Momos, Sichuan","₹1,000 for two",https://www.zomato.com/mysore/chinese-wok-jayalakhsmipuram/info,Mysore,"2831, D-20, Ground Floor, Devaraja Mohalla, 10Th Cross, Adipampa Road, Jayalakhsmipuram, Mysore","12midnight – 2am, 10am – 12midnight","+918214056203,+919535004548,+919108176868",3.8,62,4.0,"1,007"
Sharief Bhai,"Tilak Nagar, Mysore","Biryani, Kebab, Mughlai, Arabian, South Indian, Rolls, Desserts, Beverages","₹1,100 for two",https://www.zomato.com/mysore/sharief-bhai-tilak-nagar/info,Mysore,"Shop 11/13, New Sayyaji Rao Road, Tilak Nagar, Mysore",11am – 11pm,"+917411144410,+916362346702",4.0,213,3.9,"4,375"
Biryani By Kilo,"Jayalakhsmipuram, Mysore","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹600 for two,https://www.zomato.com/mysore/biryani-by-kilo-jayalakhsmipuram/info,Mysore,"2713/1, Ground Floor, V V Mohalla, Adipampa Road, Jayalakhsmipuram, Mysore",10am – 12midnight,18002122212,4.2,230,4.0,"4,096"
Onesta,"Gokulam, Mysore","Pizza, Fast Food, Desserts, Beverages",₹600 for two,https://www.zomato.com/mysore/onesta-gokulam/info,Mysore,"2927A, Shiva's Plaza And Star Point, VV Mohalla, 6th Main, Gokulam, Mysore","12midnight – 4am, 10am – 12midnight","+919513736262,+919513736294",4.4,"3,673",3.6,19.7K
Mysouth - Radisson Blu Plaza Hotel,"Radisson Blu Plaza Hotel - Chamrajpura, Mysore","South Indian, Kerala, Andhra","₹2,000 for two",https://www.zomato.com/mysore/mysouth-radisson-blu-plaza-hotel-chamrajpura/info,Mysore,"Radisson Blu Plaza Hotel, 1, MG Road, Ittige Gudu, Chamrajpura, Mysore",7pm – 11pm,+918217101234,4.9,354,-,0
Nyt Café 24/7,"Bannimantap, Mysore","Fast Food, Sandwich",₹550 for two,https://www.zomato.com/mysore/nyt-café-24-7-1-bannimantap/info,Mysore,"KR Mill Colony, NH 275, Kesare, Bannimantap, Mysore",24 Hours,"+918861350008,+918553552553",4.1,26,-,0
Oyster Bay,"Vijay Nagar, Mysore","Burger, Sandwich, Fast Food, Beverages, Desserts, Asian, Mughlai, North Indian","₹1,000 for two",https://www.zomato.com/mysore/oyster-bay-vijay-nagar/info,Mysore,"220/2, Kannada Sahitya Parishath Road, Near Vijayanagara Water Tank, Vijay Nagar, Mysore","12:30pm – 3pm, 7pm – 10:30pm","+919900037368,+919900037367",3.9,706,4.2,"1,546"
