Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
TAO - Asian Kitchen,"Civil Lines, Nagpur","Asian, Japanese, Chinese, Thai, Oriental, Sushi","₹1,900 for two",https://www.zomato.com/nagpur/tao-asian-kitchen-civil-lines/info,Nagpur,"Plot 1, House 170, Gupta House, Civil Lines, Nagpur",11:30am – 11:30pm,+918668475312,4.8,239,4.5,756
Farzi Cafe,"Dharampeth, Nagpur","Bar Food, North Indian, Pizza, Biryani, Continental, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/nagpur/farzi-cafe-dharampeth/info,Nagpur,"236, 9th Floor, CT Road, Dharampeth, Nagpur",12noon – 11pm,"+918600777666,+917276853281,+918862074766",4.3,70,-,0
Tipsy Turk,"Sadar, Nagpur","Turkish, Middle Eastern, Mughlai, Pasta, North Indian, Pizza, Burger, Fast Food","₹1,200 for two",https://www.zomato.com/nagpur/tipsy-turk-sadar/info,Nagpur,"Buty Building, Mount Road, Sadar, Nagpur",12:30pm – 11:30pm,+918888883910,4.5,227,4.4,102
Bellavista Cafe & Skybar,"Civil Lines, Nagpur","North Indian, Chinese, Continental, Italian, Asian, Desserts","₹1,500 for two",https://www.zomato.com/nagpur/bellavista-cafe-skybar-civil-lines/info,Nagpur,"27, 6th Floor, Narang Tower, Palm Road, Civil Lines, Nagpur","12midnight – 1am, 12:30pm – 11:45pm",+919561888601,4.4,112,-,3
AB's - Absolute Barbecues,"Dharampeth, Nagpur","Biryani, BBQ, Kebab, North Indian, Desserts","₹1,550 for two",https://www.zomato.com/nagpur/abs-absolute-barbecues-dharampeth/info,Nagpur,"Survey 962, Street 15/24, West High Court Road, Dharampeth, Nagpur",12noon – 11pm,+917337383767,4.4,"2,082",3.7,"2,203"
TDS Restro Lounge,"Ramdaspeth, Nagpur","North Indian, Oriental, Continental, Italian, Mughlai, Salad, Biryani, Beverages","₹1,800 for two",https://www.zomato.com/nagpur/tds-restro-lounge-ramdaspeth/info,Nagpur,"5th Floor, Milestone Building, Near Ramdaspeth, Nagpur",1pm – 11pm,"+919225232323,+918600888777",4.9,980,4.1,"2,198"
Dabo Club And Kitchen,"Wardha Road, Nagpur","Asian, Italian, North Indian, Chinese, Bar Food","₹1,500 for two",https://www.zomato.com/nagpur/dabo-club-and-kitchen-wardha-road/info,Nagpur,"House 1913/B/1, Yogesham CHS, Wardha Road, Nagpur",5pm – 12midnight,+918884477702,4.5,84,4.0,39
Hitchki,"Chaoni, Nagpur","North Indian, Chinese, Salad, Fast Food, Beverages, Desserts","₹1,900 for two",https://www.zomato.com/nagpur/hitchki-chaoni/info,Nagpur,"Plot 2/1 & 11/2, 12th And Terrace Floor, Naniks Ashtavinayak Park Avenue, New Colony, Chaoni, Nagpur","12midnight – 12:45am, 11am – 12midnight",+918657983525,4.5,774,3.8,"1,378"
Raasta,"Dharampeth, Nagpur","North Indian, Chinese, Italian, Fast Food","₹1,500 for two",https://www.zomato.com/nagpur/raasta-dharampeth/info,Nagpur,"Plot 198, Block 2001- 2002, Tarrace Ved Solitiare, Extension, Shivaji Nagar, Dharampeth, Nagpur","12midnight – 12:30am, 12noon – 12midnight",+917742284228,3.7,81,3.8,8
Three Beans,"Dharampeth, Nagpur","Cafe, Coffee, American, Italian, Continental, Desserts, Beverages",₹550 for two,https://www.zomato.com/nagpur/three-beans-dharampeth/info,Nagpur,"Ground Floor, Janki Apartment, Amravati Road, Gorepeth, Dharampeth, Nagpur",8am – 12midnight,"+917126641707,+919009492345,+919009092345",4.2,959,4.0,"4,985"
Kalpataru - Hotel Hardeo,"Hotel Hardeo, Sitabuldi, Nagpur","North Indian, Mughlai, Biryani, Desserts","₹1,400 for two",https://www.zomato.com/nagpur/kalpataru-hotel-hardeo-sitabuldi/info,Nagpur,"Hotel Hardeo, 2nd Floor, Dr. Munje Marg, Sitabuldi, Nagpur",Opens tomorrow at 11am,"+917126684888,+918888854536",4.4,457,3.9,272
Dali - The Art Cafe,"Wardha Road, Nagpur","Pizza, Salad, Oriental, Coffee, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/nagpur/dali-the-art-cafe-1-wardha-road/info,Nagpur,"Shop 1, Enrico Heights, Jai Prakash Nagar, Wardha Road, Nagpur",12noon – 1:30am,+917066022446,4.5,826,4.1,609
Pablo - The Art Cafe' Lounge,"Civil Lines, Nagpur","Continental, Italian, North Indian, American, Bar Food","₹1,100 for two",https://www.zomato.com/nagpur/pablo-the-art-cafe-lounge-civil-lines/info,Nagpur,"240 A, Maharaja Lane, Near Ranikothi Civil Line, Civil Lines, Nagpur",11am – 1:30am,+919011022226,4.4,"1,591",4.4,346
Jaffer Bhai's Delhi Darbar,"Dhantoli, Nagpur","North Indian, Biryani, Seafood, Mughlai, Chinese, Rolls, Desserts, Beverages",₹900 for two,https://www.zomato.com/nagpur/jaffer-bhais-delhi-darbar-dhantoli/info,Nagpur,"45B, Great Nag Road, Opposite Imambada Police Station, Dhantoli, Nagpur","1pm – 4pm, 7pm – 12midnight",+919920684647,4.1,53,4.0,308
Corridor Seven Coffee Roasters,"Sitabuldi, Nagpur","Cafe, Coffee, Healthy Food, Fast Food, Desserts, Beverages",₹800 for two,https://www.zomato.com/nagpur/corridor-seven-coffee-roasters-sitabuldi/info,Nagpur,"86, Mahajan Market, Near Ketkar Hospital, Sitabuldi, Nagpur",3pm – 12midnight,+918600645295,4.9,597,4.3,"5,598"
Thirty Sixty,"Ayodhya Nagar, Nagpur","North Indian, Chinese, Pasta, Fast Food, Oriental, Beverages","₹1,000 for two",https://www.zomato.com/nagpur/thirty-sixty-ayodhya-nagar/info,Nagpur,"80, 1st Floor, Bhagyashree Building, Medical Square, Ragbag Road, Ayodhya Nagar, Nagpur",12noon – 11pm,+919607123060,4.1,90,4.0,14
Tales & Spirits Bistro,"Dharampeth, Nagpur",Rolls,₹650 for two,https://www.zomato.com/nagpur/tales-spirits-bistro-dharampeth/info,Nagpur,"1, Plot 29, Cement Road, Dharampeth, Nagpur",12noon – 11pm,+918999369514,3.0,18,4.2,40
Yamazaki Pan Asian Cuisine,"Bajaj Nagar, Nagpur","Asian, Japanese, Thai, Korean, Burmese","₹1,100 for two",https://www.zomato.com/nagpur/yamazaki-pan-asian-cuisine-bajaj-nagar/info,Nagpur,"Plot 257, BS 3, BS 4, Krishna Palace, WHC Road, Bajaj Nagar, Nagpur",11:30am – 11:30pm,+917249179888,4.6,226,4.3,"1,458"
High Steaks - Pool Side,"Ramdaspeth, Nagpur","Continental, North Indian, Chinese, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/nagpur/high-steaks-pool-side-ramdaspeth/info,Nagpur,"24, Central Bazar Road, Ramdaspeth, Nagpur",5pm – 1:30am,+919307300610,4.5,380,-,4
Uptown 501,"Dharampeth, Nagpur","North Indian, Chinese, Continental, Fast Food, Beverages","₹1,200 for two",https://www.zomato.com/nagpur/uptown-501-dharampeth/info,Nagpur,"501, Prime 9, Bhagwaghar Layout, Near Children Traffic Park, Dharampeth, Nagpur",12noon – 12midnight,+917758832501,4.5,255,4.3,91
Highland's Water Front,"Amravati Road, Nagpur","North Indian, Continental, Mughlai, Seafood, Chinese, Oriental","₹1,000 for two",https://www.zomato.com/nagpur/highlands-water-front-amravati-road/info,Nagpur,"Warddhamna, Amravati Road, Nagpur",7pm – 1:30am,+919423710000,4.3,419,-,0
Warehouse Cafe,"Hingna T Point, Nagpur","Cafe, Coffee, Sandwich, Chinese, Fast Food, Street Food, Pasta, Beverages",₹500 for two,https://www.zomato.com/nagpur/warehouse-cafe-hingna-t-point/info,Nagpur,"Plot 16, Mouza Takli Seen, Near FDCM Bhavan, Hingna T Point, Nagpur",24 Hours,+918090709061,-,1,-,1
Cyclone - Modern Dine In & Club,"Dharampeth, Nagpur","Continental, Chinese, North Indian, Fast Food, Bar Food, Desserts","₹1,200 for two",https://www.zomato.com/nagpur/cyclone-modern-dine-in-club-dharampeth/info,Nagpur,"Plot 198, 15th Floor, Ved Solitaire Building, Cement Road Dharampeth, Nagpur",4pm – 12midnight,"+919118919104,+919118919103",4.0,27,3.7,89
La Pasta Fresca Deli,"Pratap Nagar, Nagpur","Italian, Pasta, Pizza, Steak, Beverages, Continental, French","₹1,600 for two",https://www.zomato.com/nagpur/la-pasta-fresca-deli-pratap-nagar/info,Nagpur,"Plot 15, Mate Chowk, RPTS Road, Pratap Nagar, Nagpur",12noon – 11pm,"+917123514271,+918806255593",4.6,302,4.2,"2,441"
Barbeque Nation,"Sitabuldi, Nagpur","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,850 for two",https://www.zomato.com/nagpur/barbeque-nation-sitabuldi/info,Nagpur,"Unit K1, FC 6, 2nd Floor, Eternity Mall, Variety Chowk, Sitabuldi, Nagpur",11am – 11pm,"+918657991752,+918828432444",4.9,"1,807",3.6,"5,712"
The Latest Recipe - Le Meridien,"Le Meridien, Wardha Road, Nagpur","North Indian, Continental, Asian, Mughlai, Oriental, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/nagpur/the-latest-recipe-le-meridien-wardha-road/info,Nagpur,"Opposite Mihan Flyover, Wardha Road, Nagpur",10am – 12midnight,+917722037663,4.3,424,-,0
Garamshala,"Chaoni, Nagpur","Fast Food, Beverages",₹400 for two,https://www.zomato.com/nagpur/garamshala-chaoni/info,Nagpur,"Near Durga Mandir, SQR Karol Road, Chaoni, Nagpur",24 Hours,+917887595345,3.8,5,4.0,460
Golden Harvest - Airport Centre Point,"Wardha Road, Nagpur","North Indian, Continental, Mughlai, Chinese, Seafood, Desserts","₹1,500 for two",https://www.zomato.com/nagpur/golden-harvest-airport-centre-point-wardha-road/info,Nagpur,"131/1, Airport Centre Point, Near Airport, Wardha Road, Nagpur",7:30am – 12midnight,"+918805550379,+918605988900,+917122284049",4.4,237,4.1,12.2K
Tilt Kitchen & Bar,"Somalwada, Nagpur","North Indian, Mughlai, Biryani, Seafood, Chinese, Fast Food, Bar Food, Beverages","₹1,000 for two",https://www.zomato.com/nagpur/tilt-kitchen-bar-somalwada/info,Nagpur,"Plot 7A, Besa Road, Somalwada, Nagpur",11am – 12midnight,+919021129215,New,14,-,0
The Lalamama Brewing Company,"Somalwada, Nagpur","Bar Food, Continental","₹1,200 for two",https://www.zomato.com/nagpur/the-lalamama-brewing-company-somalwada/info,Nagpur,"Plot No 7, Wardha Road, New Manish Nagar, Ingole Nagar, Somalwada, Nagpur","12midnight – 12:30am, 12noon – 12midnight",+919168113732,4.9,84,4.1,634
Hungry Holiday,"Nandanvan, Nagpur","Pizza, Sandwich, Rolls, Fast Food, Street Food, North Indian, Waffle, Shake",₹450 for two,https://www.zomato.com/nagpur/hungry-holiday-nandanvan/info,Nagpur,"QTR 151, EWS, Hasanbag Road, Nandanvan, Nagpur",24 Hours,+917972437664,3.3,4,4.0,139
Kiana Restaurant,"Sadar, Nagpur","North Indian, Kebab, Chinese","₹1,000 for two",https://www.zomato.com/nagpur/kiana-restaurant-sadar/info,Nagpur,"8/8A, AD Complex, Mount Road Extension, Sadar, Nagpur",12noon – 11:30pm,+919834392140,4.4,123,4.1,555
La Spezia,"Hingna T Point, Nagpur","Pizza, Sandwich, Burger, Pasta, Continental, Shake, Coffee",₹500 for two,https://www.zomato.com/nagpur/la-spezia-hingna-t-point/info,Nagpur,"40, Good Luck Society, Hingna T Point, Nagpur","12midnight – 3am, 6pm – 12midnight","+917887888597,+917557555795",3.8,14,3.8,"1,939"
Rsvp Restrobar & Rooftop,"Hingna T Point, Nagpur","North Indian, Mughlai, Oriental, Continental, Italian, Fast Food, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/nagpur/rsvp-restrobar-rooftop-hingna-t-point/info,Nagpur,"Shubhlaxmi Apartments, Adphyapak Layout, Hingna T Point, Nagpur",2pm – 12midnight,"+918999925360,+919665257575",4.4,"1,140",3.8,366
Side Walk - Hotel Hardeo,"Hotel Hardeo, Sitabuldi, Nagpur","North Indian, Chinese, Continental, Fast Food, Desserts, Salad, Juices, Beverages","₹1,400 for two",https://www.zomato.com/nagpur/side-walk-hotel-hardeo-sitabuldi/info,Nagpur,"Hotel Hardeo, 2nd Floor, Sitabuldi, Nagpur",7am – 12midnight,+917126684888,4.6,97,3.2,126
The Nagpur Ashok,"Bajaj Nagar, Nagpur","North Indian, Chinese, Beverages, Desserts, Bar Food","₹1,600 for two",https://www.zomato.com/nagpur/the-nagpur-ashok-bajaj-nagar/info,Nagpur,"Aath Rasta Square, Laxminagar, WHC Road, Bajaj Nagar, Nagpur",12noon – 11:30pm,+918888870720,4.3,591,4.2,570
Asian Bistro,"Bajaj Nagar, Nagpur","Asian, Chinese, Sushi, Japanese, Beverages",₹800 for two,https://www.zomato.com/nagpur/asian-bistro-bajaj-nagar/info,Nagpur,"ST/01 & ST/05, Plot 69, Dharnidhar Palace, WHC Road, Bajaj Nagar, Nagpur",11:15am – 11pm,+919209016708,4.4,69,3.9,"1,212"
Burger Bar,"Bajaj Nagar, Nagpur","Burger, Fast Food, Beverages, Desserts",₹500 for two,https://www.zomato.com/nagpur/burger-bar-bajaj-nagar/info,Nagpur,"Vedant Peridot, Upper Ground Floor, Central Bazaar Road, Bajaj Nagar, Nagpur","12midnight – 3am, 12noon – 12midnight",+918208304890,3.9,206,4.2,"3,559"
Tattwam,"Ramdaspeth, Nagpur","North Indian, South Indian, Desserts, Beverages",₹900 for two,https://www.zomato.com/nagpur/tattwam-ramdaspeth/info,Nagpur,"Plot 272, Central Bazar Road, Near Manomay Plaza, Ramdaspeth, Nagpur",7am – 11pm,"+917122448244,+918080895171",4.2,495,3.9,"2,894"
Lush House,"Bajaj Nagar, Nagpur","Continental, Italian, Beverages, Desserts, Healthy Food, Shake, Coffee, Pizza",₹600 for two,https://www.zomato.com/nagpur/lush-house-bajaj-nagar/info,Nagpur,"Plot 75, Abhyankar Nagar, Main Road, Bajaj Nagar, Nagpur",12noon – 11pm,+917506411129,4.3,"2,466",3.7,"2,082"
Mocha,"Dharampeth, Nagpur","Continental, North Indian, Italian, Fast Food, Pizza, Pasta, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/nagpur/mocha-dharampeth/info,Nagpur,"202, Shivaji Nagar, Shankar Nagar, Near Cement Road, Dharampeth, Nagpur",10:30am – 12midnight,"+917126614637,+917719945920",4.1,965,3.8,"2,822"
