Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Aster,"Hotel Express Inn, Pathardi Phata, Nashik","North Indian, Chinese, Fast Food, Continental, Oriental, Beverages, Sichuan","₹3,500 for two",https://www.zomato.com/nashik/aster-pathardi-phata/info,Nashik,"Hotel Express Inn, Mumbai Agra Road Ambad, Pathardi Phata, Nashik",7am – 11:45pm,"+918805981744,+912536641111,+912532227777",4.2,309,-,0
The Five Elements,"Parijat Nagar, Nashik","North Indian, Chinese, Pizza, Fast Food",₹600 for two,https://www.zomato.com/nashik/the-five-elements-parijat-nagar/info,Nashik,"Lawate Nagar, Near City Center Mall, Parijat Nagar, Nashik",8:30am – 11pm,"+919168888411,+919168888499",3.7,197,4.0,578
Asian Wok And Grill,"Anand Wali Goan, Nashik","Asian, Chinese, Seafood, Tibetan, Thai, Korean, Desserts, Sichuan",₹850 for two,https://www.zomato.com/nashik/asian-wok-and-grill-anand-wali-goan/info,Nashik,"Shop 01, Rushiraj Riviera, B Wing, Ahead Of Jehan Circle, Gangapur Road, Anand Wali Goan, Nashik",11am – 11pm,"+917269899999,+917875397777,+918617817423",4.8,287,4.2,"1,693"
Barbeque Nation,"City Center, Parijat Nagar, Nashik","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,850 for two",https://www.zomato.com/nashik/barbeque-nation-parijat-nagar/info,Nashik,"MFS 1, 2, 3, 4, 2nd Floor, City Center Mall, Untwadi Road, Parijat Nagar, Nashik",11am – 11pm,"+918828432446,+919152027747,+918657547978",4.6,935,3.7,"1,944"
Strato - Courtyard By Marriott,"Courtyard by Marriott Mumbai Naka, Nashik","North Indian, Bar Food, Kebab, Continental, Rolls, Pizza","₹2,000 for two",https://www.zomato.com/nashik/strato-courtyard-by-marriott-mumbai-naka/info,Nashik,"8th Level, Courtyard by Marriott Nashik, Mumbai Agra National Highway, Mumbai Naka, Nashik",5pm – 11:30pm,"+918263919119,+919145555851",4.4,162,-,0
Grill Master,"College Road, Nashik","Fast Food, Sandwich, Pizza, Beverages, Shake",₹400 for two,https://www.zomato.com/nashik/grill-master-1-college-road/info,Nashik,"Shop 1, Martand Complex, Opposite Vitthal Mandir, College Road, Nashik",24 Hours,+918484044582,4.0,82,4.1,"1,652"
Barrel Tap Brewery,"Hotel Express Inn, Pathardi Phata, Nashik","North Indian, Chinese, Sandwich, Fast Food, Biryani, Kebab, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/nashik/barrel-tap-brewery-pathardi-phata/info,Nashik,"Hotel Express Inn, Agra National Highway, Pathardi Phata, Nashik",12:30pm – 11pm,"+918888830496,+918805270909,+918805017026",4.5,53,-,0
Italian Ecstasy,"College Road, Nashik","Italian, Pasta",₹300 for two,https://www.zomato.com/italian-embassy-food-truck/info,Nashik,"Shop 1, Rushiraj Enclave, D'souza Colony, Opposite Liquor Embassy, College Road, Nashik",Opens tomorrow at 11am,"+917972355203,+918793237087,+918446883090",4.2,30,4.2,"1,600"
HOG - Courtyard by Marriott,"Courtyard by Marriott Mumbai Naka, Nashik","North Indian, Modern Indian, Continental, Italian, Asian","₹1,200 for two",https://www.zomato.com/nashik/hog-courtyard-by-marriott-mumbai-naka/info,Nashik,"Survey 514/A/12/1 - 19/1, Plot 1, 2, 5, 9, Mumbai Agra Highway, Mumbai Naka, Nashik","12midnight – 5am, 11am – 12midnight","+919145555851,+918263919119",4.4,432,3.8,884
Le-Bistro By Radisson Blu Hotel & Spa Nashik,"Radisson Pathardi Phata, Nashik","Desserts, Fast Food","₹1,000 for two",https://www.zomato.com/nashik/le-bistro-by-radisson-blu-hotel-spa-nashik-pathardi-phata/info,Nashik,"Radisson Blu Hotel & Spa, 289/2, Near Ekta Green Ville, Pathardi Phata, Nashik",Opens tomorrow at 10am,+918956476894,3.9,9,4.0,141
