Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Afraa,"Lodipur, Patna","Bengali, Continental, North Indian, Chinese, Asian, Biryani, Pizza, Desserts","₹1,500 for two",https://www.zomato.com/patna/afraa-lodipur/info,Patna,"Unit B 0205, 2nd Floor, Block-B, City Centre, Budhmarg, Lodipur, Patna",Opens at 12noon,"+916292310680,+919148549959",4.4,342,4.2,294
Loafer's Café,"Lodipur, Patna","Cafe, Coffee, Tea, Shake, Beverages, Bakery, Fast Food, Pizza",₹700 for two,https://www.zomato.com/patna/loafers-café-1-lodipur/info,Patna,"CCPT F0001, Lower Ground Floor, Block-F, City Centre, Budhmarg, Lodipur, Patna",11am – 10pm,+917739860633,4.2,50,4.2,103
The Downtown Cafe,"Kankarbagh, Patna","North Indian, Biryani, Chinese, Continental, Cafe","₹1,000 for two",https://www.zomato.com/patna/the-downtown-cafe-kankarbagh/info,Patna,"CC/25, P.C Colony, Lohiya Nagar, Near Patliputra Sports Complex, Near Gyatri Mandir, Kankarbagh, Patna",11am – 12midnight,+91 8068976141,4.4,536,3.8,12.5K
The Pacifique - Café & Lounge,"Kankarbagh, Patna","Chinese, North Indian, Continental, Pizza, Desserts, Burger, Rolls, Sandwich","₹1,400 for two",https://www.zomato.com/patna/the-pacifique-café-lounge-kankarbagh/info,Patna,"CA 58, Housing Board Colony, East Indira Nagar, P. C. Colony Road, Kankarbagh, Patna",Opens at 1pm,+919102995276,4.3,46,4.0,256
Golden Flavour,"Sri Krishnapuri, Patna","North Indian, Chinese, Italian, Biryani, Mughlai, Desserts","₹1,200 for two",https://www.zomato.com/patna/golden-flavour-sri-krishnapuri/info,Patna,"1st Floor, Orchid Mall, Boaring Patliputra Road, Sri Krishnapuri, Patna",11am – 11pm,+916299924251,4.1,110,3.9,"2,429"
The Farmhouse Cafe,"Kankarbagh, Patna","North Indian, Chinese, Fast Food, Sandwich, Pizza","₹1,000 for two",https://www.zomato.com/patna/the-farmhouse-cafe-kankarbagh/info,Patna,"A-184, PC Colony, Kankarbagh, Patna",Opens at 12noon,+919117000094,4.0,129,3.9,83
The Capetown Cafe,"Patliputra Colony, Patna","Cafe, Chinese, Modern Indian, Italian, Beverages",₹800 for two,https://www.zomato.com/patna/the-capetown-cafe-patliputra-colony/info,Patna,"Second Floor, Sumitra Palace, Mahesh Nagar, Patliputra Colony, Patna",Opens at 11:15am,+919065663666,4.6,112,4.0,"1,038"
Karim's,"Khajpura, Patna","North Indian, Mughlai","₹1,000 for two",https://www.zomato.com/patna/karims-khajpura/info,Patna,"Sumitra Arcade, Mauza Road, Khajpura, Patna",Opens at 2pm,+919958435219,3.9,52,4.0,"4,096"
Pista House,"Fraser Road Area, Patna","North Indian, Chinese","₹1,400 for two",https://www.zomato.com/patna/pista-house-fraser-road-area/info,Patna,"Ashraf Building, Fraser Road Area, Patna",Opens at 12noon,+919570003101,2.9,30,4.2,651
Pirates Of Grill,"Lodipur, Patna","North Indian, Salad, Oriental, Desserts","₹1,000 for two",https://www.zomato.com/patna/pirates-of-grill-lodipur/info,Patna,"5th Floor, J D Mall, S P Verma Road, Lodipur, Patna",Opens at 12noon,+917303925791,New,103,-,0
