Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Orange Restaurant,"Lawspet, Puducherry","Chinese, North Indian, Biryani, Shake, Continental, Desserts, Seafood, Mughlai",₹700 for two,https://www.zomato.com/puducherry/orange-restaurant-lawspet/info,Puducherry,"14, ECR Main Road, Lawspet, Puducherry",10am – 11:30pm,"+914132257002,+918825252525",4.4,"1,615",4.2,"1,568"
Escape In,"White Town, Puducherry","North Indian, Continental, Chinese, Seafood, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/puducherry/escape-in-white-town/info,Puducherry,"52/A, First Floor, Goubert Avenue, Beach Road, White Town, Puducherry","12:30pm – 4:30pm, 6:30pm – 10:30pm",+919443355062,4.1,"1,029",4.1,781
Flaming Dragons,"White Town, Puducherry","Asian, Chinese, Thai, Japanese, Desserts, Beverages, Finger Food","₹1,200 for two",https://www.zomato.com/puducherry/flaming-dragons-1-white-town/info,Puducherry,"7, Labourdonnais Street, White Town, Puducherry",11am – 2am,+918939798002,4.5,"1,127",-,0
Bread & Chocolate,"White Town, Puducherry","Coffee, Fast Food, Sandwich, Continental, Tea, Beverages",₹750 for two,https://www.zomato.com/puducherry/bread-chocolate-white-town/info,Puducherry,"6, Rue De La Marine, White Town, Puducherry",11am – 9pm,+918940058500,3.6,60,4.0,19
Catamaran Brewing,"Heritage Town, Puducherry","Continental, North Indian, Asian, Pasta, French, Seafood, South Indian, Beverages","₹1,200 for two",https://www.zomato.com/puducherry/catamaran-brewing-heritage-town/info,Puducherry,"35, 3rd Floor, Heritage Town, Puducherry",11:30am – 10pm,"+916385596777,+919080876703,+919003889203",4.3,31,4.0,27
Bay Bistro - Radisson Resort,"Radisson Resort - Puducherry Mudaliarpet, Puducherry","South Indian, Italian, Continental, Desserts, Beverages","₹3,000 for two",https://www.zomato.com/puducherry/bay-bistro-radisson-resort-mudaliarpet/info,Puducherry,"Survey 198 / 1, 198 / 2, Manavely Revenue Village, Maraimalai Adigal Street, Chinnaveeram Pattinam, Mudaliarpet, Puducherry",7am – 11pm,"+919150078171,+919150078172",3.9,7,-,0
The Pasta Bar Veneto,"MG Road, Puducherry","Healthy Food, Continental, Italian, Sandwich, Salad, Shake",₹900 for two,https://www.zomato.com/puducherry/the-pasta-bar-veneto-mg-road/info,Puducherry,"248, Mission Street, MG Road, Puducherry",8:30am – 11pm,"+919176720116,+914134200463,+918939807849",4.0,786,4.3,429
Le Petit Four,"White Town, Puducherry","Bakery, Sandwich",₹400 for two,https://www.zomato.com/puducherry/le-petit-four-white-town/info,Puducherry,"2, La Bourdonnais Street, White Town, Puducherry",7am – 11pm,+916379179469,3.7,67,-,0
Toast Club & Kitchen,"MG Road, Puducherry","Italian, Chinese, Asian, Fast Food, Pizza, Seafood, Beverages","₹1,000 for two",https://www.zomato.com/puducherry/toast-club-kitchen-mg-road/info,Puducherry,"168, Bussy Street, MG Road Area, MG Road, Puducherry",11am – 10pm,+919952503666,3.8,8,-,0
Sola Bistro & Bar,"White Town, Puducherry","Pizza, European, Asian, Thai, Chinese, Desserts","₹1,800 for two",https://www.zomato.com/puducherry/sola-bistro-bar-white-town/info,Puducherry,"53, Suffren Street, White Town, Puducherry",11am – 11pm,+918939599297,4.0,21,-,0
