Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Mutuswami,"Shivaji Nagar, Pune","South Indian, Maharashtrian, Pizza, Sandwich, Desserts, Beverages, Coffee, Juices",₹300 for two,https://www.zomato.com/pune/mutuswami-shivaji-nagar/info,Pune,"3, Plot 587, Ramee Grand Hotel and Spa, Apte Road, Shivaji Nagar, Pune",7am – 12midnight,+918308817605,3.1,107,4.0,32
Mahesh Lunch Home,"Camp Area, Pune","North Indian, Mughlai, Street Food, Seafood, Beverages","₹1,200 for two",https://www.zomato.com/pune/mahesh-lunch-home-camp-area/info,Pune,"Shop 18, Ashoka Pavillion, Ambedkar Road, Near Lal Deval, Camp Area, Pune","11:30am – 4pm, 6:30pm – 11:30pm","+919766487996,+919561446029,+919763577804",4.2,795,4.0,828
Portico B4M Restaurant & Bar,"JM Road, Pune","North Indian, Italian, Chinese, Continental, Burger, Bar Food","₹1,500 for two",https://www.zomato.com/pune/portico-b4m-restaurant-bar-jm-road/info,Pune,"573/1, Jangali Maharaj Roadd, Shivajinagar, JM Road, Pune",12noon – 11:30pm,"+919049321010,+919049371010",4.4,30,New,3
Yakii,"Deccan Gymkhana, Pune","Asian, Thai, Sushi, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/pune/yakii-deccan-gymkhana/info,Pune,"1251/1/2, Shivaji Nagar, Deccan Gymkhana, Pune",12:30pm – 11pm,+919146198800,4.3,226,3.8,14
Culture Pune,"FC Road, Pune","Bar Food, Salad, Continental, Italian, Pasta, Fast Food, Beverages","₹1,800 for two",https://www.zomato.com/pune/culture-pune-fc-road/info,Pune,"1195/6A, Shivaji Nagar, Ghole Road, FC Road, Pune",12:30pm – 11:30pm,+919067016701,4.2,"4,593",4.4,304
LYNX Kitchen & Bar,"FC Road, Pune","Asian, Continental, Middle Eastern, Sushi, Desserts","₹1,400 for two",https://www.zomato.com/pune/lynx-kitchen-bar-1-fc-road/info,Pune,"Shop 01 & 02, 927, Ghole Road, FC Road, Pune",12noon – 11:45pm,+918605105539,4.5,251,4.0,6
Funny Cat Pune,"FC Road, Pune","Bar Food, Italian, Asian, Continental, Desserts, Beverages, Fast Food, Burger","₹1,500 for two",https://www.zomato.com/pune/funny-cat-pune-fc-road/info,Pune,"Plot 587, 1st Floor, CST, Ramee Grand Hotel, Apte Rd, Shivaji Nagar, Pune",12noon – 1:30am,"+918828848056,+918828866082",3.6,15,-,0
World Of Veg,"Shivaji Nagar, Pune","North Indian, Oriental, Italian, Continental, Chinese, Salad, Fast Food, Beverages","₹1,800 for two",https://www.zomato.com/pune/world-of-veg-shivaji-nagar/info,Pune,"7th Floor, Ramsukh House, Ganeshkhind Road, Shivaji Nagar, Pune",12:30pm – 10:45pm,"+912025520228,+912025520229,+919075003104",4.0,"1,414",4.3,38
Dhaba - Estd 1986 Delhi,"The Pavillion, Senapati Bapat Road, Pune","North Indian, Biryani, Mughlai, Paan, Desserts","₹2,500 for two",https://www.zomato.com/pune/dhaba-estd-1986-delhi-senapati-bapat-road/info,Pune,"Shop 16, 2nd Floor, The Pavallion Mall, Senapati Bapat Road, Pune",12noon – 11:30pm,"+919607917207,+919607917206",4.3,"2,465",4.2,"1,419"
Mamagoto,"The Pavillion, Senapati Bapat Road, Pune","Asian, Sushi, Japanese, Thai, Salad, Desserts, Chinese","₹1,200 for two",https://www.zomato.com/pune/mamagoto-senapati-bapat-road/info,Pune,"2nd Floor, The Pavillion, Senapati Bapat Road, Pune",12noon – 11pm,"+919607917210,+919607917208",4.5,"1,789",4.1,"1,088"
Feast - Sheraton Grand,"Sheraton Grand, Bund Garden Road, Pune","Chinese, North Indian, Mughlai, Asian, Continental, Salad, Italian, Desserts","₹4,000 for two",https://www.zomato.com/pune/feast-sheraton-grand-bund-garden/info,Pune,"100/101, Sheraton Grand, Raja Bahadur Mill Road, Bund Garden Road, Pune",24 Hours,"+919635323100,+912066411111,+919130006880",4.3,"1,070",4.3,70
