Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Suvena,"Civil Lines, Raipur","Italian, Salad","₹1,300 for two",https://www.zomato.com/raipur/suvena-civil-lines/info,Raipur,"Motibag Mazar Chowk, Ward 46, Civil Lines, Raipur",12:45pm – 10:30pm,+917415655388,3.8,5,4.0,50
Godwit,"Magneto Mall, Shankar Nagar, Raipur","Cafe, Continental, North Indian, Asian, Shake, Beverages, Sichuan, Fast Food",₹750 for two,https://www.zomato.com/raipur/godwit-shankar-nagar/info,Raipur,"Near Magneto The Mall, Labhandi, Shankar Nagar, Raipur",12noon – 12midnight,+919294610000,4.2,136,4.1,916
Ashoka Biryani,"Amanaka, Raipur","North Indian, Chinese, Mughlai, Fast Food, Biryani, Desserts, Beverages",₹800 for two,https://www.zomato.com/raipur/ashoka-biryani-1-amanaka/info,Raipur,"Mohba Bazar, Dharsiwa, Near R K Mall, Amanaka, Raipur",8am – 11:30pm,+917714919902,4.3,702,3.8,46.1K
Raju Dhaba Since 1968,"Samta Colony, Raipur","North Indian, Kebab, Mughlai, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/raipur/raju-dhaba-since-1968-samta-colony/info,Raipur,"Plot 4/9, Block 27, Chhattisgarh Hero, Near RKC, GE Road, Samta Colony, Raipur","12midnight – 1am, 11am – 12midnight","+918319596030,+918240659454",4.1,181,3.8,"5,114"
Bird Of Paradise By Gaurav Garden,"Mahaveer Nagar, Raipur","North Indian, European, Asian, Chinese, Italian, Desserts","₹1,400 for two",https://www.zomato.com/raipur/bird-of-paradise-by-gaurav-garden-mahaveer-nagar/info,Raipur,"VIP Road, CG Dharsiwa, Mahaveer Nagar, Raipur",Opens at 4pm,+918878160000,3.9,10,3.9,119
Al Nawaz Cooker Biryani,"Bhatagaon, Raipur","Biryani, North Indian",₹350 for two,https://www.zomato.com/raipur/al-nawaz-cooker-biryani-1-bhatagaon/info,Raipur,"Ward 65, Bus Stand Road, Bhatagaon, Raipur",11:45am – 11:45pm,+917999869273,3.6,14,4.0,21
More Over Coffee,"Civil Lines, Raipur","Cafe, Coffee, Beverages, Fast Food, Desserts, Mexican, Chinese, Italian",₹500 for two,https://www.zomato.com/raipur/more-over-coffee-civil-lines/info,Raipur,"48/6/2, Byron Bazar, Main Road, Opposite Neer bhawan, Civil Lines, Raipur",11am – 11:30pm,+917737283668,3.7,5,3.9,700
Grains The Restaurant-VIP's Club,"Shankar Nagar, Raipur","North Indian, Mughlai, Chinese, Desserts, Beverages",₹800 for two,https://www.zomato.com/raipur/grains-the-restaurant-vips-club-shankar-nagar/info,Raipur,"VIP Club, VIP Estate, Khamardih, Shankar Nagar, Raipur",11am – 12midnight,+918435040000,4.5,63,4.0,"1,064"
KFC,"Magneto Mall, Shankar Nagar, Raipur","Burger, Fast Food, Biryani, Desserts, Beverages",₹400 for two,https://www.zomato.com/raipur/kfc-purena/info,Raipur,"Shop 34, Ground Floor, Magnato Mall, Dharsiwa, Purena, Raipur",11am – 11pm,+917714075310,4.2,968,3.9,25.9K
Sangria,"Shankar Nagar, Raipur",North Indian,"₹1,500 for two",https://www.zomato.com/raipur/sangria-shankar-nagar/info,Raipur,"9th Floor, A Wing, Babylon Tower, Shankar Nagar, Raipur",Opens at 5pm,+917880033440,2.7,8,-,0
