Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Seasons Restaurant,"Lalpur, Ranchi","North Indian, Chinese, Fast Food, Biryani, Rolls, Pizza, Mughlai, Shake",₹800 for two,https://www.zomato.com/ranchi/seasons-restaurant-lalpur/info,Ranchi,"Shop 04, Ground Floor, Sri Ram Neotia Arcade, Lalpur, Ranchi",11am – 10:30pm,"+919334199954,+919835195168",3.9,858,3.9,42.6K
AB's - Absolute Barbecues,"Hindpiri, Ranchi","Biryani, BBQ, Kebab, North Indian, Desserts","₹1,700 for two",https://www.zomato.com/ranchi/abs-absolute-barbecues-hindpiri/info,Ranchi,"Plot 1789, Ground Floor, Hindpiri Post Office, Hindpiri Village, Main Road, Near Sujata Cinema Building, Hindpiri, Ranchi",11am – 11pm,+917337383770,4.5,352,3.7,793
Madeera Family Restaurant,"Ashok Nagar, Ranchi","North Indian, Continental, Biryani, Chinese, Seafood, Fast Food, Desserts, Beverages","₹2,200 for two",https://www.zomato.com/ranchi/madeera-family-restaurant-ashok-nagar/info,Ranchi,"Shivdayal Nagar, Harmu Road, Argora, Ashok Nagar, Ranchi",12noon – 11:30pm,+919523361116,4.2,35,4.3,51
Soros,"Kadru, Ranchi","North Indian, BBQ, Chinese, Continental, Sushi, Desserts","₹1,200 for two",https://www.zomato.com/ranchi/soros-kadru/info,Ranchi,"Skyline Tower, Kadru Main Road, Kadru, Ranchi",1pm – 11pm,"+917485888882,+917485888883,+917485888886",3.4,51,4.1,38
Jackson Diner By Moti Mahal Of India,"Ahirtoli, Ranchi","North Indian, Mughlai, Biryani, Chinese, Italian, Seafood, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/ranchi/jackson-diner-by-moti-mahal-of-india-ahirtoli/info,Ranchi,"Plaza Chowk, Hazaribagh Road, Ahirtoli, Ranchi",12noon – 10:45pm,"+917762914555,+917762914657",New,26,4.0,20
WOW! Momo,"Upper Bazar, Ranchi","Momos, Fast Food, Chinese, Tibetan, Sichuan, Desserts, Beverages",₹300 for two,https://www.zomato.com/ranchi/wow-momo-upper-bazar/info,Ranchi,"Mall of Ranchi, Ratu Road, Upper Bazar, Ranchi",10am – 10pm,"+919147331610,+919836198361",3.7,23,4.0,520
The Ruin House,"Morabadi, Ranchi","North Indian, Chinese, Mughlai, Desserts","₹1,000 for two",https://www.zomato.com/ranchi/the-ruin-house-2-morabadi/info,Ranchi,"Football Ground, Morabadi, Ranchi",12noon – 11:30pm,"+919973980273,+919304232352",3.4,119,4.1,423
Lazeez Affaire,"Upper Bazar, Ranchi","Bar Food, North Indian","₹1,000 for two",https://www.zomato.com/ranchi/lazeez-affaire-upper-bazar/info,Ranchi,"3rd Floor, Mall Of Ranchi, Ratu Road, Upper Bazar, Ranchi",12noon – 11pm,+918894388963,3.9,4,-,0
WOW! China,"Upper Bazar, Ranchi","Chinese, Oriental, Asian, Sichuan, Seafood, Momos",₹300 for two,https://www.zomato.com/ranchi/wow-china-upper-bazar/info,Ranchi,"Mall Of Ranchi, Ratu Road, Upper Bazar, Ranchi",10am – 10pm,"+919147331610,+919836198361",3.7,20,3.8,345
Flaves,"Dhurwa, Ranchi","North Indian, South Indian, Chinese, Fast Food, Ice Cream, Desserts, Beverages, Shake",₹500 for two,https://www.zomato.com/ranchi/flaves-4-dhurwa/info,Ranchi,"1, Sector 2 Market, H.E.C Colony, Near Vidhan Sabha, Dhurwa, Ranchi",11am – 10pm,"+919693333337,+916202992570",4.2,477,4.1,17.9K
