Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Cafe 1873,"Longwood, Shimla","North Indian, South Indian",₹600 for two,https://www.zomato.com/shimla/cafe-1873-1-longwood/info,Shimla,"67-69, Mall Road, Longwood, Shimla",11am – 10pm,+917018200919,3.1,11,-,0
One Bite,"Sanjauli, Shimla","Pizza, Wraps, Pasta, Sandwich, Burger, Waffle",₹300 for two,https://www.zomato.com/shimla/one-bite-sanjauli/info,Shimla,"1st Floor, Kairon Complex, Near Public Choice, Sanjauli, Shimla",10:45am – 10:45pm,+917812050001,3.9,31,4.1,191
The Corner Cafe,"Sanjauli, Shimla","North Indian, Chinese, Italian, Continental, Mughlai, Biryani, Desserts, Beverages",₹800 for two,https://www.zomato.com/shimla/the-corner-cafe-1-sanjauli/info,Shimla,"Engine Ghar Road, Opposite Sanjauli Parking, Sanjauli, Shimla",12noon – 10:30pm,"+917018234001,+918091202200",4.2,24,3.9,185
Hide Out Cafe,"Summer Hill, Shimla","Cafe, North Indian, Chinese, Fast Food, Pizza, Sandwich, Desserts, Beverages",₹700 for two,https://www.zomato.com/shimla/hide-out-cafe-summer-hill/info,Shimla,"Mall Road, Near Police Station, Summer Hill, Shimla",9am – 10pm,+911772653100,4.9,165,-,0
The Restaurant - The Oberoi Cecil,"The Oberoi Cecil - Shimla Summer Hill, Shimla","North Indian, Continental, Desserts","₹2,200 for two",https://www.zomato.com/shimla/the-restaurant-the-oberoi-cecil-summer-hill/info,Shimla,"The Oberoi Cecil, Nabha, State Museum Road, Summer Hill, Shimla",Opens at 7:30pm,+911772804848,4.1,25,-,0
Himachali Rasoi,"Longwood, Shimla",Himachali,₹500 for two,https://www.zomato.com/shimla/himachali-rasoi-longwood/info,Shimla,"54, Middle Bazar, The Mall, Longwood, Shimla",12:30pm – 9pm,+911772652386,4.7,86,4.0,13
Xero Degrees,"Longwood, Shimla","Cafe, Mexican, Pizza, Sandwich, Pasta, Fast Food, Waffle, Beverages",₹750 for two,https://www.zomato.com/shimla/xero-degrees-longwood/info,Shimla,"33, Mall Road, Longwood, Shimla",10am – 11pm,+917658883341,-,3,4.0,144
Pyramid MicroBrewery,"Longwood, Shimla","Cafe, Bar Food",₹750 for two,https://www.zomato.com/shimla/pyramid-microbrewery-longwood/info,Shimla,"Bridge View Recency, The Mall Road, Longwood, Shimla",11am – 10:30pm,+919318523456,3.9,5,4.2,717
Amayaa,"Longwood, Shimla","Chinese, Salad, North Indian, Continental, Italian, Asian, Beverages, Desserts","₹1,400 for two",https://www.zomato.com/shimla/amayaa-longwood/info,Shimla,"Ground Floor, Albion House, The Mall, Longwood, Shimla",1pm – 10:45pm,+919816059910,4.3,16,4.1,48
HPTDC Goofa Ashiana Bar and Restaurant,"Longwood, Shimla","North Indian, Beverages, Mughlai, Fast Food","₹1,000 for two",https://www.zomato.com/shimla/hptdc-goofa-ashiana-bar-and-restaurant-longwood/info,Shimla,"Ridge, The Mall, Longwood, Shimla",8am – 8pm,+911772658464,4.1,69,-,0
