Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
The Bungalow Cafe,"Adajan Gam, Surat","Cafe, Beverages, Pizza",₹800 for two,https://www.zomato.com/surat/the-bungalow-cafe-adajan-gam/info,Surat,"Shop 102, Velentina Business Hub, LP Sawani Road, Near Shell Petrol Pump, Adajan Gam, Surat","12:15am – 2:30am, 11am – 11pm, 11:15pm – 12midnight",+917878757233,3.3,42,4.0,208
Pavilion,"Vesu, Surat","North Indian, Continental, Mexican, Italian","₹1,000 for two",https://www.zomato.com/surat/pavilion-vesu/info,Surat,"Beside C.B. Health Club, Varachha Road, Vesu, Surat",12noon – 11:30pm,"+917435888003,+917435888004",4.4,778,4.1,392
Spice Villa,"Iscon Mall, Piplod, Surat","North Indian, Continental, Chinese","₹1,200 for two",https://www.zomato.com/surat/spice-villa-piplod/info,Surat,"Iscon Mall, Piplod, Surat","12noon – 3pm, 6pm – 12midnight","+917435888000,+917435888001",4.3,"1,115",4.0,961
Leonardo Italian Mediterranean Dining,"Piplod, Surat","Italian, Mexican, Fast Food, Mediterranean, Desserts","₹1,400 for two",https://www.zomato.com/surat/leonardo-italian-mediterranean-dining-piplod/info,Surat,"Third Floor, Dumas Road, Near Iscon Mall, Piplod, Surat",12noon – 11:30pm,"+917435888008,+917435888009",4.3,675,3.9,"1,116"
Coffee King Vesu,"Vesu, Surat","Cafe, Beverages, Desserts, Italian, Finger Food, Fast Food",₹800 for two,https://www.zomato.com/surat/coffee-king-vesu-2-vesu/info,Surat,"1, Upper Ground Floor, Shubh Universal, Opposite Vijay Laxmi Hall, Vesu, Surat",11am – 11pm,"+917405034410,+91917043897076",4.3,"1,571",3.6,"2,964"
Masala Mania,"Vesu, Surat","North Indian, Chinese, Continental, Fast Food, Pizza, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/surat/masala-mania-vesu/info,Surat,"E 302, 3rd Floor, Aagam Vivianna, Opposite Florence Residency, Main Road, Vesu, Surat",Opens at 2pm,+919033557449,3.1,97,3.4,31
Table 101 - Surat Marriott Hotel,"City Light, Surat",Continental,"₹3,000 for two",https://www.zomato.com/surat/table-101-surat-marriott-hotel-city-light/info,Surat,"Ambika Niketan, Athwa Lines, City Light, Surat",Opens at 12:30pm,"+912617117000,+919304672816",4.5,111,3.6,197
Spice Petals,"Vesu, Surat","North Indian, Chinese, Continental, Desserts, Beverages, Mughlai, Fast Food","₹1,100 for two",https://www.zomato.com/surat/spice-petals-vesu/info,Surat,"Shop 102-104, 1st Floor, Near SNS Square, Vesu, Surat","11am – 3pm, 7pm – 11pm",+919662020001,4.7,235,3.8,192
Zest House,"Athwa, Surat","North Indian, Continental, Fast Food, Beverages","₹1,500 for two",https://www.zomato.com/surat/zest-house-athwa/info,Surat,"13 A C S 308/1, TP-5, FP- 103, Paiki, 5th Floor, Sahil Avenue, Ghod Dod Road, Opposite Parle Point, Athwa, Surat","12midnight – 2am, 11:30am – 11:45pm",+919904789000,3.9,160,3.7,206
East Asia,"Vesu, Surat","Asian, Pizza, Pasta, Fast Food, Desserts, Beverages, Shake, Coffee",₹900 for two,https://www.zomato.com/surat/east-asia-vesu/info,Surat,"Shop 65/68, VIP Road, Near VIP Plaza, Vesu, Surat","12midnight – 2am, 11:30am – 12midnight",+919998896294,4.3,135,3.8,418
Spice Petals,"Pal Gam, Surat","North Indian, Mexican, Oriental, Chinese, Pizza, Desserts, Shake, Beverages","₹1,500 for two",https://www.zomato.com/surat/spice-petals-pal-gam/info,Surat,"Gaurav Path Road, Pal Gam, Surat",10am – 11pm,+918238510000,3.5,20,-,0
Coffee King,"Adajan Gam, Surat","Cafe, Beverages, Desserts, Italian, Finger Food, Fast Food",₹800 for two,https://www.zomato.com/coffeeking/info,Surat,"Ground Floor, Abhinandan Heights, Near Madhuvan Crcle, Adajan Gam, Surat",11am – 11pm,"+917405021433,+9118008902544",4.5,"1,433",4.1,"3,772"
Mykonos,"Vesu, Surat","Cafe, Coffee, Oriental, Italian, North Indian, Chinese, Desserts, Shake","₹1,200 for two",https://www.zomato.com/surat/mykonos-vesu/info,Surat,"Fionaa Apartment, Siddhi Vinayak Temple, Vesu, Surat",11am – 12midnight,+919875160470,4.1,160,-,0
Nini's Kitchen,"Piplod, Surat","North Indian, Italian, Continental, Lebanese, Fast Food, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/surat/ninis-kitchen-piplod/info,Surat,"Shop 1-2-3, Treat Food Mall, Near River Palace, Piplod, Surat",12noon – 8pm,"+919925596666,+91912614805455",4.5,267,3.8,"1,099"
It's Mirchi,"Adajan Gam, Surat","North Indian, Chinese, Fast Food, Pizza, Pasta, Salad, Desserts, Beverages","₹1,350 for two",https://www.zomato.com/surat/its-mirchi-adajan-gam/info,Surat,"B/1001, Vivanta Icon, LP Sawani Road, Adajan Gam, Surat",12noon – 10:45pm,+917486001612,4.0,50,4.0,7
7 Colours,"Pal Gam, Surat","North Indian, South Indian, Chinese, Continental, Fast Food, Desserts, Beverages",₹900 for two,https://www.zomato.com/surat/7-colours-pal-gam/info,Surat,"578, 579, 580/1 To 4, Near Baghban Circle, Gauravpath, Pal Gam, Surat","8am – 11am, 11:30am – 3:30pm, 6pm – 11pm",+919594859267,3.9,89,-,3
Cafe Beats Arena,"Piplod, Surat","Cafe, Coffee, Chinese, Continental, Fast Food, Street Food, Desserts, Beverages",₹800 for two,https://www.zomato.com/surat/cafe-beats-arena-piplod/info,Surat,"Plot 31-33, Bharat Cooperative Housing Society, Valentine Cinevision, Piplod, Surat",11am – 10pm,+917874565651,3.8,76,3.8,65
Urban Punjab,"Vesu, Surat","North Indian, Chinese, Rolls, Fast Food, Desserts, Beverages, Sichuan",₹700 for two,https://www.zomato.com/surat/urban-punjab-vesu/info,Surat,"G 1-2, Times Corner, Near Ambrosia Business Hub, Vesu, Surat",12noon – 12midnight,+917567564848,4.3,86,3.6,"2,292"
Thalaivaa,"City Light, Surat","South Indian, Desserts, Beverages",₹600 for two,https://www.zomato.com/surat/thalaivaa-1-city-light/info,Surat,"Shop 7, 8, 21, Lower Ground Floor, Meghmayar Plaza, Near Surat Municipal Corporation, City Light, Surat",9am – 11pm,+919824369222,4.6,"1,036",4.4,"5,165"
Thyme & Whisk,"Piplod, Surat","Cafe, Coffee, North Indian, Asian, Pizza, Continental, Desserts, Shake","₹1,900 for two",https://www.zomato.com/surat/thyme-whisk-piplod/info,Surat,"68/3, Shop A/B, 1st Floor, Ground Floor, Iscon Mall, Dumas Road, Piplod, Surat",12noon – 12midnight,+918154899998,4.0,24,3.7,21
Taste Of Bhagwati (TOB),"New Textile Market, Surat","North Indian, Chinese, Oriental, Italian, Fast Food, Desserts, Shake, Beverages","₹1,000 for two",https://www.zomato.com/surat/taste-of-bhagwati-tob-new-textile-market/info,Surat,"Sakaar Textile House, Near Jash Market, Ring Road, New Textile Market, Surat",11am – 11pm,"+919512028003,+912612333333",4.0,354,3.7,"3,415"
Unvind Cafe - Best Place To Unwind,"City Light, Surat","Cafe, Coffee, Continental, Sandwich, Fast Food, Desserts, Shake, Beverages",₹800 for two,https://www.zomato.com/surat/unvind-cafe-best-place-to-unwind-city-light/info,Surat,"Shop 601, Kalp Business Center, City Light, Surat",11am – 12midnight,+918141107070,-,3,3.5,16
Barbeque Nation,"Golden Square, City Light, Surat","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,850 for two",https://www.zomato.com/surat/barbeque-nation-athwa/info,Surat,"101, 1st Floor, Golden Square, Parle Point, Airport Road, Near Sagam Shopping Complex, Athwa, Surat","12noon – 4:30pm, 6:30pm – 11:30pm","+917574880250,+919662000909,+918511334497",4.8,769,3.6,"2,024"
K's Charcoal,"Piplod, Surat","Italian, Fast Food, Beverages",₹600 for two,https://www.zomato.com/surat/ks-charcoal-piplod/info,Surat,"Upper Ground Floor, Ganga House, Near Iscon Mall, Piplod, Surat",12noon – 11pm,+919106724894,4.6,587,4.2,776
Fannito Pizza,"Kapodara, Surat","Pizza, Pasta, Fast Food",₹500 for two,https://www.zomato.com/surat/fannito-pizza-kapodara/info,Surat,"Plot 1/2, Hari Kunj Society, Varacha Main Road, Kapodara, Surat",9:30am – 11pm,+917887888581,3.6,14,3.5,398
Café Noir Raw,"Vesu, Surat","Cafe, Coffee, Mexican, Italian, Japanese, Spanish, Arabian, Desserts","₹1,500 for two",https://www.zomato.com/surat/café-noir-raw-vesu/info,Surat,"Near Siddhi Vinayak Temple, Vesu, Surat",11am – 12midnight,+919875160468,4.1,90,-,0
Uncle Goons,"Piplod, Surat","Desserts, Bakery",₹330 for two,https://www.zomato.com/uncle-goons-food-truck/info,Surat,"Shop 14, Treat Food Mall, Near Valentine Cinema, Magdalla, Surat",12noon – 12midnight,+919510385736,2.8,104,4.3,60
Jassi De Parathe,"Vesu, Surat","North Indian, Fast Food, Street Food, Desserts",₹500 for two,https://www.zomato.com/surat/jassi-de-parathe-1-vesu/info,Surat,"122, 140, 146, 1st Floor, Prime Shoppers, Vesu, Surat",11am – 11pm,+919898856795,3.9,7,4.4,"1,123"
1441 Pizzeria,"Vesu, Surat","Pizza, Italian, Pasta, Beverages, Desserts",₹600 for two,https://www.zomato.com/surat/1441-pizzeria-vesu/info,Surat,"F/1, 2, 3, 4, 5, Aagam Vivianna, Opposite Florence Residency, Vesu, Surat",11am – 12midnight,+919974611441,4.2,151,3.5,"1,337"
The Chocolate Room,"Vesu, Surat","Desserts, Mexican, Pizza",₹800 for two,https://www.zomato.com/surat/the-chocolate-room-2-vesu/info,Surat,"Shop 9, G-32, E-space, Vip Road, Vesu, Surat",10am – 12midnight,+919712112117,3.8,12,4.0,71
The Garlic Knot,"Piplod, Surat","Cafe, Pizza, Pasta, Fast Food",₹600 for two,https://www.zomato.com/surat/the-garlic-knot-5-piplod/info,Surat,"House 1, Union Heights, Near Lalbhai Contractor Stadium, Piplod, Surat",11:15am – 11:45pm,+919106293261,3.6,28,3.7,25
Moukshitha - The Real South Indian Hub,"Adajan Gam, Surat","South Indian, Chinese, Street Food",₹400 for two,https://www.zomato.com/surat/moukshitha-the-real-south-indian-hub-1-adajan-gam/info,Surat,"BN Plot, Pal Road, Adajan Gam, Surat","9:30am – 3pm, 6pm – 11pm",+918980218945,3.9,11,4.0,288
Sale & Pepe - Ristorante Italiano,"Piplod, Surat","Italian, Pizza, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/surat/sale-pepe-ristorante-italiano-piplod/info,Surat,"103-104, 1st Floor, Luxuria Trade Hub, Dumas Road, Piplod, Surat",Opens at 12:30pm,"+916352977838,+919830839407",3.9,14,3.6,14
Berco's,"Piplod, Surat","Chinese, Thai, Asian","₹1,000 for two",https://www.zomato.com/surat/bercos-piplod/info,Surat,"Near Valentine Cinema, Piplod, Surat",12noon – 12midnight,+917600005575,4.0,20,3.9,71
Wok On Fire,"Golden Square, City Light, Surat","Chinese, Thai, Momos, Beverages","₹1,000 for two",https://www.zomato.com/surat/wok-on-fire-piplod/info,Surat,"G 2, Golden Square, Parle Point, Near Sargam Shopping Center, Piplod, Surat",12noon – 12midnight,"+917874922522,+919512922522",4.0,912,4.1,"5,064"
Nomads,"Dumas, Surat","Fast Food, Bakery, Chinese, North Indian",₹400 for two,https://www.zomato.com/surat/nomads-dumas/info,Surat,"Sultanabad, Dumas Village Road, Dumas, Surat",Opens at 1pm,+917567565080,2.6,6,-,0
