Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Sangria,"Fateh Sagar, Udaipur","Salad, Fast Food, Italian, Continental, Oriental, North Indian, Biryani","₹2,400 for two",https://www.zomato.com/udaipur/sangria-fateh-sagar/info,Udaipur,"6, Ambavgarh, Opposite Lake Swaroop Sagar, Fateh Sagar, Udaipur",1:30pm – 1:30am,"+919903227662,+917339924439",4.2,"1,573",3.5,7
Shekha's Lounge,"Pichola, Udaipur","North Indian, Mughlai, Chinese, Continental, Fast Food, Biryani, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/udaipur/shekhas-lounge-pichola/info,Udaipur,"D-10, 11, Trident Road, Haridas Ji Ki Magri, Shavri Colony, Pichola, Udaipur",12noon – 10:30pm,+919829455775,4.0,148,-,0
Degree 281 By Inder Prakash,"Pichola, Udaipur","North Indian, Mughlai, Biryani, Continental, Chinese, Asian, Desserts, Beverages","₹1,900 for two",https://www.zomato.com/udaipur/degree-281-by-inder-prakash-pichola/info,Udaipur,"281, Malla Talai, Rani Road, Pichola, Udaipur",9am – 11pm,"+918099362133,+918078657847,+918003900400",4.1,693,4.0,58
Soul,"Pichola, Udaipur","North Indian, Bar Food, Mughlai, Continental, Asian, Pizza, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/udaipur/soul-pichola/info,Udaipur,"The Sierra - By The Lake, 9, Haridas Ji Ki Magri, New Eklavya Nagar, Pichola, Udaipur",8am – 12midnight,"+919116681507,+919001006762",4.4,"1,848",3.2,21
AmBar,"Chandpole, Udaipur","North Indian, Continental, Italian","₹1,800 for two",https://www.zomato.com/udaipur/ambar-chandpole/info,Udaipur,"18, Pannadhai Marg, Chandpole, Udaipur",12:30pm – 11:30pm,"+912942526601,+912942526602,+912942526603",4.2,163,-,0
The Pot Garden,"Fateh Sagar, Udaipur","Continental, Italian, Healthy Food, Sandwich, Salad, Pancake, Waffle, Beverages","₹1,200 for two",https://www.zomato.com/udaipur/the-pot-garden-fateh-sagar/info,Udaipur,"6, Ambavgarh, Opposite Lake Swaroop Sagar, Fateh Sagar, Udaipur",9am – 12midnight,+917339924439,4.4,421,4.1,331
Bottegaa,"Panchwati, Udaipur","Healthy Food, Coffee, Juices, Asian, Pizza, Italian, Continental, Salad",₹900 for two,https://www.zomato.com/udaipur/bottegaa-panchwati/info,Udaipur,"34/A, New Fatehpura, Panchwati, Udaipur",10am – 10pm,+917073352224,4.5,115,3.7,123
Cosmo Bar & Bistro,"Bhopalpura, Udaipur","North Indian, Continental, Beverages, Chinese, Cafe, Desserts, Italian, Pizza","₹1,300 for two",https://www.zomato.com/udaipur/cosmo-bar-bistro-bhopalpura/info,Udaipur,"4th Floor, Hotel Castle Inn, 20-Bhatt Ji Ki Bari, Bhopalpura, Udaipur",8am – 12:30am,+918045128776,4.2,148,4.2,174
Brahma Kamal,"Fateh Sagar, Udaipur","North Indian, Continental, Chinese, Pizza, Pasta, Desserts, Beverages, Italian","₹1,000 for two",https://www.zomato.com/udaipur/brahma-kamal-fateh-sagar/info,Udaipur,"7, Ambhavgarh, Opposite Swaroop Sagar Lake, Fateh Sagar, Udaipur",7am – 11:30pm,"+919672985407,+919672985408,+919928811231",4.2,"1,523",3.4,49
Tribute,"Pichola, Udaipur","North Indian, Rajasthani, Chinese, Sandwich, Salad, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/udaipur/tribute-pichola/info,Udaipur,"Rang Sagar, 89/B, Ambamata Temple Road, Near Monika Complex, Pichola, Udaipur",11am – 11pm,+917073123954,4.2,"1,931",3.8,89
NIK 94 Bakery Patisserie Boulangerie Cafe,"Shobhagpura, Udaipur","Pasta, Oriental, Fast Food, Desserts, Pizza, Mexican, Coffee, Sandwich",₹850 for two,https://www.zomato.com/udaipur/nik-94-bakery-patisserie-boulangerie-cafe-shobhagpura/info,Udaipur,"109, RK Circle, Celebration Mall Road, Shobhagpura, Udaipur",9:30am – 11pm,+919352155539,4.0,123,New,0
"Callisto - Fine Dine, Kitchen & Bar","Bhuwana, Udaipur","North Indian, Biryani, Middle Eastern, Asian, Italian, Japanese, Chinese, Desserts","₹1,800 for two",https://www.zomato.com/udaipur/callisto-fine-dine-kitchen-bar-bhuwana/info,Udaipur,"Plot no 36, 37, Bhuwana Road, Bhuwana, Udaipur",12:30pm – 11:45pm,"+919216377699,+918107333699",4.0,154,-,0
Sun & Moon Restaurant,"Chandpole, Udaipur","Cafe, Beverages, Sandwich, Pizza, Fast Food, North Indian, Bar Food, Desserts","₹1,200 for two",https://www.zomato.com/udaipur/sun-moon-restaurant-chandpole/info,Udaipur,"84, Level 5, Gangaur Ghat Marg, Hotel Udai Niwas, Near Jagdish Temple, Silawatwari, Chandpole, Udaipur",8:30am – 11:30pm,+918619515956,4.2,"2,734",4.0,235
Qalaa,"Chandpole, Udaipur","Bar Food, Continental, Coffee, Pasta, Desserts, Beverages, Mediterranean","₹1,500 for two",https://www.zomato.com/udaipur/qalaa-1-chandpole/info,Udaipur,"Ward 12, 2nd Floor, Brahmpole Haveli, Near Brahmpole Gate, Chandpole, Udaipur",1pm – 12midnight,+918955814072,4.5,284,4.0,6
Kaner Bagh,"Panchwati, Udaipur","Rajasthani, North Indian, Chinese, Italian, Pizza, Sandwich, Desserts, Beverages","₹1,600 for two",https://www.zomato.com/udaipur/kaner-bagh-panchwati/info,Udaipur,"1D, Near Allahabad Bank Sahelion Ki Bari Link Road, Sukhadia Cir, Panchwati, Udaipur","12midnight – 3am, 11am – 12midnight",+919571791767,4.4,839,3.7,34
Verandah by the lake,"Chandpole, Udaipur","North Indian, Fast Food, Chinese, Desserts","₹1,000 for two",https://www.zomato.com/udaipur/verandah-by-the-lake-chandpole/info,Udaipur,"8, Jethiyon Akhada, Moon Art Appartments, Chauhan Gali, Chandpole, Udaipur",11am – 10:30pm,+918955142160,3.9,134,-,0
Baker's Blend Cafe & Patisserie,"Bhopalpura, Udaipur","Chinese, Italian, Coffee, Salad, Cafe, Desserts, Bakery, Continental",₹500 for two,https://www.zomato.com/udaipur/bakers-blend-cafe-patisserie-bhopalpura/info,Udaipur,"1, Sardarpura, Main Road, Near Meera Girls College, Bhopalpura, Udaipur",1pm – 10:45pm,+918769402421,4.1,115,4.0,34
Khamma Ghani Restaurant,"Pichola, Udaipur","North Indian, Chinese, Continental, Mughlai, Salad, Desserts","₹1,500 for two",https://www.zomato.com/udaipur/khamma-ghani-restaurant-pichola/info,Udaipur,"53, Yadav Colony, Rang Sagar, Pichola, Udaipur",11am – 11pm,+917340666622,4.2,"2,656",4.1,570
Poppy by Royal Repast,"City Centre, Udaipur","Pizza, Italian, North Indian, Beverages, Continental, Rajasthani","₹1,400 for two",https://www.zomato.com/udaipur/poppy-by-royal-repast-city-centre/info,Udaipur,"Bedla House, Chetak Marg, Opposite SBBJ Bank, City Centre, Udaipur","11:30am – 4pm, 7pm – 12midnight","+919711217791,+917567831144",4.9,581,4.2,274
Panna Vilas Restaurant & Lounge,"Fateh Sagar, Udaipur","North Indian, Mughlai, Italian, Continental, Chinese, Fast Food, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/udaipur/panna-vilas-restaurant-lounge-fateh-sagar/info,Udaipur,"758/280, Rani Road, Near OTC Scheme, Fateh Sagar, Udaipur",7:30am – 11pm,"+919929038872,+919672222872,+919413318872",4.3,"2,196",4.1,"1,052"
Rootage Restaurant and Lounge,"City Centre, Udaipur","North Indian, Chinese, Italian, Pizza, Asian, Salad, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/udaipur/rootage-restaurant-and-lounge-city-centre/info,Udaipur,"4, Panchsheel Marg, Ashoka Cinema Premises, Surajpole, City Centre, Udaipur",11am – 11:30pm,"+917230019831,+917230019833,+917230019832",4.4,713,4.2,"2,549"
INK - Local Home Bar & Grill,"Panchwati, Udaipur","Bar Food, Asian, North Indian, Desserts","₹1,000 for two",https://www.zomato.com/udaipur/ink-local-home-bar-grill-panchwati/info,Udaipur,"42/A, 1st Floor, Fatehpura, Panchwati, Udaipur",1pm – 12midnight,+919001006762,4.5,284,-,0
Zeno Bistro Lounge,"Subhash Nagar, Udaipur","North Indian, Bar Food, Salad, Oriental, Asian, Italian, Coffee, Beverages","₹1,300 for two",https://www.zomato.com/udaipur/zeno-bistro-lounge-subhash-nagar/info,Udaipur,"93, 4th Floor, Saraswati Marg, Opposite College Road, Subhash Nagar, Udaipur",Opens at 3pm,+916378330837,3.9,110,-,0
Kaner Bistro Lounge,"Panchwati, Udaipur","North Indian, Chinese, Sandwich, Mexican, Fast Food, Shake, Coffee, Desserts","₹2,000 for two",https://www.zomato.com/udaipur/kaner-bistro-lounge-panchwati/info,Udaipur,"11C, Sukhadia Cir, Sahelion Ki Bari Link Road, Panchwati, Udaipur",11am – 3am,+919571791767,4.5,420,-,0
The Whistling Teal Restaurant,"Pichola, Udaipur","North Indian, Mughlai, Biryani, Chinese, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/udaipur/the-whistling-teal-restaurant-pichola/info,Udaipur,"6, Haridas Ji Ki Magri, Shavri Colony, Pichola, Udaipur",10am – 11pm,+919929617161,4.3,470,3.9,9
OTC - Old Town Cafe,"Chandpole, Udaipur","Cafe, North Indian, Chinese, Continental, Sandwich, Healthy Food, Desserts, Beverages",₹850 for two,https://www.zomato.com/udaipur/otc-old-town-cafe-chandpole/info,Udaipur,"4, Lal Ghat, Jagdish Chowk, Chandpole, Udaipur",8am – 11pm,+919829684305,4.1,156,3.7,105
Arjuna,"Fateh Sagar, Udaipur","Modern Indian, North Indian, Desserts","₹2,100 for two",https://www.zomato.com/udaipur/arjuna-fateh-sagar/info,Udaipur,"Shouryagarh Resort & Spa, Rani Road, Fateh Sagar, Udaipur","12:30pm – 3pm, 7:30pm – 11pm","+918952079111,+917340013159",4.2,57,-,0
Upré By 1559 AD,"Lake Pichola Hotel, Udaipur","North Indian, Rajasthani, Continental, Chinese, Fast Food, Desserts, Beverages","₹2,000 for two",https://www.zomato.com/udaipur/upré-by-1559-ad-chandpole/info,Udaipur,"Lake Pichola Hotel, Chandpole, Udaipur","12:30pm – 3:30pm, 6:30pm – 10:30pm",+919116173737,4.0,"1,321",-,0
Maotai,"Fateh Sagar, Udaipur","Asian, Sushi, Chinese, Korean, Beverages","₹1,800 for two",https://www.zomato.com/udaipur/maotai-fateh-sagar/info,Udaipur,"Rani Road, Fateh Sagar, Udaipur",12:30pm – 11pm,"+918952079111,+917340013159",4.1,81,-,0
Aosa - Bakehouse & Roastery,"Panchwati, Udaipur","Cafe, Continental, Italian, Bakery, Desserts, Coffee, Beverages",₹900 for two,https://www.zomato.com/udaipur/aosa-bakehouse-roastery-panchwati/info,Udaipur,"42/A, Fatehpura, 49-UIT Circle, Panchwati, Udaipur","12midnight – 1:45am, 9am – 12midnight","+919001006762,+919251998739",4.5,419,4.3,326
Cafe Aura,"Bhuwana, Udaipur","Cafe, Coffee, Pizza, Pasta, Italian, Mexican, Chinese, Beverages",₹500 for two,https://www.zomato.com/udaipur/cafe-aura-bhuwana/info,Udaipur,"Plot 23, Meera Nagar, Near Ambience Hotel, DPS School Road, Bhuwana, Udaipur",10am – 10pm,+917737774764,-,3,New,1
Ambrai - Amet Haveli,"Amet Haveli, Udaipur","North Indian, Mughlai, Continental, Chinese, Desserts, Beverages","₹1,700 for two",https://www.zomato.com/udaipur/ambrai-amet-haveli-chandpole/info,Udaipur,"Amet Haveli, Hanuman Ghat Road, Chandpole, Udaipur","7am – 3:30pm, 6:30pm – 10:30pm",+919672041085,3.9,"1,323",-,0
The Prism Restaurant,"Hiran Magri, Udaipur","North Indian, Chinese, Rajasthani, Continental, Italian, Salad, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/udaipur/the-prism-restaurant-hiran-magri/info,Udaipur,"The Fern Residency, Plot 1, Madhu Nursery Compound, Sector 3, Near Sevashram Flyover, Hiran Magri, Udaipur",7am – 10:30pm,"+917340010985,+917340010976,+917340010983",4.3,93,4.1,43
Hari Garh Restaurant,"Chandpole, Udaipur","North Indian, Rajasthani, Continental, Chinese, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/udaipur/hari-garh-restaurant-chandpole/info,Udaipur,"Near Khamma Ghani Art And Crafts, Hanuman Ghat, Ambrari Road, Chandpole, Udaipur",10am – 11pm,"+919772880333,+916377645006",4.2,"3,118",4.1,46
Hangout The Cocktail Room,"Shobhagpura, Udaipur","North Indian, Pizza, Italian, Asian, Bar Food, Coffee, Beverages","₹1,200 for two",https://www.zomato.com/udaipur/hangout-the-cocktail-room-shobhagpura/info,Udaipur,"New Bypass Road, Near J K Fortis Hospital, Shobhagpura, Udaipur",2pm – 12midnight,+919680888999,4.4,205,-,0
The Lily Court,"Sukher, Udaipur","North Indian, Chinese, Fast Food, Street Food, Desserts","₹1,000 for two",https://www.zomato.com/udaipur/the-lily-court-sukher/info,Udaipur,"NH 76, Kavita Bridge, Sukher, Udaipur",12noon – 11:30pm,+919799348866,4.3,170,-,2
Malibu The Brew House,"Shobhagpura, Udaipur","Bar Food, North Indian, Pizza, Italian, Asian, Coffee, Beverages","₹1,500 for two",https://www.zomato.com/udaipur/malibu-the-brew-house-1-shobhagpura/info,Udaipur,"New By Pass Road, Near JK Fortis Hospital, Shobhagpura, Udaipur",2pm – 12midnight,+919680888999,4.9,132,-,0
Mathara - The Heights,"Ashok Nagar, Udaipur","North Indian, Italian, Chinese, Fast Food","₹1,200 for two",https://www.zomato.com/udaipur/mathara-the-heights-ashok-nagar/info,Udaipur,"Lakecity Mall Terrace, Ayad Pulliya, Girwa, Ashok Nagar, Udaipur","12midnight – 3am, 2pm – 12midnight","+912942413071,+919929230924",3.9,427,4.1,434
Botanical Cafe,"Bhuwana, Udaipur","Cafe, Coffee, North Indian, Pizza, Pasta, Fast Food, Desserts, Beverages","₹1,600 for two",https://www.zomato.com/udaipur/botanical-cafe-bhuwana/info,Udaipur,"Near Hotel Yois Sagasa, Meera Nagar, Bhuwana, Udaipur",12:30pm – 10pm,+918118849618,4.1,361,3.7,32
