Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Jassi De Parathe,"Alkapuri, Vadodara","North Indian, Kebab, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/vadodara/jassi-de-parathe-alkapuri/info,Vadodara,"R.C Dutt Road, Near Kalaniketan, Alkapuri, Vadodara",11am – 11pm,+919978881313,4.5,"1,683",4.3,38.3K
Wok On Fire,"Diwalipura, Vadodara","Chinese, Thai, Asian, Momos, Beverages","₹1,000 for two",https://www.zomato.com/vadodara/wok-on-fire-diwalipura/info,Vadodara,"1, Olive Complex, Old Padra Road, Opposite ABS Tower, Diwalipura, Vadodara",12noon – 12midnight,+917874922522,3.9,987,4.0,10.9K
Pizzawala's,"Alkapuri, Vadodara","Pizza, Italian",₹800 for two,https://www.zomato.com/vadodara/pizzawalas-alkapuri/info,Vadodara,"5B, 1st Floor, Leo Plaza, Alkapuri, Vadodara","12midnight – 2am, 11am – 12midnight",+916359009888,3.7,120,4.1,"1,285"
Cafe Bengaluru,"Alkapuri, Vadodara","South Indian, Juices, Beverages",₹400 for two,https://www.zomato.com/vadodara/cafe-bengaluru-1-alkapuri/info,Vadodara,"19, 20, 26, 27, Bomaby Shopping Center, R C Dutt Road, Alkapuri, Vadodara",7am – 11pm,+916351272293,4.0,21,4.0,515
Kareem's,"Vadiwadi, Vadodara","North Indian, Mughlai, Biryani, Kebab, Seafood, Rolls, Chinese","₹1,200 for two",https://www.zomato.com/vadodara/kareems-1-vadiwadi/info,Vadodara,"103, The Emerald, Race Course, Near Bird Circle, Vadiwadi, Vadodara","12midnight – 12:30am, 12noon – 12midnight",+917984591257,4.2,41,4.1,226
Teal - Fairfield By Marriott,"Fairfield by Marriott Vadodara, Vadodara","North Indian, South Indian, Biryani, Desserts, Chinese, Pizza, Fast Food, Shake","₹2,000 for two",https://www.zomato.com/vadodara/teal-fairfield-by-marriott-alkapuri/info,Vadodara,"Fairfield by Marriott, Aradhana Society, Vishwas Colony, Vadiwadi, Alkapuri, Vadodara","7am – 10:30am, 11am – 10:30pm",+916358871008,4.1,91,3.8,222
Le Privé,"Alkapuri, Vadodara","North Indian, Kebab, Biryani, Continental, Italian, Asian, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/vadodara/le-privé-alkapuri/info,Vadodara,"17/B, 1st Floor, Nutan Bharat Society, Opposite Relience Fresh, Alkapuri, Vadodara","12noon – 3pm, 7pm – 10:30pm",+916354046171,4.9,342,4.3,"4,466"
Cafe Fitoor,"Vadiwadi, Vadodara","Cafe, Continental, Pasta, Wraps, Sandwich, North Indian, Biryani, Beverages","₹1,500 for two",https://www.zomato.com/vadodara/cafe-fitoor-vadiwadi/info,Vadodara,"SB 1-3, Landmark Complex, Race Course Road, Vadiwadi, Vadodara","12noon – 3:30pm, 6:30pm – 10:30pm",+916352132712,4.9,492,4.3,"3,572"
Lark Kitchen- Regenta Fairlark,"Bhayli, Vadodara","North Indian, South Indian, Mughlai, Continental, Italian, Oriental, Desserts, Beverages","₹1,400 for two",https://www.zomato.com/vadodara/lark-kitchen-regenta-fairlark-bhayli/info,Vadodara,"Darshanam Capital, Canal Ring Road, Opposite Essar Petrol Pump, Bhayli, Vadodara",8am – 10pm,"+916357996707,+916357996703",3.9,11,4.0,8
Tomato's,"Alkapuri, Vadodara","North Indian, Mughlai, Mexican, Thai, Pizza, Salad, Chinese, Asian","₹1,200 for two",https://www.zomato.com/vadodara/tomatos-1-alkapuri/info,Vadodara,"1st Floor, Aditi Plaza, Race Course Road, Beside IDBI Bank, Alkapuri, Vadodara","12:30pm – 3pm, 7pm – 11:30pm",+919909866606,4.1,783,3.9,"1,363"
La Benito,"Vadiwadi, Vadodara","Italian, Mexican, Continental, Lebanese, Salad, Desserts, Juices, Beverages","₹1,500 for two",https://www.zomato.com/vadodara/la-benito-vadiwadi/info,Vadodara,"1st Floor, Shantanam, Race Course, Inox Road, Opposite Yes Bank, Vadiwadi, Vadodara","12noon – 3pm, 7pm – 11pm","+918866056677,+912652332232,+912652326026",4.2,468,4.0,"2,521"
Social Affair,"Vadiwadi, Vadodara","Salad, Continental, Mexican, Chinese, Italian, North Indian, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/vadodara/social-affair-vadiwadi/info,Vadodara,"Top Floor, 1-5, Sharnam Fortune, Race Course Road, Vadiwadi, Vadodara","11am – 3pm, 7pm – 11pm",+919586631111,4.3,76,4.2,857
