Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Biryani Queen,"Bhelupur, Varanasi","Biryani, Kebab, North Indian, Mughlai, Rolls, Beverages, Awadhi","₹1,000 for two",https://www.zomato.com/varanasi/biryani-queen-bhelupur/info,Varanasi,"B-27/92-C-1, Plot 65A, Ravindrapuri Colony, Bhelupur, Varanasi",11:15am – 11:15pm,+918115679397,-,2,4.0,782
Aman E Khas,"Bhelupur, Varanasi","North Indian, Mughlai, Chinese, Biryani, Desserts",₹850 for two,https://www.zomato.com/varanasi/aman-e-khas-bhelupur/info,Varanasi,"B-9/27 B, Pikhana, Bhelupur, Varanasi",11am – 11pm,+919792085111,4.0,508,4.1,17.8K
Baati Chokha,"Chetganj, Varanasi","North Indian, Bihari",₹350 for two,https://www.zomato.com/varanasi/baati-chokha-2-chetganj/info,Varanasi,"S-13/18, Teliabagh, Anand Mandir, Chetganj, Varanasi",11am – 10:30pm,+915422201010,4.5,542,4.3,"2,996"
Molecule Gastro Bar,"Mahmoorganj, Varanasi","Italian, North Indian, Fast Food, Desserts, Finger Food, Sichuan","₹1,000 for two",https://www.zomato.com/varanasi/molecule-gastro-bar-mahmoorganj/info,Varanasi,"D 63/9-A, 11th Floor, Didwania Square, Mahmoorganj, Varanasi",1:15pm – 12midnight,"+918303709998,+918303709998",4.1,130,4.5,428
Kerala Cafe,"Bhelupur, Varanasi","South Indian, North Indian, Chinese, Street Food, Beverages",₹300 for two,https://www.zomato.com/varanasi/kerala-cafe-bhelupur/info,Varanasi,"Bhelupur Crossing, Bhelupur, Varanasi",8am – 10pm,+918874277818,4.3,"1,258",-,0
Ming Garden,"Lanka, Varanasi","Chinese, Fast Food, Desserts, Beverages, Sichuan",₹600 for two,https://www.zomato.com/varanasi/ming-garden-lanka/info,Varanasi,"34-B, Ravindrapuri Colony, Lanka, Varanasi",11am – 10:30pm,"+915422312652,+915422310452",4.3,997,4.2,14.1K
The Yellow Chilli,"Mahmoorganj, Varanasi","North Indian, Mughlai, Chinese, Street Food, Desserts, Beverages",₹900 for two,https://www.zomato.com/varanasi/the-yellow-chilli-mahmoorganj/info,Varanasi,"First Floor, Zorba Tower, Mahmoorganj, Varanasi",11am – 11pm,+917800097000,4.3,326,3.8,"4,475"
Capsicum Food Court,"Lanka, Varanasi","North Indian, South Indian, Chinese, Fast Food, Pizza, Rolls, Beverages",₹400 for two,https://www.zomato.com/varanasi/capsicum-food-court-3-lanka/info,Varanasi,"B-31/225-4, Lanka, Varanasi",8am – 11pm,"+918810758081,+918810758082,+919451983199",4.0,"1,787",4.2,87K
Golden Hour Multi Cuisine Restaurant,"Lanka, Varanasi","North Indian, Chinese, Italian","₹1,000 for two",https://www.zomato.com/varanasi/golden-hour-multi-cuisine-restaurant-lanka/info,Varanasi,"B 32/32-184, Saket Nagar Colony, Lanka, Varanasi",11am – 11pm,+919889616005,3.9,8,4.2,50
The Taste Factory,"Mahmoorganj, Varanasi","North Indian, Chinese, Mughlai",₹800 for two,https://www.zomato.com/varanasi/the-taste-factory-2-mahmoorganj/info,Varanasi,"B38/1S, Tulsipur, Mahmoorganj, Varanasi",11:30am – 11:30pm,"+915422360050,+916393240025,+919810643674",4.6,238,4.1,"4,341"
Root Restaurant & River Club,"Assi Ghat, Varanasi","North Indian, Chinese, Fast Food, Beverages",₹800 for two,https://www.zomato.com/varanasi/root-restaurant-river-club-assi-ghat/info,Varanasi,"Nagwa Road, Dumraon Colony, Assi Ghat, Varanasi",11am – 11pm,+918400460355,4.1,146,3.8,120
VNS Live Studio,"Sigra, Varanasi","Continental, North Indian, Chinese, Beverages, Sichuan",₹700 for two,https://www.zomato.com/varanasi/vns-live-studio-sigra/info,Varanasi,"Ground Floor, 22 Gulab Bagh, Sigra, Varanasi",24 Hours,"+919161101114,+916392000710",3.6,361,4.2,935
Dhanyavad Foods,"Lanka, Varanasi","Hyderabadi, Biryani, Mughlai",₹500 for two,https://www.zomato.com/varanasi/dhanyavad-foods-1-lanka/info,Varanasi,"177, B-30/2, A-3, Plot 4, Prafulla Nagar Colony, Lanka, Varanasi",12:30pm – 11pm,+918355034085,-,1,4.1,368
Pind Balluchi,"Sigra, Varanasi","North Indian, Mughlai, Biryani, Continental, Chinese, Desserts","₹1,200 for two",https://www.zomato.com/varanasi/pind-balluchi-sigra/info,Varanasi,"3rd Floor, Swastik City Centre, Rathyatra, Sigra, Varanasi",11am – 11pm,"+917800007554,+917800007552,+917800007553",4.2,448,4.0,"9,446"
Banaras Food Truck,"Nadesar, Varanasi","Chinese, North Indian, Momos, Fast Food",₹500 for two,https://www.zomato.com/varanasi/banaras-food-truck-nadesar/info,Varanasi,"Survey 86/1, Cantonment, Nadesar, Varanasi",Opens at 5pm,+917408882888,3.9,11,New,0
