Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Ghiza Family Restaurant,"Labbipet, Vijayawada","Biryani, North Indian, Chinese, Sichuan, Fast Food, Seafood, Andhra",₹700 for two,https://www.zomato.com/vijayawada/ghiza-family-restaurant-labbipet/info,Vijayawada,"Door no: 40-7-10, PVP line, Mogalrajpuram, Labbipet, Vijayawada",12midnight – 11:45pm,"+917207337726,+919912845635",4.3,233,4.2,"9,651"
Sweet Magic Mithai Shop,"Labbipet, Vijayawada","Mithai, Biryani",₹350 for two,https://www.zomato.com/vijayawada/sweet-magic-mithai-shop-labbipet/info,Vijayawada,"40-1-136, Opp D.V Manor, M.G Road, Labbipet, Vijayawada",Opens at 9am,+919951463333,4.0,168,4.2,13.1K
Starbucks Coffee,"Gurunanak Colony, Vijayawada","Cafe, Beverages, Desserts",₹800 for two,https://www.zomato.com/vijayawada/starbucks-coffee-gurunanak-colony/info,Vijayawada,"Plot 12, Door 54-20-9A, Gurunanak Colony, Vijayawada",7am – 11pm,+918655896229,3.9,7,4.4,672
Pizza Hut,"Poranki, Vijayawada","Pizza, Fast Food, Desserts, Beverages",₹600 for two,https://www.zomato.com/vijayawada/pizza-hut-poranki/info,Vijayawada,"First Floor, Door 7-184, RS 241 P, Kanuru Village, Penamaluru, Krishna, Poranki, Vijayawada",Opens at 10am,+918506099863,3.7,18,3.9,"1,654"
Hotel Manorama,"Governorpet, Vijayawada","South Indian, North Indian, Chinese, Biryani, Beverages, Shake",₹450 for two,https://www.zomato.com/vijayawada/hotel-manorama-1-governorpet/info,Vijayawada,"Door 27-38-61, MG Road, Governorpet, Vijayawada",7am – 11:30pm,+919581411234,3.8,91,4.0,"4,573"
Barbeque Nation,"Labbipet, Vijayawada","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","₹1,750 for two",https://www.zomato.com/vijayawada/barbeque-nation-labbipet/info,Vijayawada,"Door 40-1-146A, 3rd Floor, LEPL Centro, M.G Road, Labbipet, Vijayawada",Opens at 12noon,"+919154295060,+917674807711,+919154069059",4.6,910,3.8,"2,431"
Hoskote 4 AM Biriyani,"Governorpet, Vijayawada",Biryani,₹500 for two,https://www.zomato.com/vijayawada/hoskote-4-am-biriyani-governorpet/info,Vijayawada,"D 25-26-1, Arandalpeta, NTR, Governorpet, Vijayawada",24 Hours,+919505224813,-,0,4.1,"1,576"
Minerva Grand - Eat Street,"Gunadala, Vijayawada","South Indian, Beverages",₹400 for two,https://www.zomato.com/vijayawada/minerva-grand-eat-street-gunadala/info,Vijayawada,"Door 54-15-5C, 5D, Veteranary Colony, Gunadala, Vijayawada","7:45am – 11am, 4:15pm – 9pm",+918666622255,3.4,95,4.4,"1,703"
Just Bake,"Labbipet, Vijayawada","Bakery, Desserts, Fast Food",₹250 for two,https://www.zomato.com/vijayawada/just-bake-labbipet/info,Vijayawada,"40-5-1, Tikkle Road, Labbipet, Vijayawada",Opens at 10am,+918666627888,4.0,160,4.5,532
AB's - Absolute Barbecues,"Gurunanak Colony, Vijayawada","Biryani, BBQ, Kebab, North Indian, Desserts","₹1,600 for two",https://www.zomato.com/vijayawada/abs-absolute-barbecues-gurunanak-colony/info,Vijayawada,"40-1-68/69, 2nd Floor, Vajra Commercial Complex, Benz Circle, MG Road, Gurunanak Colony, Vijayawada",Opens at 11am,+917337383764,4.5,580,3.5,"1,476"
