Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Sri Siri Tiffins & Meals,"Sriharipuram, Vizag",South Indian,₹200 for two,https://www.zomato.com/visakhapatnam/sri-siri-tiffins-meals-sriharipuram-vizag/info,Visakhapatnam,"MIG-IIA, Opposite Gullalapalem Ground, Sriharipuram, Vizag","6am – 3:30pm, 6pm – 10pm",+919030422666,-,1,-,0
Burger King,"Gajuwaka, Vizag","Burger, Fast Food",₹350 for two,https://www.zomato.com/visakhapatnam/burger-king-gajuwaka-vizag/info,Visakhapatnam,"26-41-8, Unit 2, Ground floor, CMR Mall, Gajuwaka, Vizag",Opens at 10am,+918655970690,4.2,278,4.2,"7,215"
Uma Parlour,"Gajuwaka, Vizag",South Indian,₹200 for two,https://www.zomato.com/visakhapatnam/uma-parlour-gajuwaka-vizag/info,Visakhapatnam,"10-1-2, Old Gajuwaka Junction, Near Ramchandra Residency, Gajuwaka, Vizag",6am – 11pm,+918106141999,4.1,574,4.4,32K
Signature Hotels,"Nathayyapalem, Vizag","North Indian, South Indian, Chinese, Oriental, Fast Food, Biryani, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/visakhapatnam/signature-hotels-nathayyapalem-vizag/info,Visakhapatnam,"Sheela Nagar, Nathayyapalem, Vizag","7:30am – 10:30am, 12noon – 3:30pm, 7pm – 10:30pm",+917893648360,-,2,4.3,80
DFC - Delicious Fried Chicken,"Nad Junction, Vizag","Fast Food, Pizza, Burger, Sandwich, Wraps",₹300 for two,https://www.zomato.com/visakhapatnam/dfc-delicious-fried-chicken-nad-junction-vizag/info,Visakhapatnam,"58-1-320, Butchirajupalem, Main Road, Nad Junction, Vizag",Opens at 10:30am,+917989854372,4.5,138,3.9,"5,249"
Nandini Srinivasa Parlour,"Nad Junction, Vizag","South Indian, North Indian, Chinese",₹350 for two,https://www.zomato.com/visakhapatnam/nandini-srinivasa-parlour-nad-junction-vizag/info,Visakhapatnam,"D-58-1-272, Ground Floor, Nad Kotha Road, Nad Junction, Vizag","7am – 3:30pm, 6:30pm – 10:30pm",+919948199022,4.0,163,4.1,15.4K
Red Cherry Bakers & Restaurant,"Gajuwaka, Vizag","North Indian, South Indian, Chinese, Biryani, Pizza, Fast Food, Beverages, Bakery","₹1,000 for two",https://www.zomato.com/visakhapatnam/red-cherry-bakers-restaurant-gajuwaka-vizag/info,Visakhapatnam,"10-1-123, National Highway 5, Near ING Vysya Bank, Gajuwaka, Vizag",Opens at 10:30am,+917893333733,4.0,491,4.0,18.7K
Grand Alphaa RK Restaurants,"Nad Junction, Vizag",Biryani,₹500 for two,https://www.zomato.com/visakhapatnam/grand-alphaa-rk-restaurants-nad-junction-vizag/info,Visakhapatnam,"58-1-328, Buchirajupalem, Nad Junction, Vizag",Opens at 10am,+917337006100,4.1,499,3.4,"6,769"
Creme Shakes,"Nad Junction, Vizag","Desserts, Waffle, Ice Cream, Shake, Beverages",₹300 for two,https://www.zomato.com/visakhapatnam/creme-shakes-nad-junction-vizag/info,Visakhapatnam,"58/1-396/1, Gnanapuram, Nad Kotha Road, Nad Junction, Vizag",Opens at 10am,+918096989360,4.0,168,4.4,"5,826"
Happy Bakery,"Gajuwaka, Vizag","Bakery, Street Food, Shake, Juices",₹200 for two,https://www.zomato.com/visakhapatnam/happy-bakery-gajuwaka-vizag/info,Visakhapatnam,"GNT Road, Gajuwaka, Vizag",,+919533271103,4.0,173,-,0
Pastry Chef,"Nad Junction, Vizag","Bakery, Desserts, Chinese, Pizza, Sandwich, Fast Food, Sichuan, Beverages",₹400 for two,https://www.zomato.com/visakhapatnam/pastry-chef-nad-junction-vizag/info,Visakhapatnam,"58-22-2, Susarla Colony, Butchirajupalem, Nad Junction, Vizag",9am – 9:45pm,+919160009735,4.0,114,4.3,"1,482"
Wrap It,"Gajuwaka, Vizag",Wraps,₹150 for two,https://www.zomato.com/visakhapatnam/wrap-it-2-gajuwaka-vizag/info,Visakhapatnam,"62-5-32, Jawahar Nagar, Malkapuram, Gajuwaka, Vizag",24 Hours,+919133331015,4.4,65,4.3,"2,383"
Hotel Prabha Veg Restaurant,"Nad Junction, Vizag","South Indian, Chinese",₹200 for two,https://www.zomato.com/visakhapatnam/hotel-prabha-veg-restaurant-nad-junction-vizag/info,Visakhapatnam,"58/1/406, Nad Kotha Road, Nad Junction, Vizag",7am – 10pm,+917794855649,4.2,407,4.3,30.6K
Ramachandra Parlour,"Gajuwaka, Vizag",South Indian,₹200 for two,https://www.zomato.com/visakhapatnam/ramachandra-parlour-gajuwaka-vizag/info,Visakhapatnam,"10-2-5/2, Main Road, Gajuwaka, Vizag",6:30am – 10:30pm,+916304661694,3.8,41,4.1,16.7K
Jalapenos Food Court,"Sriharipuram, Vizag","Biryani, Chinese, Street Food, Fast Food, Desserts, Beverages",₹500 for two,https://www.zomato.com/visakhapatnam/jalapenos-food-court-2-sriharipuram-vizag/info,Visakhapatnam,"Door 64-1-37, Opposite Sri Lakshmi Ganapathi Temple, Sriharipuram Main Road, Sriharipuram, Vizag",Opens at 10:30am,+919705735771,3.9,26,4.2,"3,558"
Crispy's Fried Chicken,"Nad Junction, Vizag","Fast Food, Burger, Beverages",₹500 for two,https://www.zomato.com/visakhapatnam/crispys-fried-chicken-nad-junction-vizag/info,Visakhapatnam,"Shop 58-1-28, Sri Sai Villa Mansions, Nad Junction, Vizag",Opens at 10:30am,+919966128988,3.1,6,4.1,74
Sairam Parlour,"Kurmannapalem, Vizag","South Indian, North Indian, Fast Food",₹150 for two,https://www.zomato.com/visakhapatnam/sairam-parlour-1-kurmannapalem-vizag/info,Visakhapatnam,"Shop 1, VB Raju Complex, Kurmannapalem, Vizag",6:30am – 10:30pm,+919949355655,-,0,4.4,"1,345"
